Plate_ID,Steel_Type,Steel_Plate_Thickness,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Edges_Index,Square_Index,Orientation_Index,Luminosity_Index,Length_of_Conveyer,Needs_Manual_Review
23,A400,200,106,10,19,13829,107,150,0.0747,0.4737,0.5263,0.0192,1687,0
24,A400,200,264,15,39,32175,92,141,0.0972,0.2564,0.7436,-0.0479,1687,0
25,A400,200,201,17,35,27349,123,148,0.0889,0.2727,0.7273,0.063,1687,0
26,A400,40,171,9,23,16645,77,111,0.0015,0.3913,0.6087,-0.2395,1373,0
27,A400,40,395,19,39,38722,75,118,0.0015,0.359,0.641,-0.2341,1373,0
28,A400,40,85,9,18,8948,97,119,0.2668,0.3333,0.6667,-0.1776,1627,0
29,A400,40,3214,92,253,368381,33,140,0.1034,0.0837,0.9163,-0.1045,1373,0
30,A400,40,386,15,38,36875,51,124,0.0714,0.3421,0.6579,-0.2537,1373,0
31,A400,40,182,9,33,20751,99,132,0.7808,0.2121,0.7879,-0.1093,1373,0
32,A400,40,527,19,63,48793,47,125,0.1312,0.2063,0.7936,-0.2767,1387,0
33,A400,40,158,9,24,16680,80,119,0.2322,0.2917,0.7083,-0.1752,1387,0
34,A400,50,214,10,28,19762,70,111,0.0707,0.3571,0.6429,-0.2785,1387,0
35,A400,50,994,29,62,68851,15,119,0.1629,0.371,0.629,-0.4588,1387,0
36,A400,50,367,16,43,35856,55,127,0.9257,0.2791,0.7209,-0.2367,1387,0
37,A400,70,320,15,39,32705,55,125,0.0177,0.3077,0.6923,-0.2015,1353,0
38,A400,70,378,34,72,43323,77,135,0.2395,0.1408,0.8591,-0.1046,1353,0
39,A400,40,210,36,48,17413,73,100,0.0,0.2083,0.7917,-0.3522,1333,0
40,A400,250,201,22,23,20993,79,126,0.0049,0.5217,0.4783,-0.184,1633,0
41,A400,200,386,35,54,44712,90,132,0.6224,0.1852,0.8148,-0.095,1687,0
42,A400,70,324,30,36,30269,65,124,0.1212,0.3333,0.6667,-0.2701,1353,0
43,A400,40,234,20,26,23207,66,124,0.086,0.4615,0.5385,-0.2252,1627,0
44,A400,40,340,30,50,34655,88,116,0.0455,0.2,0.8,-0.2037,1627,0
45,A300,60,98,16,21,10784,96,132,0.5325,0.381,0.6191,-0.1403,1690,0
46,A300,60,267,43,49,22785,67,110,0.0663,0.1837,0.8163,-0.3333,1690,0
47,A300,60,56,12,13,5587,85,116,0.2183,0.5385,0.4615,-0.2206,1686,0
48,A300,60,71,11,17,7502,91,124,0.8537,0.3529,0.6471,-0.1745,1682,0
49,A300,60,90,14,12,7525,67,100,0.1659,1.0,0.0,-0.3468,1688,0
50,A300,60,55,9,11,6124,95,125,0.9231,0.6364,0.3636,-0.1301,1690,0
51,A300,60,58,9,13,6567,100,132,0.6426,0.5385,0.4615,-0.1154,1690,0
52,A300,60,567,47,66,46365,51,109,0.0154,0.1667,0.8333,-0.3611,1690,0
53,A300,60,182,20,27,16337,72,109,0.013,0.3333,0.6667,-0.2987,1688,0
54,A300,69,154,20,24,13678,69,108,0.0618,0.4167,0.5833,-0.3061,1650,0
55,A300,69,188,20,34,20528,95,125,0.9284,0.2647,0.7353,-0.1469,1648,0
56,A300,69,146,20,27,15572,88,126,0.4484,0.3333,0.6667,-0.1667,1646,0
57,A300,69,51,14,7,6902,120,149,0.4036,0.4615,-0.5385,0.0573,1650,0
58,A300,100,184,25,30,18593,85,119,0.4254,0.4,0.6,-0.2106,1650,0
59,A300,100,67,10,12,7416,94,132,0.7181,0.6667,0.3333,-0.1353,1710,0
60,A300,100,64,10,15,7013,99,123,0.1456,0.4,0.6,-0.1439,1360,0
61,A300,100,53,10,10,5039,81,111,0.95,0.7,0.3,-0.2572,1360,0
62,A300,120,60,10,11,6863,100,132,0.2482,0.6364,0.3636,-0.1064,1362,0
63,A300,120,76,14,11,8063,84,126,0.9192,0.8182,0.1818,-0.1712,1362,0
64,A300,100,66,9,12,6625,87,118,0.1495,0.5833,0.4167,-0.2158,1632,0
65,A300,100,70,9,11,7846,99,127,0.5772,0.8182,0.1818,-0.1243,1632,0
66,A300,100,382,43,60,38206,77,118,0.1103,0.15,0.85,-0.2186,1632,0
67,A300,100,110,13,20,11126,84,116,0.9669,0.4,0.6,-0.2098,1630,0
68,A300,100,51,8,13,5369,95,116,0.0411,0.4615,0.5385,-0.1775,1654,0
69,A300,100,63,15,14,5232,73,94,0.0531,0.5714,0.4286,-0.3512,1656,0
70,A300,100,56,12,9,4674,71,101,0.0459,0.8889,0.1111,-0.3479,1656,0
71,A300,100,89,14,13,7804,77,100,0.0362,0.8461,0.1539,-0.315,1658,0
72,A300,100,190,21,28,18416,81,116,0.0607,0.3214,0.6786,-0.2428,1648,0
73,A300,100,81,15,20,8709,99,119,0.5821,0.4,0.6,-0.16,1656,0
74,A300,211,63,17,18,4616,58,93,0.7332,0.3333,0.6667,-0.4276,1694,0
75,A300,211,60,9,12,4585,62,92,0.7355,0.6667,0.3333,-0.403,1694,0
76,A300,143,30,8,6,3022,80,116,0.5272,0.8571,-0.1429,-0.213,1692,0
77,A300,143,209,24,31,24034,90,143,0.4433,0.2903,0.7097,-0.1016,1692,0
78,A300,80,156,20,23,18654,101,141,0.1849,0.3913,0.6087,-0.0658,1352,0
79,A400,40,2643,165,285,300024,64,140,0.1771,0.0569,0.9431,-0.1132,1400,0
80,A400,40,2145,134,201,228995,16,133,0.0594,0.0904,0.9096,-0.166,1380,0
81,A400,40,1421,142,185,141034,47,126,0.9808,0.1566,0.8434,-0.2246,1666,0
82,A400,40,103,13,17,11430,97,126,0.97,0.4706,0.5294,-0.133,1666,0
83,A400,60,40,11,7,4014,89,111,0.0425,0.875,-0.125,-0.216,1364,0
84,A400,60,10914,481,604,1096282,21,141,0.094,0.0519,0.9481,-0.2153,1362,0
85,A400,200,135,18,16,10915,55,97,0.0838,0.75,0.25,-0.3683,1360,0
86,A400,220,114,14,17,13173,94,140,0.6638,0.5625,0.4375,-0.0972,1392,0
87,A400,220,82,13,20,9671,106,128,0.7974,0.35,0.65,-0.0786,1392,0
88,A400,40,275,19,32,28986,78,127,0.2188,0.375,0.625,-0.1765,1362,0
89,A400,40,289,25,36,32134,92,132,0.1848,0.3056,0.6944,-0.1313,1364,0
90,A400,40,313,36,39,35005,68,135,0.5719,0.3846,0.6154,-0.1263,1364,0
91,A400,40,437,36,52,44883,63,132,0.4692,0.25,0.75,-0.1976,1364,0
92,A400,40,759,45,69,67978,44,124,0.0499,0.2464,0.7536,-0.3003,1362,0
93,A400,40,677,44,67,67597,72,124,0.2338,0.194,0.806,-0.2199,1360,0
94,A400,100,211,18,22,17820,49,109,0.1261,0.5909,0.4091,-0.3402,1364,0
95,A400,100,52,9,7,5049,87,109,0.0205,0.7778,-0.2222,-0.2414,1366,0
96,A400,40,261,28,29,28261,91,126,0.8203,0.4483,0.5517,-0.1541,1358,0
97,A400,70,135,18,26,15385,103,126,0.7385,0.3077,0.6923,-0.1097,1690,0
98,A400,70,181,29,43,20264,99,125,0.9231,0.1628,0.8372,-0.1253,1690,0
99,A400,70,109,15,19,12212,100,127,0.8442,0.4211,0.5789,-0.1247,1694,0
100,A400,70,102,11,16,11385,95,127,0.4421,0.5,0.5,-0.128,1692,0
101,A400,70,51,8,12,5999,111,135,0.7778,0.5833,0.4167,-0.081,1692,0
102,A400,70,134,13,21,13356,89,111,0.1491,0.4762,0.5238,-0.2213,1690,0
103,A400,120,266,23,28,24547,49,126,0.2202,0.5,0.5,-0.279,1626,0
104,A400,175,970,57,103,97514,66,133,0.5433,0.1165,0.8835,-0.2146,1362,0
105,A400,125,515,32,57,41622,46,108,0.049,0.2281,0.7719,-0.3686,1632,0
106,A400,125,116,17,15,11656,71,127,0.2754,0.6667,0.3333,-0.215,1634,0
107,A400,125,2490,146,197,283038,19,141,0.1812,0.1066,0.8934,-0.112,1634,0
108,A400,125,251,22,28,28050,89,140,0.3174,0.4643,0.5357,-0.1269,1632,0
109,A400,125,165,22,26,18742,87,134,0.5646,0.5,0.5,-0.1126,1626,0
110,A400,40,112,16,17,11439,84,127,0.0353,0.5294,0.4706,-0.2021,1358,0
111,A400,50,208,24,32,22478,84,126,0.117,0.3438,0.6563,-0.1557,1350,0
112,A400,50,337,26,35,33379,68,125,0.1418,0.3714,0.6286,-0.2262,1354,0
113,A400,90,167,24,28,9559,23,94,0.0024,0.3214,0.6786,-0.5528,1698,0
114,A400,90,200,24,32,21691,90,125,0.2123,0.2813,0.7188,-0.1527,1696,0
115,A400,90,359,29,84,19226,30,93,0.0024,0.0714,0.9286,-0.5816,1696,0
116,A400,90,349,33,70,24697,45,95,0.0071,0.1,0.9,-0.4471,1698,0
117,A400,90,140,12,30,9253,38,101,0.0047,0.2333,0.7667,-0.4836,1698,0
118,A400,90,379,35,45,37695,80,124,0.1376,0.2667,0.7333,-0.223,1700,0
119,A400,90,121,13,20,13345,89,134,0.8916,0.45,0.55,-0.1384,1698,0
120,A400,90,762,63,86,78455,88,124,0.1355,0.1765,0.8235,-0.1956,1698,0
121,A400,90,861,78,98,90154,91,126,0.1309,0.1429,0.8571,-0.182,1696,0
122,A400,90,335,37,42,32766,86,124,0.1262,0.3333,0.6667,-0.2359,1696,0
123,A400,90,242,24,33,24672,90,119,0.1272,0.3333,0.6667,-0.2035,1698,0
124,A400,90,264,26,30,25531,64,126,0.3408,0.4,0.6,-0.2445,1696,0
125,A400,90,134,20,27,14605,94,125,0.0059,0.2963,0.7037,-0.1485,1694,0
126,A400,90,372,56,70,37930,77,125,0.125,0.1739,0.8261,-0.2034,1696,0
127,A400,90,794,59,87,84410,62,127,0.1002,0.1839,0.8161,-0.1694,1696,0
128,A400,90,227,28,32,23706,77,127,0.0118,0.375,0.625,-0.1841,1698,0
129,A400,90,927,65,103,89508,68,127,0.106,0.1471,0.8529,-0.2456,1698,0
130,A400,90,227,22,31,21864,74,126,0.0106,0.2903,0.7097,-0.2475,1698,0
131,A400,90,271,35,45,28268,85,127,0.2188,0.2045,0.7954,-0.1851,1700,0
132,A400,90,771,50,89,76380,63,127,0.2474,0.2023,0.7977,-0.2261,1698,0
133,A400,90,471,37,54,43880,62,125,0.0495,0.2407,0.7593,-0.2722,1698,0
134,A400,90,285,24,32,29895,81,126,0.1508,0.4688,0.5313,-0.1805,1698,0
135,A300,70,120,17,23,12238,84,124,0.8969,0.3478,0.6522,-0.2033,1688,0
136,A300,70,4686,251,427,454421,30,133,0.154,0.0422,0.9578,-0.2424,1688,0
137,A400,40,70,15,18,8051,106,127,0.1475,0.2778,0.7222,-0.1015,1356,0
138,A400,40,180,18,26,19118,80,127,0.1219,0.3462,0.6539,-0.1702,1362,0
139,A400,60,170,18,23,18052,79,127,0.4417,0.4783,0.5217,-0.1704,1698,0
140,A400,60,83,14,20,9917,110,134,0.6533,0.3,0.7,-0.0666,1696,0
141,A300,80,2705,213,359,197957,28,126,0.6613,0.0393,0.9607,-0.4283,1364,0
142,A300,100,177,15,50,17388,65,126,0.0353,0.1,0.9,-0.2325,1360,0
143,A400,40,221,26,31,22508,66,125,0.2533,0.3548,0.6452,-0.2043,1358,0
144,A400,40,109,16,18,11573,89,126,0.0442,0.4444,0.5556,-0.1705,1358,0
145,A400,40,104,14,14,11748,84,135,0.5712,0.7143,0.2857,-0.1175,1362,0
146,A400,40,3319,221,357,363821,37,133,0.6618,0.0448,0.9552,-0.1436,1360,0
147,A400,40,501,33,53,46520,49,127,0.0604,0.2453,0.7547,-0.2746,1358,0
148,A400,40,291,20,33,28711,68,126,0.4345,0.3939,0.6061,-0.2292,1358,0
149,A400,40,444,43,61,45269,78,126,0.3941,0.1803,0.8197,-0.2035,1360,0
150,A400,40,258,27,31,26902,75,125,0.0912,0.3871,0.6129,-0.1854,1360,0
151,A300,70,168,24,28,20267,102,143,0.0265,0.2857,0.7143,-0.0575,1360,0
152,A300,70,136,19,19,16571,99,143,0.0236,0.5263,0.4737,-0.0481,1358,0
153,A300,70,119,26,26,14471,97,143,0.028,0.3462,0.6539,-0.05,1358,0
154,A300,70,257,21,34,31058,91,151,0.0236,0.2941,0.7059,-0.0559,1356,0
155,A300,70,265,47,56,34055,106,156,0.0206,0.1636,0.8364,0.004,1358,0
156,A300,70,105,18,24,13943,120,150,0.0192,0.3333,0.6667,0.0374,1358,0
157,A300,70,154,20,22,19711,103,156,0.0221,0.4091,0.5909,0.0,1358,0
158,A300,70,145,18,21,18695,101,156,0.025,0.4286,0.5714,0.0073,1358,0
159,A300,100,123,33,17,15858,116,143,0.6124,0.7368,-0.2632,0.0072,1708,0
160,A300,70,56,13,6,6632,108,132,0.0103,0.5,-0.5,-0.0748,1354,0
161,A300,70,226,33,31,25563,100,132,0.0547,0.64,0.36,-0.1163,1354,0
162,A300,70,436,41,56,39043,71,117,0.0576,0.2143,0.7857,-0.3004,1354,0
163,A300,70,84,19,11,9155,99,118,0.2851,0.9167,-0.0833,-0.1485,1354,0
164,A300,70,63,20,15,7752,109,140,0.2142,0.8571,-0.1429,-0.0387,1354,0
165,A300,70,1590,143,172,154035,80,116,0.0576,0.1243,0.8757,-0.2431,1354,0
166,A300,70,2267,201,161,248809,96,127,0.2083,0.2808,0.7192,-0.1426,1354,0
167,A300,70,521,90,54,62926,104,135,0.1004,0.7609,0.2391,-0.0564,1354,0
168,A300,70,395,54,59,41476,92,127,0.1195,0.2364,0.7636,-0.1797,1356,0
169,A300,70,353,53,56,32335,79,118,0.0,0.34,0.66,-0.2844,1352,0
170,A300,70,205,33,36,22913,98,125,0.1389,0.3429,0.6571,-0.1268,1354,0
171,A300,70,135,16,23,8781,46,86,0.0148,0.55,0.45,-0.4918,1356,0
172,A300,70,294,35,42,20642,47,95,0.0044,0.2857,0.7143,-0.4515,1356,0
173,A300,70,71,12,13,6820,86,110,0.0236,0.6154,0.3846,-0.2496,1356,0
174,A300,70,56,16,19,6593,109,126,0.2127,0.3333,0.6667,-0.0802,1354,0
175,A300,70,54,17,15,5912,97,132,0.0443,0.6429,0.3571,-0.1447,1354,0
176,A300,70,400,49,42,35427,78,101,0.0929,0.5588,0.4412,-0.3081,1356,0
177,A300,70,82,22,21,9467,105,127,0.2445,0.4444,0.5556,-0.098,1358,0
178,A300,70,69,14,14,7659,98,125,0.2327,0.7143,0.2857,-0.1328,1358,0
179,A300,70,114,38,21,13595,106,134,0.257,0.6,-0.4,-0.0683,1354,0
180,A300,70,158,28,19,15719,89,111,0.7577,0.8421,0.1579,-0.2228,1354,0
181,A300,70,57,15,12,4557,70,93,0.0369,1.0,0.0,-0.3754,1354,0
182,A300,70,74,15,11,4347,36,84,0.0133,0.8182,0.1818,-0.5411,1356,0
183,A300,70,75,23,12,8535,104,127,0.2729,0.8571,-0.1429,-0.1109,1356,0
184,A300,70,787,94,94,85268,94,124,0.1976,0.2529,0.7471,-0.1535,1356,0
185,A300,70,5027,748,403,611544,93,143,0.1193,0.8824,0.1177,-0.0496,1358,0
186,A300,70,353,65,40,34230,84,111,0.5678,0.7188,0.2813,-0.2424,1356,0
187,A300,70,59,13,12,5608,85,103,0.0502,0.6667,0.3333,-0.2574,1354,0
188,A300,70,74,19,13,8915,109,132,0.2866,0.9231,-0.0769,-0.0588,1354,0
189,A300,70,55,12,7,6106,101,124,0.3835,0.5833,-0.4167,-0.1327,1356,0
190,A300,70,397,50,56,21964,33,84,0.0015,0.283,0.717,-0.5678,1354,0
191,A300,70,123,28,16,13148,95,118,0.3319,0.5789,-0.4211,-0.1649,1356,0
192,A300,70,78,24,12,8388,95,119,0.5443,1.0,0.0,-0.1599,1356,0
193,A300,70,63,17,17,6374,90,116,0.6431,0.3529,0.6471,-0.2096,1356,0
194,A300,70,170,28,25,20000,105,126,0.7463,0.5417,0.4583,-0.0809,1356,0
195,A300,70,124,18,20,13549,97,124,0.1612,0.6,0.4,-0.1464,1352,0
196,A300,70,884,106,98,83716,77,118,0.0723,0.3188,0.6812,-0.2601,1356,0
197,A300,70,139,21,27,8233,40,78,0.0752,0.3704,0.6296,-0.5373,1356,0
198,A300,70,444,58,50,51661,97,134,0.5847,0.36,0.64,-0.091,1358,0
199,A300,70,112,23,17,11154,87,111,0.941,0.9375,0.0625,-0.222,1356,0
200,A300,70,71,15,10,8824,113,135,0.5965,0.8182,-0.1818,-0.0291,1358,0
201,A300,70,77,15,20,8235,97,124,0.1991,0.35,0.65,-0.1645,1356,0
202,A300,70,812,93,120,60260,51,93,0.0,0.1167,0.8833,-0.4202,1358,0
203,A300,70,2904,197,207,145129,22,86,0.0147,0.1569,0.8431,-0.6096,1358,0
204,A300,70,964,106,103,53750,29,84,0.0148,0.2292,0.7708,-0.5644,1356,0
205,A300,70,521,61,67,31515,43,78,0.0118,0.3594,0.6406,-0.5274,1358,0
206,A300,70,938,117,94,110127,102,133,0.3186,0.4533,0.5467,-0.0828,1356,0
207,A300,70,4315,470,380,479002,82,148,0.0502,0.3454,0.6546,-0.1328,1354,0
208,A300,70,995,70,90,110993,95,133,0.3338,0.2614,0.7386,-0.1285,1354,0
209,A300,70,585,101,56,63194,96,125,0.2574,0.3922,0.6078,-0.1561,1352,0
210,A300,70,7292,466,536,608995,43,108,0.0,0.0946,0.9054,-0.3475,1352,0
211,A300,70,1014,96,102,61231,40,79,0.003,0.2841,0.7159,-0.5282,1356,0
212,A300,70,1784,90,99,202537,95,135,0.2378,0.3441,0.6559,-0.113,1354,0
213,A300,70,573,67,62,60005,90,126,0.1817,0.3509,0.6491,-0.1819,1354,0
214,A300,70,2875,202,161,316233,82,133,0.0962,0.2932,0.7068,-0.1407,1352,0
215,A300,70,2483,107,129,198389,44,101,0.0399,0.2339,0.7661,-0.3758,1354,0
216,A300,70,709,84,55,83627,105,132,0.3609,0.7561,0.2439,-0.0785,1352,0
217,A300,70,1148,85,94,121595,89,132,0.2127,0.2353,0.7647,-0.1725,1354,0
218,A300,70,3811,235,230,365943,78,124,0.2032,0.246,0.754,-0.2498,1358,0
219,A300,70,613,95,77,63480,90,117,0.0974,0.5652,0.4348,-0.191,1356,0
220,A300,70,540,69,70,66181,110,135,0.2482,0.1884,0.8116,-0.0425,1354,0
221,A300,70,694,60,53,77691,94,127,0.2482,0.6471,0.3529,-0.1254,1354,0
222,A300,70,67,15,13,8477,113,140,0.2323,0.8333,0.1667,-0.0115,1352,0
223,A300,70,1348,98,100,126759,81,118,0.2788,0.2577,0.7423,-0.2654,1356,0
224,A300,70,265,47,40,26694,86,116,0.09,0.4857,0.5143,-0.213,1356,0
225,A300,70,138,30,16,17295,114,141,0.2596,0.8235,-0.1765,-0.0209,1356,0
226,A300,70,109,25,22,12602,102,132,0.208,0.5909,0.4091,-0.0968,1356,0
227,A300,70,74,19,20,8027,98,119,0.2541,0.35,0.65,-0.1525,1354,0
228,A300,70,7579,591,431,917886,95,141,0.6785,0.3333,0.6667,-0.0538,1356,0
229,A300,70,184,31,15,19460,96,118,0.2024,0.7895,-0.2105,-0.1737,1354,0
230,A300,70,252,55,36,19650,52,94,0.0206,0.6429,0.3571,-0.3908,1356,0
231,A300,70,62,14,14,6819,98,124,0.3131,0.7143,0.2857,-0.1408,1354,0
232,A300,70,60,14,8,6685,102,124,0.1684,0.5385,-0.4615,-0.1296,1354,0
233,A300,70,55,20,14,6483,109,127,0.3575,1.0,0.0,-0.0791,1354,0
234,A300,70,241,45,35,14875,42,85,0.056,0.76,-0.24,-0.5178,1356,0
235,A300,70,54,18,7,6135,102,124,0.1581,0.5385,-0.4615,-0.1124,1354,0
236,A300,70,128,22,30,15896,111,140,0.1755,0.2759,0.7241,-0.0298,1356,0
237,A300,70,51,17,14,4499,51,117,0.0162,0.4286,0.5714,-0.3108,1358,0
238,A300,70,61,12,14,5695,81,109,0.1108,0.5,0.5,-0.2706,1354,0
239,A300,70,780,106,83,84461,96,126,0.2876,0.3433,0.6567,-0.154,1356,0
240,A300,70,493,56,38,59901,105,141,0.6824,0.7059,0.2941,-0.0508,1354,0
241,A300,70,65,10,12,6757,95,115,0.8881,0.8182,0.1818,-0.1879,1358,0
242,A300,70,138,28,21,14757,93,118,0.324,0.7368,0.2632,-0.1646,1358,0
243,A300,70,85,23,16,8566,93,111,0.3314,0.8125,-0.1875,-0.2127,1358,0
244,A300,70,59,15,16,3095,41,71,0.0266,0.375,0.625,-0.5902,1356,0
245,A300,70,222,25,29,25660,104,125,0.433,0.5,0.5,-0.097,1358,0
246,A300,70,73,20,11,8327,103,126,0.1165,0.5,-0.5,-0.1088,1356,0
247,A300,70,286,54,33,30518,95,125,0.705,0.7353,-0.2647,-0.1664,1356,0
248,A300,70,390,30,36,38672,80,118,0.0957,0.4167,0.5833,-0.2253,1358,0
249,A300,70,52,17,13,5376,95,111,0.243,1.0,0.0,-0.1923,1358,0
250,A300,70,98,23,14,9733,89,113,0.1985,0.7857,0.2143,-0.2241,1360,0
251,A300,70,61,12,11,6834,102,124,0.1252,0.9091,-0.0909,-0.1247,1358,0
252,A300,70,75,19,16,7384,89,109,0.5243,0.7857,0.2143,-0.2308,1358,0
253,A300,70,705,76,76,63525,73,117,0.0722,0.2973,0.7027,-0.296,1358,0
254,A300,70,196,52,35,22534,104,127,0.7118,0.6207,-0.3793,-0.1018,1360,0
255,A300,70,64,16,13,7216,102,124,0.1593,0.9167,-0.0833,-0.1191,1356,0
256,A300,70,130,26,25,13185,90,117,0.5258,0.5909,0.4091,-0.2076,1358,0
257,A300,70,215,36,22,24463,103,125,0.2493,0.8095,0.1905,-0.1111,1356,0
258,A300,70,178,25,28,18774,92,116,0.0546,0.3929,0.6071,-0.176,1356,0
259,A300,70,155,24,27,16678,96,120,0.1711,0.3704,0.6296,-0.1594,1356,0
260,A300,70,1030,72,92,71852,49,84,0.0,0.1868,0.8132,-0.455,1354,0
261,A300,70,140,27,22,15545,99,125,0.7552,0.9524,0.0476,-0.1325,1356,0
262,A300,70,1470,84,82,132939,70,118,0.0782,0.5135,0.4865,-0.2935,1356,0
263,A300,70,69,20,19,7588,100,119,0.3658,0.8571,-0.1429,-0.1408,1356,0
264,A300,70,231,31,23,29896,117,143,0.1534,0.95,-0.05,0.0111,1356,0
265,A300,70,169,33,28,19591,105,127,0.1696,1.0,0.0,-0.0944,1356,0
266,A300,70,445,72,55,46236,91,118,0.0458,0.3726,0.6274,-0.1883,1354,0
267,A300,70,245,37,33,27599,100,124,0.3264,0.5556,0.4444,-0.1199,1354,0
268,A300,70,99,16,13,12056,111,132,0.2872,0.8571,-0.1429,-0.0486,1358,0
269,A300,70,55,19,17,6146,104,125,0.2121,0.5625,0.4375,-0.127,1358,0
270,A300,70,873,174,100,103898,106,133,0.6613,0.625,-0.375,-0.0702,1358,0
271,A300,70,64,16,13,7286,102,126,0.0811,0.8333,0.1667,-0.1106,1356,0
272,A300,70,60,20,11,6260,96,117,0.2088,0.7692,-0.2308,-0.1849,1360,0
273,A300,70,120,31,18,12834,90,125,0.0723,0.4231,-0.5769,-0.1645,1356,0
274,A300,70,314,84,50,38597,110,140,0.4749,1.0,0.0,-0.0397,1356,0
275,A300,70,61,17,11,7309,112,132,0.3097,0.7857,-0.2143,-0.0639,1356,0
276,A300,70,253,50,26,28728,86,135,0.0443,0.5,-0.5,-0.1129,1356,0
277,A300,70,509,73,60,49765,80,116,0.1296,0.9063,-0.0938,-0.2362,1358,0
278,A300,70,170,25,21,16633,84,116,0.0619,0.65,0.35,-0.2356,1356,0
279,A300,70,78,22,10,8246,95,117,0.0796,0.2727,-0.7273,-0.1741,1356,0
280,A300,70,77,17,13,6861,76,109,0.0428,0.7692,0.2308,-0.3039,1356,0
281,A300,70,83,18,12,10702,116,140,0.2552,0.7333,-0.2667,0.0073,1356,0
282,A300,70,61,12,10,6490,96,118,0.1224,0.9,-0.1,-0.1688,1356,0
283,A300,70,80,23,17,4931,41,84,0.0251,0.5882,0.4118,-0.5185,1356,0
284,A300,70,51,15,10,5546,99,124,0.1445,1.0,0.0,-0.1504,1356,0
285,A300,70,58,22,7,7050,111,135,0.2714,0.2381,-0.7619,-0.0504,1356,0
286,A300,70,58,13,11,7114,112,133,0.1711,0.9091,0.0909,-0.0418,1356,0
287,A300,70,130,38,25,16308,115,140,0.2625,0.6842,-0.3158,-0.02,1356,0
288,A300,70,117,22,14,11647,89,110,0.0605,0.8,-0.2,-0.2223,1356,0
289,A300,70,490,38,44,50867,86,118,0.1211,0.3721,0.6279,-0.189,1354,0
290,A300,70,318,36,33,31789,85,124,0.1078,0.6333,0.3667,-0.219,1354,0
291,A300,70,185,29,24,18517,88,119,0.0295,0.8095,0.1905,-0.218,1354,0
292,A300,70,59,13,11,5957,89,111,0.223,0.9091,-0.0909,-0.2112,1354,0
293,A300,70,119,20,18,11516,84,117,0.1021,0.6667,0.3333,-0.244,1352,0
294,A300,70,66,10,11,5652,75,101,0.1165,0.8182,0.1818,-0.331,1356,0
295,A300,70,268,28,25,26356,84,118,0.1254,0.6956,0.3043,-0.2317,1356,0
296,A300,70,99,29,17,11843,109,134,0.1093,0.5882,-0.4118,-0.0654,1354,0
297,A300,70,197,38,29,19139,86,109,0.0502,0.5185,0.4815,-0.241,1354,0
298,A300,70,91,12,14,8106,79,101,0.0192,0.5714,0.4286,-0.3041,1358,0
299,A300,70,142,30,29,12465,72,109,0.0473,0.4444,0.5556,-0.3142,1354,0
300,A300,70,60,13,11,6133,91,117,0.1195,0.8182,0.1818,-0.2014,1356,0
