session_id,session_start_hour,initial_soc_pct,charger_type,vehicle_battery_kwh,station_region,is_weekend,energy_charged_kwh
LZ-EV-000108,17,38.1,fast_22kw,62.9,barcelona,1,31.71
LZ-EV-000109,23,58.7,fast_22kw,68.2,valencia,0,25.82
LZ-EV-000110,19,33.7,slow_7kw,82.7,malaga,0,34.31
LZ-EV-000111,2,31.6,rapid_50kw,81.8,murcia,0,43.93
LZ-EV-000112,11,18.2,ultra_150kw,44.3,barcelona,0,35.53
LZ-EV-000113,0,51.7,rapid_50kw,45.8,barcelona,1,13.25
LZ-EV-000114,8,16.5,rapid_50kw,56.7,madrid,1,42.77
LZ-EV-000115,4,43.6,slow_7kw,73.3,valencia,0,35.08
LZ-EV-000116,20,60.5,slow_7kw,52.0,sevilla,0,19.65
LZ-EV-000117,16,45.6,fast_22kw,86.4,zaragoza,1,41.74
LZ-EV-000118,1,86.8,fast_22kw,65.4,zaragoza,0,8.15
LZ-EV-000119,5,10.2,rapid_50kw,34.1,madrid,0,26.82
LZ-EV-000120,3,21.9,fast_22kw,56.7,bilbao,0,38.48
LZ-EV-000121,7,29.6,slow_7kw,59.9,murcia,0,30.22
LZ-EV-000122,23,31.6,fast_22kw,63.6,barcelona,0,40.99
LZ-EV-000123,18,15.1,slow_7kw,57.5,bilbao,0,51.29
LZ-EV-000124,0,51.0,fast_22kw,39.8,zaragoza,0,17.78
LZ-EV-000125,14,43.8,slow_7kw,60.0,valencia,0,29.42
LZ-EV-000126,3,40.5,ultra_150kw,60.0,madrid,0,30.86
LZ-EV-000127,6,46.8,fast_22kw,57.5,madrid,1,26.96
LZ-EV-000128,10,16.6,fast_22kw,71.7,zaragoza,0,59.78
LZ-EV-000129,14,48.3,fast_22kw,80.0,malaga,1,39.52
LZ-EV-000130,9,47.7,fast_22kw,57.8,valencia,0,27.97
LZ-EV-000131,4,35.8,ultra_150kw,47.5,murcia,0,24.9
LZ-EV-000132,10,43.6,slow_7kw,70.8,malaga,1,38.44
LZ-EV-000133,8,31.6,rapid_50kw,61.1,madrid,0,25.81
LZ-EV-000134,0,55.9,slow_7kw,72.2,bilbao,1,29.09
LZ-EV-000135,3,58.5,slow_7kw,69.5,madrid,0,25.93
LZ-EV-000136,3,57.4,slow_7kw,41.5,malaga,1,16.1
LZ-EV-000137,13,28.3,rapid_50kw,67.5,barcelona,0,15.77
LZ-EV-000138,17,34.7,ultra_150kw,42.7,malaga,1,25.38
LZ-EV-000139,8,5.4,rapid_50kw,54.3,malaga,0,28.78
LZ-EV-000140,1,16.5,slow_7kw,28.0,zaragoza,0,18.18
LZ-EV-000141,17,6.1,fast_22kw,67.3,murcia,1,38.79
LZ-EV-000142,22,20.8,slow_7kw,58.4,murcia,0,27.82
LZ-EV-000143,3,38.7,fast_22kw,54.1,murcia,0,30.01
LZ-EV-000144,0,34.8,slow_7kw,70.0,malaga,0,44.9
LZ-EV-000145,6,45.5,slow_7kw,53.4,malaga,1,27.26
LZ-EV-000146,10,38.3,slow_7kw,73.4,zaragoza,0,42.22
LZ-EV-000147,5,29.9,ultra_150kw,60.7,zaragoza,0,34.16
LZ-EV-000148,20,2.0,fast_22kw,55.4,barcelona,0,49.95
LZ-EV-000149,20,2.0,slow_7kw,63.4,sevilla,1,43.8
LZ-EV-000150,21,62.4,slow_7kw,59.6,bilbao,1,19.79
LZ-EV-000151,13,49.2,rapid_50kw,67.9,bilbao,0,23.3
LZ-EV-000152,3,40.9,slow_7kw,73.6,zaragoza,0,36.06
LZ-EV-000153,2,14.5,slow_7kw,55.2,bilbao,0,49.35
LZ-EV-000154,14,40.6,slow_7kw,34.5,sevilla,0,21.09
LZ-EV-000155,14,49.0,rapid_50kw,43.5,murcia,0,17.82
LZ-EV-000156,18,80.5,ultra_150kw,58.1,bilbao,0,10.19
LZ-EV-000157,16,20.5,slow_7kw,46.5,bilbao,0,24.2
LZ-EV-000158,11,35.0,fast_22kw,70.1,malaga,0,42.17
LZ-EV-000159,6,56.6,fast_22kw,48.5,sevilla,0,19.18
LZ-EV-000160,20,35.1,fast_22kw,34.5,malaga,0,22.32
LZ-EV-000161,7,12.4,slow_7kw,60.1,valencia,0,50.55
LZ-EV-000162,20,30.2,fast_22kw,57.7,zaragoza,0,41.56
LZ-EV-000163,7,46.9,fast_22kw,61.9,madrid,1,28.49
LZ-EV-000164,12,68.6,ultra_150kw,52.9,bilbao,0,14.81
LZ-EV-000165,16,62.9,ultra_150kw,40.2,zaragoza,0,13.89
LZ-EV-000166,13,31.8,fast_22kw,67.7,madrid,0,43.14
LZ-EV-000167,12,28.9,slow_7kw,69.0,barcelona,0,28.91
LZ-EV-000168,17,21.4,slow_7kw,67.6,bilbao,0,39.06
LZ-EV-000169,16,39.4,fast_22kw,45.4,sevilla,0,27.29
LZ-EV-000170,22,14.7,rapid_50kw,67.4,valencia,0,19.78
LZ-EV-000171,11,2.1,fast_22kw,28.0,bilbao,0,23.35
LZ-EV-000172,18,64.2,fast_22kw,50.2,bilbao,1,17.6
LZ-EV-000173,22,35.0,fast_22kw,65.5,barcelona,0,38.95
LZ-EV-000174,0,62.0,rapid_50kw,81.4,murcia,0,28.85
LZ-EV-000175,14,3.5,slow_7kw,71.4,malaga,1,34.01
LZ-EV-000176,4,39.3,fast_22kw,73.9,zaragoza,0,40.53
LZ-EV-000177,0,38.4,fast_22kw,73.8,sevilla,0,27.87
LZ-EV-000178,14,54.4,fast_22kw,69.6,barcelona,0,30.43
LZ-EV-000179,9,52.7,fast_22kw,62.2,valencia,0,31.57
LZ-EV-000180,15,55.4,ultra_150kw,45.9,barcelona,0,18.38
LZ-EV-000181,19,25.5,rapid_50kw,55.1,murcia,1,26.48
LZ-EV-000182,14,42.4,slow_7kw,64.8,sevilla,1,36.92
LZ-EV-000183,23,24.0,slow_7kw,67.9,sevilla,0,46.35
LZ-EV-000184,9,2.0,slow_7kw,41.4,barcelona,0,36.45
LZ-EV-000185,18,29.9,fast_22kw,53.3,bilbao,0,31.83
LZ-EV-000186,0,55.6,slow_7kw,69.5,valencia,1,26.87
LZ-EV-000187,6,41.7,slow_7kw,42.1,zaragoza,1,23.3
LZ-EV-000188,1,23.0,fast_22kw,77.1,murcia,1,46.34
LZ-EV-000189,7,53.2,rapid_50kw,97.5,sevilla,1,36.23
LZ-EV-000190,8,44.6,rapid_50kw,73.8,valencia,0,19.58
LZ-EV-000191,16,37.0,rapid_50kw,60.3,valencia,1,21.74
LZ-EV-000192,3,37.0,slow_7kw,77.8,murcia,0,21.41
LZ-EV-000193,15,43.2,fast_22kw,67.7,valencia,0,32.91
LZ-EV-000194,18,40.6,rapid_50kw,47.6,malaga,0,21.35
LZ-EV-000195,6,29.4,fast_22kw,63.2,barcelona,0,44.67
LZ-EV-000196,13,63.8,fast_22kw,44.7,malaga,0,16.01
LZ-EV-000197,13,37.9,rapid_50kw,77.0,malaga,0,21.85
LZ-EV-000198,12,44.5,ultra_150kw,45.4,murcia,1,22.25
LZ-EV-000199,10,17.9,rapid_50kw,41.0,zaragoza,0,20.82
LZ-EV-000200,12,26.5,slow_7kw,76.1,murcia,0,57.54
LZ-EV-000201,5,29.2,slow_7kw,50.4,bilbao,1,34.31
LZ-EV-000202,19,53.2,slow_7kw,39.2,zaragoza,0,14.84
LZ-EV-000203,10,69.2,rapid_50kw,71.2,valencia,0,22.49
LZ-EV-000204,7,46.5,slow_7kw,71.8,malaga,0,33.13
LZ-EV-000205,4,30.1,rapid_50kw,70.8,malaga,0,26.3
LZ-EV-000206,23,23.5,fast_22kw,67.0,malaga,0,29.41
LZ-EV-000207,0,37.0,ultra_150kw,81.1,murcia,1,38.06
LZ-EV-000208,15,50.1,slow_7kw,53.5,sevilla,1,23.32
LZ-EV-000209,6,18.0,rapid_50kw,77.9,sevilla,0,19.42
LZ-EV-000210,8,43.5,slow_7kw,41.2,madrid,0,22.51
LZ-EV-000211,0,27.2,fast_22kw,72.6,barcelona,1,21.9
LZ-EV-000212,6,12.3,fast_22kw,58.4,murcia,0,49.41
LZ-EV-000213,22,20.7,slow_7kw,54.0,sevilla,1,32.46
LZ-EV-000214,19,41.8,slow_7kw,57.8,sevilla,0,30.86
LZ-EV-000215,4,48.4,fast_22kw,63.7,valencia,1,29.85
LZ-EV-000216,5,13.1,fast_22kw,61.4,zaragoza,0,58.52
LZ-EV-000217,22,40.6,slow_7kw,49.6,barcelona,0,26.01
LZ-EV-000218,10,14.4,fast_22kw,63.2,barcelona,0,39.18
LZ-EV-000219,3,26.2,slow_7kw,84.1,barcelona,0,20.57
LZ-EV-000220,7,5.6,fast_22kw,67.8,barcelona,0,25.04
LZ-EV-000221,14,55.6,fast_22kw,60.2,zaragoza,1,24.79
LZ-EV-000222,17,49.5,fast_22kw,56.9,barcelona,1,27.78
LZ-EV-000223,11,44.4,fast_22kw,85.8,sevilla,0,36.09
LZ-EV-000224,15,43.7,fast_22kw,48.2,murcia,0,25.96
LZ-EV-000225,18,55.9,fast_22kw,63.5,sevilla,0,21.92
LZ-EV-000226,18,48.6,slow_7kw,78.8,murcia,0,34.98
LZ-EV-000227,23,33.7,slow_7kw,47.2,zaragoza,0,33.23
LZ-EV-000228,2,25.8,slow_7kw,77.6,barcelona,0,51.32
LZ-EV-000229,18,82.9,ultra_150kw,50.9,barcelona,0,8.51
LZ-EV-000230,14,51.9,fast_22kw,83.6,madrid,0,36.99
LZ-EV-000231,21,69.2,rapid_50kw,55.9,murcia,1,16.42
LZ-EV-000232,16,27.3,slow_7kw,48.9,madrid,0,33.41
LZ-EV-000233,19,37.8,fast_22kw,48.1,bilbao,0,24.99
LZ-EV-000234,22,55.1,fast_22kw,74.9,murcia,0,33.42
LZ-EV-000235,5,63.1,slow_7kw,32.1,zaragoza,0,9.77
LZ-EV-000236,20,9.6,slow_7kw,62.1,bilbao,1,32.22
LZ-EV-000237,18,19.1,slow_7kw,55.8,bilbao,1,37.06
LZ-EV-000238,21,20.8,rapid_50kw,55.9,bilbao,1,23.96
LZ-EV-000239,23,16.2,rapid_50kw,61.2,malaga,0,36.84
LZ-EV-000240,22,37.1,rapid_50kw,67.9,bilbao,0,28.97
LZ-EV-000241,8,29.4,slow_7kw,66.2,malaga,0,49.52
LZ-EV-000242,11,37.1,fast_22kw,38.5,valencia,0,24.49
LZ-EV-000243,12,2.0,rapid_50kw,69.6,sevilla,0,23.18
LZ-EV-000244,11,59.4,fast_22kw,57.3,barcelona,0,22.35
LZ-EV-000245,1,38.8,rapid_50kw,74.6,zaragoza,0,18.32
LZ-EV-000246,22,90.0,slow_7kw,67.4,valencia,1,6.45
LZ-EV-000247,14,58.8,fast_22kw,47.0,barcelona,0,17.92
LZ-EV-000248,19,26.0,slow_7kw,93.0,valencia,0,28.34
LZ-EV-000249,19,83.9,fast_22kw,78.3,valencia,0,11.4
LZ-EV-000250,2,40.8,fast_22kw,75.8,barcelona,1,36.6
LZ-EV-000251,8,56.0,fast_22kw,41.8,malaga,0,16.5
LZ-EV-000252,4,31.7,rapid_50kw,82.4,sevilla,0,28.42
LZ-EV-000253,5,21.0,slow_7kw,62.6,barcelona,0,48.23
LZ-EV-000254,21,33.2,slow_7kw,65.2,malaga,0,21.83
LZ-EV-000255,18,46.4,ultra_150kw,60.3,murcia,1,30.84
LZ-EV-000256,2,44.7,fast_22kw,52.0,malaga,1,25.19
LZ-EV-000257,15,58.2,fast_22kw,79.8,malaga,1,28.48
LZ-EV-000258,11,41.8,slow_7kw,64.7,madrid,0,39.41
LZ-EV-000259,0,35.6,fast_22kw,71.5,zaragoza,0,38.23
LZ-EV-000260,9,39.7,fast_22kw,60.1,malaga,0,30.83
LZ-EV-000261,22,2.0,rapid_50kw,53.5,sevilla,0,26.32
LZ-EV-000262,20,24.6,fast_22kw,47.8,madrid,1,24.22
LZ-EV-000263,16,41.9,slow_7kw,59.6,sevilla,0,30.3
LZ-EV-000264,18,45.0,rapid_50kw,60.5,murcia,0,26.9
LZ-EV-000265,2,44.7,slow_7kw,48.3,murcia,0,24.54
LZ-EV-000266,6,2.0,rapid_50kw,60.4,sevilla,0,21.01
LZ-EV-000267,5,43.6,rapid_50kw,79.8,murcia,1,11.33
LZ-EV-000268,11,20.7,ultra_150kw,73.8,zaragoza,1,31.79
LZ-EV-000269,22,15.5,slow_7kw,74.0,sevilla,0,51.0
LZ-EV-000270,10,41.7,slow_7kw,74.6,barcelona,0,39.64
LZ-EV-000271,11,44.4,fast_22kw,54.3,barcelona,0,27.78
LZ-EV-000272,5,21.9,rapid_50kw,90.7,valencia,1,28.43
LZ-EV-000273,17,26.1,fast_22kw,80.1,murcia,0,36.58
LZ-EV-000274,10,44.8,fast_22kw,80.3,sevilla,0,37.85
LZ-EV-000275,4,15.8,rapid_50kw,61.4,murcia,0,25.41
LZ-EV-000276,10,4.7,slow_7kw,60.4,barcelona,0,23.66
LZ-EV-000277,23,54.1,slow_7kw,64.3,sevilla,0,27.98
LZ-EV-000278,9,42.1,slow_7kw,64.1,bilbao,0,33.17
LZ-EV-000279,4,61.1,fast_22kw,41.9,madrid,1,15.35
LZ-EV-000280,3,26.2,slow_7kw,69.0,malaga,0,48.51
LZ-EV-000281,11,59.8,fast_22kw,83.6,bilbao,0,32.24
LZ-EV-000282,0,11.0,fast_22kw,55.6,murcia,0,43.51
LZ-EV-000283,2,36.3,fast_22kw,67.5,barcelona,0,40.52
LZ-EV-000284,5,16.9,fast_22kw,33.1,valencia,0,24.33
LZ-EV-000285,11,38.4,slow_7kw,34.0,sevilla,0,18.62
LZ-EV-000286,10,47.6,rapid_50kw,59.3,barcelona,1,26.32
LZ-EV-000287,11,53.5,rapid_50kw,55.0,sevilla,0,22.64
LZ-EV-000288,15,25.4,fast_22kw,82.4,malaga,1,25.21
LZ-EV-000289,23,32.2,slow_7kw,63.8,sevilla,0,40.58
LZ-EV-000290,6,2.2,ultra_150kw,54.9,madrid,1,36.5
LZ-EV-000291,16,20.9,slow_7kw,44.7,bilbao,0,29.86
LZ-EV-000292,11,37.3,rapid_50kw,72.1,barcelona,0,15.91
LZ-EV-000293,20,57.7,fast_22kw,50.0,bilbao,0,20.04
LZ-EV-000294,11,7.1,slow_7kw,79.4,bilbao,0,55.45
LZ-EV-000295,23,47.8,fast_22kw,64.7,madrid,1,31.22
LZ-EV-000296,13,52.1,fast_22kw,58.7,barcelona,0,27.32
LZ-EV-000297,11,12.0,slow_7kw,54.7,valencia,0,41.94
LZ-EV-000298,14,26.7,fast_22kw,63.0,sevilla,0,28.28
LZ-EV-000299,15,35.3,rapid_50kw,83.1,bilbao,0,37.23
LZ-EV-000300,11,34.7,fast_22kw,70.7,sevilla,0,44.07
LZ-EV-000301,10,13.7,slow_7kw,67.3,bilbao,0,58.61
LZ-EV-000302,18,42.7,slow_7kw,63.1,valencia,0,35.32
LZ-EV-000303,14,26.8,fast_22kw,63.2,sevilla,0,44.79
LZ-EV-000304,2,41.3,slow_7kw,65.8,malaga,0,37.05
LZ-EV-000305,18,31.4,fast_22kw,57.8,bilbao,0,33.2
LZ-EV-000306,3,52.3,fast_22kw,63.6,malaga,0,28.18
LZ-EV-000307,5,43.0,fast_22kw,68.7,valencia,0,35.36
LZ-EV-000308,16,27.1,fast_22kw,36.5,sevilla,0,23.94
LZ-EV-000309,5,39.9,fast_22kw,68.1,murcia,0,33.9
LZ-EV-000310,4,46.5,slow_7kw,60.0,bilbao,0,24.54
LZ-EV-000311,16,17.5,ultra_150kw,45.9,malaga,0,34.28
LZ-EV-000312,13,57.4,fast_22kw,83.9,bilbao,0,31.37
LZ-EV-000313,15,47.5,fast_22kw,57.2,murcia,0,29.22
LZ-EV-000314,11,31.6,slow_7kw,61.1,bilbao,0,43.98
LZ-EV-000315,0,62.4,rapid_50kw,38.9,malaga,0,14.78
LZ-EV-000316,3,9.0,fast_22kw,30.4,murcia,1,26.2
LZ-EV-000317,8,29.7,slow_7kw,96.4,sevilla,0,43.56
LZ-EV-000318,18,49.4,ultra_150kw,70.0,murcia,1,33.87
LZ-EV-000319,5,20.8,rapid_50kw,42.6,barcelona,0,26.52
LZ-EV-000320,19,28.4,fast_22kw,53.9,barcelona,0,28.02
LZ-EV-000321,2,29.4,slow_7kw,33.4,bilbao,1,23.87
LZ-EV-000322,6,14.8,rapid_50kw,64.8,murcia,1,39.68
LZ-EV-000323,15,43.9,slow_7kw,28.0,valencia,1,15.14
LZ-EV-000324,12,26.1,ultra_150kw,63.0,sevilla,0,39.17
LZ-EV-000325,7,27.8,ultra_150kw,63.9,madrid,0,39.8
LZ-EV-000326,0,38.8,slow_7kw,60.8,malaga,0,28.22
LZ-EV-000327,21,31.3,ultra_150kw,75.0,barcelona,0,51.55
LZ-EV-000328,8,65.5,slow_7kw,44.4,barcelona,0,13.59
LZ-EV-000329,18,79.3,rapid_50kw,79.9,malaga,0,15.04
LZ-EV-000330,5,4.4,rapid_50kw,59.8,murcia,0,31.7
LZ-EV-000331,18,20.6,slow_7kw,45.7,barcelona,1,23.27
LZ-EV-000332,7,38.2,slow_7kw,77.7,murcia,1,45.46
LZ-EV-000333,3,43.5,ultra_150kw,69.9,barcelona,0,33.99
LZ-EV-000334,18,4.6,rapid_50kw,65.6,murcia,1,28.07
LZ-EV-000335,20,61.8,rapid_50kw,28.0,murcia,0,11.38
LZ-EV-000336,21,15.0,slow_7kw,28.0,madrid,0,22.36
LZ-EV-000337,20,27.7,rapid_50kw,53.8,bilbao,0,17.49
LZ-EV-000338,21,68.0,slow_7kw,57.5,malaga,0,16.77
LZ-EV-000339,22,41.3,slow_7kw,28.0,bilbao,1,15.31
LZ-EV-000340,7,30.6,slow_7kw,71.8,zaragoza,0,41.2
LZ-EV-000341,12,10.1,slow_7kw,63.3,valencia,0,47.02
LZ-EV-000342,6,19.9,fast_22kw,88.7,murcia,1,54.39
LZ-EV-000343,20,42.7,slow_7kw,57.1,valencia,0,26.56
LZ-EV-000344,16,43.8,ultra_150kw,68.6,malaga,0,32.65
LZ-EV-000345,14,24.8,fast_22kw,60.0,barcelona,0,39.83
LZ-EV-000346,5,57.3,rapid_50kw,38.6,barcelona,1,15.96
LZ-EV-000347,23,15.1,fast_22kw,98.7,valencia,0,53.25
LZ-EV-000348,11,23.8,slow_7kw,56.0,zaragoza,1,41.44
LZ-EV-000349,23,32.0,fast_22kw,79.5,valencia,1,17.46
LZ-EV-000350,2,17.1,slow_7kw,28.0,sevilla,0,24.04
LZ-EV-000351,13,54.7,slow_7kw,37.0,bilbao,0,14.58
LZ-EV-000352,16,29.2,fast_22kw,46.3,valencia,1,24.38
LZ-EV-000353,4,64.0,slow_7kw,28.0,zaragoza,0,9.77
LZ-EV-000354,13,52.1,ultra_150kw,60.5,sevilla,0,26.05
LZ-EV-000355,7,54.3,fast_22kw,76.7,zaragoza,0,28.14
LZ-EV-000356,10,67.5,slow_7kw,42.0,barcelona,0,13.48
LZ-EV-000357,1,43.6,fast_22kw,65.2,zaragoza,1,36.49
LZ-EV-000358,15,15.1,rapid_50kw,68.1,murcia,1,52.41
LZ-EV-000359,4,36.8,slow_7kw,68.0,madrid,0,35.78
LZ-EV-000360,23,21.0,slow_7kw,58.3,barcelona,0,39.82
LZ-EV-000361,7,35.1,slow_7kw,57.9,valencia,0,35.97
LZ-EV-000362,15,31.9,fast_22kw,57.1,sevilla,0,29.55
LZ-EV-000363,3,40.4,fast_22kw,70.0,sevilla,0,36.08
LZ-EV-000364,13,30.8,slow_7kw,78.3,zaragoza,0,30.75
LZ-EV-000365,12,51.0,fast_22kw,68.4,zaragoza,0,26.62
