part_id,material,feed_rate,cutting_speed,depth_of_cut,tool_nose_radius,tool_wear_time,surface_roughness_ra
41,Aluminum_6061,0.247,182.7,0.718,1.2,33.1,2.071
42,Stainless_304,0.425,276.1,1.379,0.4,49.7,32.903
43,Carbon_Steel_1045,0.365,90.6,2.561,0.4,43.4,22.871
44,Aluminum_6061,0.191,327.4,1.509,0.4,51.8,4.261
45,Stainless_304,0.425,194.2,2.811,0.8,48.9,17.602
46,Aluminum_6061,0.412,127.9,0.826,0.4,16.6,16.605
47,Aluminum_6061,0.224,122.4,2.217,1.2,59.6,2.781
48,Carbon_Steel_1045,0.18,129.5,2.939,0.2,56.2,12.281
49,Carbon_Steel_1045,0.357,160.0,1.761,0.8,25.8,6.696
50,Carbon_Steel_1045,0.113,265.3,2.154,0.8,2.8,0.573
51,Stainless_304,0.14,334.9,1.331,0.8,18.2,1.24
52,Aluminum_6061,0.053,250.7,2.316,0.8,50.2,0.17
53,Stainless_304,0.404,214.1,2.749,0.8,57.1,21.487
54,Aluminum_6061,0.349,184.6,2.183,1.2,49.9,4.371
55,Aluminum_6061,0.367,298.5,2.824,0.2,23.8,24.564
56,Aluminum_6061,0.401,304.9,1.869,0.4,3.4,12.353
57,Aluminum_6061,0.257,137.9,1.837,0.8,31.1,3.533
58,Carbon_Steel_1045,0.306,336.0,1.088,0.4,22.6,9.575
59,Stainless_304,0.113,168.5,2.201,1.2,7.4,0.712
60,Stainless_304,0.102,290.0,2.675,0.8,6.4,0.701
61,Carbon_Steel_1045,0.351,340.0,2.027,0.8,9.2,6.414
62,Aluminum_6061,0.262,261.1,0.891,0.2,12.3,11.239
63,Stainless_304,0.304,98.5,1.746,0.4,45.2,21.782
64,Carbon_Steel_1045,0.394,225.8,2.329,0.8,22.9,10.505
65,Carbon_Steel_1045,0.336,85.6,2.833,0.4,26.2,20.171
66,Carbon_Steel_1045,0.299,286.7,0.681,1.2,35.9,3.252
67,Aluminum_6061,0.302,134.4,0.601,0.2,57.6,24.776
68,Carbon_Steel_1045,0.187,258.6,1.386,0.2,45.4,9.954
69,Stainless_304,0.064,323.0,0.595,0.4,38.7,0.67
70,Aluminum_6061,0.247,104.3,2.946,0.4,44.6,9.42
71,Carbon_Steel_1045,0.147,167.9,1.417,1.2,43.2,1.103
72,Stainless_304,0.234,244.1,1.717,1.2,41.4,4.061
73,Carbon_Steel_1045,0.434,175.9,0.874,0.4,29.8,26.307
74,Carbon_Steel_1045,0.155,102.4,1.485,0.8,34.0,2.04
75,Carbon_Steel_1045,0.076,58.7,2.958,0.4,27.7,0.877
76,Stainless_304,0.177,172.0,1.594,0.8,23.7,2.461
77,Carbon_Steel_1045,0.182,244.8,0.274,0.8,16.2,1.58
78,Carbon_Steel_1045,0.348,222.2,0.917,0.8,21.3,7.556
79,Aluminum_6061,0.301,96.9,2.941,1.2,25.7,3.359
80,Stainless_304,0.403,185.2,2.97,0.8,34.8,14.963
81,Stainless_304,0.349,160.8,0.829,0.4,30.0,19.526
82,Carbon_Steel_1045,0.233,132.3,1.942,0.2,6.5,14.551
83,Stainless_304,0.416,268.8,0.461,0.8,20.4,12.217
84,Carbon_Steel_1045,0.125,142.9,1.838,1.2,22.6,0.702
85,Stainless_304,0.06,212.0,0.596,0.8,42.4,0.309
86,Aluminum_6061,0.091,327.0,2.501,1.2,20.0,0.268
87,Aluminum_6061,0.375,211.8,2.834,0.4,0.5,9.25
88,Stainless_304,0.258,235.1,0.726,0.2,5.1,14.924
89,Carbon_Steel_1045,0.123,72.0,1.522,0.8,29.8,1.093
90,Carbon_Steel_1045,0.275,103.4,0.531,0.2,11.3,17.274
91,Stainless_304,0.119,80.3,1.183,0.2,29.7,5.304
92,Carbon_Steel_1045,0.363,279.4,0.429,0.8,34.5,9.086
93,Aluminum_6061,0.251,300.8,0.978,0.4,56.0,7.889
94,Carbon_Steel_1045,0.221,105.9,2.973,0.8,39.3,3.953
95,Carbon_Steel_1045,0.186,115.8,0.373,0.8,1.9,1.784
96,Aluminum_6061,0.334,147.0,2.612,0.4,22.8,11.505
97,Aluminum_6061,0.213,227.3,0.463,0.8,47.6,2.455
98,Carbon_Steel_1045,0.089,236.5,1.705,0.8,15.6,0.465
99,Stainless_304,0.103,256.0,1.493,0.8,55.5,0.926
100,Carbon_Steel_1045,0.483,321.6,2.812,0.8,31.7,16.189
101,Carbon_Steel_1045,0.459,138.5,0.797,0.4,5.5,19.811
102,Carbon_Steel_1045,0.365,247.6,0.744,0.8,14.5,6.353
103,Aluminum_6061,0.17,217.9,2.309,0.8,54.4,2.233
104,Carbon_Steel_1045,0.486,141.8,2.246,0.2,59.5,84.237
105,Aluminum_6061,0.4,322.2,2.173,0.2,51.8,42.362
106,Carbon_Steel_1045,0.373,78.6,0.322,0.2,19.2,36.219
107,Aluminum_6061,0.252,263.6,0.965,0.2,46.1,14.771
108,Carbon_Steel_1045,0.173,268.4,2.56,0.4,13.3,3.137
109,Carbon_Steel_1045,0.093,324.6,1.902,1.2,23.1,0.324
110,Stainless_304,0.456,205.6,1.906,1.2,41.8,15.585
111,Carbon_Steel_1045,0.255,146.5,1.064,1.2,58.1,4.035
112,Stainless_304,0.141,298.3,0.965,0.8,26.4,1.474
113,Carbon_Steel_1045,0.188,281.2,2.853,0.2,29.8,8.46
114,Aluminum_6061,0.311,200.1,2.251,0.4,13.2,8.158
115,Aluminum_6061,0.13,280.4,0.599,1.2,24.2,0.534
116,Aluminum_6061,0.435,130.4,2.829,1.2,3.8,6.021
117,Aluminum_6061,0.391,226.9,1.852,1.2,51.5,6.723
118,Aluminum_6061,0.374,309.6,1.167,0.4,1.4,8.257
119,Carbon_Steel_1045,0.244,145.4,1.342,0.4,41.0,9.6
120,Carbon_Steel_1045,0.332,195.1,2.245,0.8,16.4,7.084
121,Carbon_Steel_1045,0.313,335.3,1.285,0.2,28.6,23.29
122,Aluminum_6061,0.342,289.5,1.842,0.2,16.9,23.636
123,Carbon_Steel_1045,0.088,316.1,2.204,0.2,24.0,1.637
124,Aluminum_6061,0.237,165.6,0.787,0.8,32.8,3.153
125,Carbon_Steel_1045,0.069,349.0,2.847,0.2,38.5,1.21
126,Carbon_Steel_1045,0.272,95.8,1.229,0.8,56.4,7.477
127,Aluminum_6061,0.198,205.6,1.403,0.4,19.9,3.796
128,Aluminum_6061,0.115,193.8,2.171,1.2,35.1,0.576
129,Stainless_304,0.097,289.5,1.924,0.2,54.1,4.086
130,Carbon_Steel_1045,0.314,322.6,1.46,0.4,17.4,10.043
131,Carbon_Steel_1045,0.127,269.3,2.037,0.2,51.9,4.803
132,Aluminum_6061,0.466,238.0,2.733,0.4,57.5,29.173
133,Aluminum_6061,0.311,178.2,2.451,0.8,50.8,6.25
134,Carbon_Steel_1045,0.206,203.1,2.517,0.2,34.2,13.359
135,Stainless_304,0.316,202.8,0.961,0.8,43.3,10.66
136,Aluminum_6061,0.06,56.1,1.403,1.2,28.9,0.135
137,Aluminum_6061,0.481,200.9,1.773,0.2,35.8,51.612
138,Stainless_304,0.267,306.8,0.372,0.2,58.5,28.763
139,Carbon_Steel_1045,0.402,262.8,2.367,1.2,15.1,5.532
140,Aluminum_6061,0.087,288.7,1.14,0.8,47.6,0.448
141,Carbon_Steel_1045,0.269,167.1,1.027,1.2,30.4,3.547
142,Carbon_Steel_1045,0.271,208.7,0.963,0.8,10.6,3.935
143,Stainless_304,0.472,60.0,1.029,0.8,38.6,28.225
144,Aluminum_6061,0.307,164.9,1.18,0.2,47.5,22.186
145,Stainless_304,0.263,192.3,1.913,0.8,34.1,6.486
146,Aluminum_6061,0.17,126.6,1.855,0.4,50.2,3.762
147,Stainless_304,0.199,59.4,0.953,1.2,22.0,2.576
148,Stainless_304,0.284,257.1,0.818,0.2,54.8,33.836
149,Stainless_304,0.248,180.5,2.522,0.2,38.9,26.947
150,Stainless_304,0.06,174.7,0.505,0.8,48.2,0.4
151,Carbon_Steel_1045,0.422,125.0,1.66,1.2,16.4,7.635
152,Aluminum_6061,0.453,211.3,1.682,1.2,26.8,6.388
153,Aluminum_6061,0.113,181.4,1.829,0.8,54.6,0.77
154,Aluminum_6061,0.299,192.2,2.686,0.4,3.1,7.42
155,Carbon_Steel_1045,0.099,224.3,1.966,0.4,24.2,1.345
156,Aluminum_6061,0.353,51.9,2.927,1.2,46.8,6.699
157,Carbon_Steel_1045,0.177,322.3,2.646,0.2,44.6,8.107
158,Carbon_Steel_1045,0.347,71.3,0.841,0.2,51.1,51.774
159,Stainless_304,0.377,185.3,0.913,0.8,44.4,14.592
160,Carbon_Steel_1045,0.396,112.2,1.198,0.4,56.8,28.691
161,Stainless_304,0.098,207.1,1.327,0.4,29.9,1.518
162,Carbon_Steel_1045,0.462,134.1,1.771,1.2,37.5,10.81
163,Stainless_304,0.154,308.0,0.889,0.4,50.9,4.821
164,Stainless_304,0.067,168.9,0.861,1.2,42.1,0.304
165,Aluminum_6061,0.3,241.6,1.299,0.2,6.1,12.726
166,Aluminum_6061,0.217,124.7,2.098,0.4,22.0,4.98
167,Stainless_304,0.423,55.8,2.142,0.2,33.2,78.448
168,Carbon_Steel_1045,0.414,171.2,2.934,0.8,45.3,16.092
169,Stainless_304,0.193,210.9,0.807,1.2,32.6,2.282
170,Stainless_304,0.479,187.9,1.33,1.2,46.7,15.028
171,Carbon_Steel_1045,0.181,338.6,2.903,0.2,50.3,9.265
172,Stainless_304,0.282,262.1,2.148,1.2,15.9,3.99
173,Stainless_304,0.165,348.7,1.879,0.2,37.0,9.274
174,Stainless_304,0.471,138.5,1.734,0.8,33.4,20.96
175,Carbon_Steel_1045,0.124,286.7,0.458,0.8,13.6,0.679
176,Aluminum_6061,0.07,216.7,2.707,0.2,29.4,0.976
177,Aluminum_6061,0.246,233.5,1.97,0.2,32.9,13.009
178,Carbon_Steel_1045,0.497,345.8,1.822,0.2,49.0,70.44
179,Stainless_304,0.451,246.2,1.734,0.8,27.7,20.716
180,Stainless_304,0.387,319.6,1.328,0.8,4.9,9.403
181,Carbon_Steel_1045,0.451,267.7,0.95,0.2,29.2,44.244
182,Aluminum_6061,0.452,88.2,2.327,0.8,50.3,13.603
183,Carbon_Steel_1045,0.283,259.8,1.651,1.2,34.3,3.61
184,Stainless_304,0.192,195.3,0.343,0.2,19.1,10.5
185,Carbon_Steel_1045,0.397,325.6,1.348,0.8,55.3,13.277
186,Aluminum_6061,0.348,292.1,2.804,0.4,9.3,10.114
187,Carbon_Steel_1045,0.218,81.2,1.278,0.4,19.6,5.432
188,Carbon_Steel_1045,0.093,90.2,1.386,0.4,26.2,1.123
189,Carbon_Steel_1045,0.386,70.9,1.966,0.4,44.3,25.641
190,Stainless_304,0.168,198.0,2.455,0.4,50.1,6.473
191,Stainless_304,0.472,74.2,2.088,0.2,3.5,63.33
192,Aluminum_6061,0.158,267.1,2.588,0.4,47.5,3.126
193,Aluminum_6061,0.105,215.7,0.563,0.8,43.2,0.551
194,Carbon_Steel_1045,0.424,300.8,2.793,0.4,53.7,28.993
195,Aluminum_6061,0.119,133.9,2.736,0.8,54.0,1.073
196,Carbon_Steel_1045,0.131,205.7,1.678,0.2,46.7,5.839
197,Aluminum_6061,0.32,85.2,1.968,0.2,11.4,20.719
198,Aluminum_6061,0.444,315.4,0.835,1.2,18.8,5.095
199,Stainless_304,0.138,102.5,1.482,0.4,56.2,5.393
200,Aluminum_6061,0.19,80.7,0.807,0.8,35.9,2.204
201,Stainless_304,0.4,111.5,0.31,0.8,32.3,15.904
202,Aluminum_6061,0.487,291.9,2.947,0.2,54.9,59.562
203,Aluminum_6061,0.275,81.7,0.963,1.2,52.5,3.699
204,Aluminum_6061,0.115,234.3,1.881,0.4,43.6,1.447
205,Aluminum_6061,0.056,273.9,1.076,1.2,52.9,0.129
206,Carbon_Steel_1045,0.153,275.3,1.269,0.4,6.8,2.321
207,Stainless_304,0.109,107.0,1.344,0.4,45.5,2.582
208,Stainless_304,0.355,68.5,1.171,0.8,57.9,16.048
209,Aluminum_6061,0.105,184.6,2.003,0.2,2.9,1.749
210,Aluminum_6061,0.278,110.7,2.893,0.8,13.4,3.676
211,Aluminum_6061,0.362,259.8,1.429,1.2,47.6,4.537
212,Stainless_304,0.312,157.0,2.927,0.8,31.2,9.845
213,Aluminum_6061,0.14,184.8,2.086,0.2,5.2,3.111
214,Aluminum_6061,0.412,84.0,1.92,0.8,16.1,8.84
215,Stainless_304,0.372,220.3,0.902,0.2,19.4,42.845
216,Stainless_304,0.383,105.7,0.423,0.2,19.3,50.871
217,Carbon_Steel_1045,0.109,253.7,2.593,0.4,52.7,1.898
218,Aluminum_6061,0.106,71.4,1.828,0.4,39.7,1.412
219,Carbon_Steel_1045,0.467,342.8,1.39,0.2,44.1,56.833
220,Aluminum_6061,0.229,255.4,2.483,0.2,0.8,7.996
221,Carbon_Steel_1045,0.185,104.5,1.104,1.2,25.7,1.576
222,Stainless_304,0.27,54.2,2.405,0.4,19.1,13.98
223,Aluminum_6061,0.348,150.3,1.152,0.2,51.1,29.697
224,Stainless_304,0.48,95.8,2.782,0.4,57.2,65.637
225,Carbon_Steel_1045,0.179,115.5,0.987,0.8,25.4,2.083
226,Stainless_304,0.466,311.8,0.628,0.8,58.4,23.405
227,Aluminum_6061,0.061,231.0,2.17,0.4,0.9,0.293
228,Carbon_Steel_1045,0.3,102.9,0.698,0.2,19.5,21.889
229,Aluminum_6061,0.335,217.0,2.861,1.2,46.5,5.149
230,Carbon_Steel_1045,0.098,126.7,2.053,0.8,21.6,0.635
231,Aluminum_6061,0.113,342.9,0.885,1.2,55.3,0.513
232,Aluminum_6061,0.239,59.8,0.824,0.4,13.1,4.833
233,Stainless_304,0.485,269.7,2.791,0.2,47.7,91.208
234,Carbon_Steel_1045,0.318,281.9,1.922,0.4,12.1,9.607
235,Carbon_Steel_1045,0.47,70.1,2.708,0.4,11.8,28.672
236,Carbon_Steel_1045,0.412,101.6,0.553,0.8,26.7,11.524
237,Carbon_Steel_1045,0.26,165.3,2.795,0.8,56.7,6.223
238,Carbon_Steel_1045,0.403,310.4,1.68,0.2,35.1,42.873
239,Aluminum_6061,0.058,211.1,2.088,0.8,38.1,0.182
240,Aluminum_6061,0.099,246.6,1.275,0.4,0.6,0.715
241,Carbon_Steel_1045,0.423,284.9,0.413,0.8,3.4,8.71
242,Aluminum_6061,0.409,298.4,2.884,0.4,4.0,12.353
243,Carbon_Steel_1045,0.155,192.9,2.985,0.8,49.2,1.897
244,Carbon_Steel_1045,0.289,202.6,1.253,0.8,14.2,4.21
245,Aluminum_6061,0.323,265.4,2.846,0.4,19.7,9.886
246,Stainless_304,0.44,129.0,0.711,0.2,36.6,72.173
247,Carbon_Steel_1045,0.321,306.3,0.675,0.8,35.0,5.519
248,Carbon_Steel_1045,0.236,56.2,0.451,1.2,24.6,2.358
249,Stainless_304,0.218,108.7,1.326,0.4,0.3,6.918
250,Aluminum_6061,0.242,290.1,0.394,1.2,27.0,1.934
251,Aluminum_6061,0.343,152.1,1.335,0.2,44.3,33.147
252,Aluminum_6061,0.44,94.9,0.631,1.2,14.1,6.224
253,Carbon_Steel_1045,0.254,106.0,2.259,1.2,42.5,3.378
254,Aluminum_6061,0.162,209.2,2.542,0.4,0.9,1.899
255,Stainless_304,0.156,303.9,2.141,0.2,54.5,9.228
256,Aluminum_6061,0.386,71.2,0.801,0.8,57.0,10.059
257,Carbon_Steel_1045,0.417,59.1,2.359,1.2,0.1,6.775
258,Carbon_Steel_1045,0.097,189.6,0.936,0.2,27.5,2.446
259,Aluminum_6061,0.08,336.9,2.339,0.8,24.8,0.355
260,Carbon_Steel_1045,0.317,133.7,1.81,1.2,50.5,5.708
261,Carbon_Steel_1045,0.116,337.8,1.258,0.2,32.4,2.931
262,Stainless_304,0.421,316.3,0.48,0.8,36.7,14.583
263,Carbon_Steel_1045,0.19,134.9,2.526,0.2,12.2,8.354
264,Carbon_Steel_1045,0.115,295.1,2.834,0.2,4.6,2.427
265,Carbon_Steel_1045,0.464,255.8,2.081,0.4,41.5,31.745
266,Carbon_Steel_1045,0.124,203.5,2.902,0.4,37.2,2.082
267,Carbon_Steel_1045,0.178,176.9,2.819,0.2,49.9,10.873
268,Carbon_Steel_1045,0.119,294.7,0.785,1.2,50.7,0.713
269,Aluminum_6061,0.102,287.9,2.261,0.2,37.9,2.559
270,Carbon_Steel_1045,0.06,277.1,1.211,1.2,32.3,0.15
271,Aluminum_6061,0.075,349.5,1.591,0.2,54.8,1.478
272,Stainless_304,0.129,193.6,0.682,0.8,48.1,1.596
273,Aluminum_6061,0.074,292.1,2.931,0.8,52.9,0.346
274,Carbon_Steel_1045,0.316,308.7,2.247,0.4,59.8,18.308
275,Aluminum_6061,0.356,113.5,0.984,0.4,24.2,11.942
276,Aluminum_6061,0.227,62.6,1.272,1.2,43.0,2.353
277,Aluminum_6061,0.193,171.4,1.412,0.2,41.3,9.642
278,Carbon_Steel_1045,0.277,307.0,2.306,1.2,10.4,2.534
279,Aluminum_6061,0.444,136.7,2.796,0.8,38.2,12.289
280,Aluminum_6061,0.433,260.0,1.134,1.2,25.7,5.7
281,Aluminum_6061,0.07,52.2,1.549,0.4,27.0,0.612
282,Aluminum_6061,0.132,156.6,1.881,0.4,10.8,1.667
283,Stainless_304,0.157,234.7,1.332,0.8,44.7,2.563
284,Carbon_Steel_1045,0.162,88.9,1.636,0.8,41.9,2.223
285,Stainless_304,0.307,319.0,0.541,1.2,31.9,5.447
286,Carbon_Steel_1045,0.237,96.9,0.711,1.2,9.4,2.149
287,Carbon_Steel_1045,0.072,322.9,1.353,0.2,33.4,1.386
288,Stainless_304,0.218,114.9,2.766,0.2,6.0,13.492
289,Aluminum_6061,0.286,348.3,1.211,1.2,20.4,2.663
290,Stainless_304,0.096,231.4,0.937,0.4,22.3,1.424
291,Carbon_Steel_1045,0.425,75.3,2.293,0.8,53.0,14.294
292,Carbon_Steel_1045,0.073,69.6,2.86,0.2,24.9,1.928
293,Stainless_304,0.466,72.5,1.513,0.2,35.9,96.106
294,Aluminum_6061,0.095,227.0,0.274,0.4,52.5,1.018
295,Stainless_304,0.43,292.9,2.142,0.8,25.5,14.267
296,Stainless_304,0.456,170.9,1.391,1.2,53.0,15.875
297,Aluminum_6061,0.491,183.5,2.103,1.2,8.2,6.258
298,Aluminum_6061,0.411,226.8,1.014,0.2,21.9,29.219
299,Stainless_304,0.401,209.9,0.257,0.2,5.7,37.403
300,Aluminum_6061,0.339,256.4,1.197,0.8,33.7,5.713
301,Carbon_Steel_1045,0.401,191.5,2.188,0.8,57.4,13.303
302,Aluminum_6061,0.111,264.2,1.331,0.2,39.4,2.821
303,Aluminum_6061,0.291,349.2,0.853,0.4,37.6,8.682
304,Carbon_Steel_1045,0.281,155.1,1.526,1.2,16.7,3.181
305,Carbon_Steel_1045,0.436,53.7,2.319,0.2,55.9,84.514
306,Carbon_Steel_1045,0.258,87.7,0.578,1.2,28.3,3.099
307,Carbon_Steel_1045,0.223,216.1,2.152,0.4,16.0,5.176
308,Aluminum_6061,0.338,153.3,2.085,0.8,59.3,9.577
309,Carbon_Steel_1045,0.17,332.0,1.27,0.8,25.4,1.764
310,Aluminum_6061,0.113,238.2,2.918,0.8,22.3,0.717
311,Aluminum_6061,0.265,206.1,2.71,0.8,2.1,2.958
312,Aluminum_6061,0.238,289.4,1.119,0.2,10.7,8.367
313,Carbon_Steel_1045,0.155,127.6,0.336,0.4,48.6,3.124
314,Aluminum_6061,0.215,295.9,1.098,1.2,29.0,1.327
315,Aluminum_6061,0.215,50.9,0.813,0.2,57.3,15.577
316,Carbon_Steel_1045,0.197,235.9,1.755,0.8,5.0,1.826
317,Aluminum_6061,0.221,330.4,2.777,0.8,37.0,2.588
318,Stainless_304,0.359,286.4,2.643,0.2,43.2,41.803
319,Carbon_Steel_1045,0.184,306.1,1.091,0.2,37.3,8.626
320,Aluminum_6061,0.477,169.1,1.429,1.2,31.8,7.519
321,Stainless_304,0.462,297.3,0.35,0.2,34.7,65.755
322,Carbon_Steel_1045,0.266,215.2,1.746,0.2,41.4,21.946
323,Stainless_304,0.198,235.6,0.424,0.2,51.8,14.217
324,Carbon_Steel_1045,0.291,67.7,2.831,0.8,20.2,5.853
325,Carbon_Steel_1045,0.432,110.5,2.634,1.2,27.6,9.339
326,Carbon_Steel_1045,0.344,215.3,0.839,0.2,38.2,33.941
327,Carbon_Steel_1045,0.412,67.6,2.173,1.2,18.9,7.797
328,Carbon_Steel_1045,0.29,272.4,1.812,0.8,10.7,4.73
329,Aluminum_6061,0.335,302.0,2.454,0.2,58.0,26.597
330,Aluminum_6061,0.18,326.1,1.558,0.2,11.7,4.511
331,Aluminum_6061,0.381,80.5,0.777,0.4,14.0,12.516
332,Stainless_304,0.141,331.9,2.01,0.2,37.1,6.243
333,Aluminum_6061,0.363,70.3,0.471,0.2,4.6,23.461
334,Stainless_304,0.437,192.2,1.858,0.4,2.0,22.474
335,Aluminum_6061,0.109,302.1,0.835,1.2,3.8,0.245
336,Carbon_Steel_1045,0.326,71.1,2.134,1.2,7.4,4.473
337,Aluminum_6061,0.093,55.5,2.527,0.8,25.8,0.591
338,Carbon_Steel_1045,0.377,57.5,0.551,0.4,49.8,28.217
339,Stainless_304,0.088,203.4,1.351,0.4,20.5,1.295
340,Carbon_Steel_1045,0.471,293.5,2.267,0.8,25.7,12.482
341,Carbon_Steel_1045,0.112,88.2,0.7,0.2,36.0,3.903
342,Carbon_Steel_1045,0.481,87.4,1.808,0.8,18.1,16.082
343,Aluminum_6061,0.41,220.6,2.098,1.2,26.0,5.423
344,Carbon_Steel_1045,0.317,120.3,1.226,1.2,23.2,4.414
345,Carbon_Steel_1045,0.402,269.1,2.538,0.2,20.5,34.252
346,Aluminum_6061,0.408,334.9,1.654,0.4,23.3,14.284
347,Carbon_Steel_1045,0.476,279.8,1.974,0.4,0.7,20.416
348,Carbon_Steel_1045,0.164,313.2,0.637,0.8,53.2,2.185
349,Aluminum_6061,0.316,205.9,0.314,0.2,58.6,27.442
350,Aluminum_6061,0.093,299.7,0.39,1.2,51.7,0.342
351,Carbon_Steel_1045,0.327,104.9,2.736,1.2,0.3,3.834
352,Stainless_304,0.127,70.5,2.677,0.4,45.1,4.1
353,Carbon_Steel_1045,0.304,246.8,2.471,0.4,34.4,11.284
354,Carbon_Steel_1045,0.308,65.6,0.799,0.4,5.7,10.003
355,Aluminum_6061,0.26,317.7,1.695,0.2,56.0,15.688
356,Aluminum_6061,0.285,257.5,2.439,1.2,46.6,3.457
357,Aluminum_6061,0.394,335.7,2.105,1.2,8.7,4.309
358,Aluminum_6061,0.41,144.2,0.568,0.4,57.8,23.998
359,Aluminum_6061,0.271,195.8,2.713,0.8,7.6,3.419
360,Aluminum_6061,0.32,272.5,0.692,0.4,27.3,9.474
361,Carbon_Steel_1045,0.469,122.8,0.722,0.2,9.5,43.542
362,Carbon_Steel_1045,0.104,212.6,2.728,0.4,9.0,1.141
363,Aluminum_6061,0.103,247.8,1.583,0.2,58.1,2.578
364,Carbon_Steel_1045,0.089,343.6,1.275,1.2,34.3,0.349
365,Aluminum_6061,0.346,273.4,1.773,0.8,15.6,4.944
366,Carbon_Steel_1045,0.238,85.4,2.949,1.2,46.6,3.543
367,Stainless_304,0.398,192.6,0.579,0.2,52.5,69.418
368,Carbon_Steel_1045,0.352,226.6,2.332,0.8,55.1,9.692
369,Aluminum_6061,0.2,94.0,1.169,0.8,56.0,3.196
370,Aluminum_6061,0.454,179.6,0.572,0.8,54.3,11.665
371,Carbon_Steel_1045,0.393,135.2,1.41,1.2,38.3,7.919
372,Aluminum_6061,0.172,85.6,1.759,0.4,20.5,3.215
373,Stainless_304,0.214,203.6,0.816,0.2,55.5,20.784
374,Carbon_Steel_1045,0.191,99.7,1.364,0.2,7.3,7.32
375,Aluminum_6061,0.121,227.2,1.998,0.4,10.1,1.066
376,Carbon_Steel_1045,0.117,100.9,1.835,0.2,26.0,4.106
377,Carbon_Steel_1045,0.471,267.1,2.239,0.2,17.0,47.738
378,Carbon_Steel_1045,0.247,108.6,2.55,0.2,36.9,19.705
379,Stainless_304,0.222,318.9,1.375,0.4,54.3,9.542
380,Stainless_304,0.378,57.9,1.413,0.2,29.5,65.519
381,Aluminum_6061,0.299,206.6,1.616,0.4,33.2,9.778
382,Aluminum_6061,0.471,146.0,1.807,0.8,25.4,11.97
383,Aluminum_6061,0.401,117.5,0.548,0.4,42.5,17.953
384,Carbon_Steel_1045,0.266,191.5,1.11,0.2,6.0,14.125
385,Carbon_Steel_1045,0.219,302.6,0.723,0.8,2.9,1.873
386,Aluminum_6061,0.494,324.6,1.311,0.2,38.5,48.21
387,Stainless_304,0.373,141.0,2.927,0.8,32.1,12.662
388,Aluminum_6061,0.478,96.3,1.853,0.4,24.4,25.503
389,Stainless_304,0.103,266.0,1.431,0.4,20.0,1.735
