date,Appliances,T1,RH_1,T2,RH_2,T3,RH_3,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,year,month,day,hour,day_of_week,is_holiday
2016-03-30 18:20:00,120,22.0,38.9,21.17,37.5,22.5,37.29,10.63,753.13,65.0,2.0,40.0,4.27,2016,3,30,18,2,False
2016-03-18 03:00:00,50,22.1,35.29,18.57,39.13,21.6,35.63,1.3,763.7,91.0,2.0,45.0,0.0,2016,3,18,3,4,False
2016-04-15 04:50:00,50,21.89,42.47,19.7,45.83,23.79,40.09,9.6,748.1,92.83,4.5,36.67,8.52,2016,4,15,4,4,False
2016-04-28 02:30:00,50,21.07,35.5,17.79,38.29,21.5,35.09,0.25,755.35,95.5,2.0,21.5,-0.4,2016,4,28,2,3,False
2016-05-04 03:50:00,30,22.1,35.76,19.2,38.2,23.23,37.2,2.67,766.68,91.5,1.0,30.83,1.4,2016,5,4,3,2,False
2016-02-10 20:10:00,140,21.03,44.53,20.7,42.1,21.0,42.63,4.97,745.97,91.67,2.0,27.67,3.75,2016,2,10,20,2,False
2016-03-06 11:40:00,60,19.13,39.0,17.53,40.76,19.89,37.4,3.17,746.8,93.67,6.0,34.0,2.23,2016,3,6,11,6,False
2016-03-21 16:00:00,60,21.2,35.5,19.6,36.59,21.7,35.29,9.5,760.4,62.0,2.0,28.0,2.5,2016,3,21,16,0,False
2016-01-23 01:00:00,20,17.5,41.56,16.53,42.06,17.89,40.43,4.6,763.6,100.0,4.0,4.0,4.6,2016,1,23,1,5,False
2016-01-27 16:20:00,40,19.6,46.0,18.79,45.9,19.79,45.2,11.0,755.23,81.33,9.0,40.0,7.93,2016,1,27,16,2,False
2016-05-16 13:40:00,340,23.23,42.43,22.81,37.55,24.7,37.0,12.13,761.23,59.0,1.0,40.0,4.27,2016,5,16,13,0,True
2016-05-23 15:50:00,70,24.53,46.5,24.39,44.27,25.7,42.16,14.87,757.23,72.33,6.0,40.0,9.93,2016,5,23,15,0,False
2016-03-08 18:00:00,100,19.89,38.29,18.12,37.65,20.1,36.76,5.9,756.8,66.0,3.0,40.0,0.0,2016,3,8,18,1,False
2016-02-21 09:50:00,60,20.7,44.79,19.39,45.57,21.46,41.96,10.6,756.67,89.83,8.17,30.83,8.97,2016,2,21,9,6,False
2016-05-10 23:00:00,60,24.89,47.79,23.47,48.48,26.42,43.7,14.8,749.4,89.0,2.0,40.0,13.0,2016,5,10,23,1,False
2016-03-20 10:50:00,130,20.96,39.47,18.53,39.23,21.6,35.43,5.77,762.05,79.67,2.17,28.0,2.52,2016,3,20,10,6,False
2016-04-12 22:20:00,60,22.73,42.13,20.76,43.03,25.73,40.79,8.77,751.47,83.33,2.67,40.0,6.1,2016,4,12,22,1,False
2016-03-06 10:10:00,50,18.7,39.55,16.79,41.16,19.93,37.5,2.87,746.55,95.0,6.0,20.33,2.07,2016,3,6,10,6,False
2016-05-02 11:00:00,50,21.76,36.36,25.1,30.39,22.6,35.2,12.95,763.85,48.0,2.5,34.5,1.8,2016,5,2,11,0,False
2016-04-25 15:30:00,80,20.79,38.29,19.1,39.9,21.89,35.4,7.15,750.3,91.0,5.0,51.5,5.75,2016,4,25,15,0,False
2016-02-02 06:40:00,40,21.89,46.09,21.0,45.79,23.2,46.29,9.43,758.3,90.67,6.0,48.33,8.0,2016,2,2,6,1,False
2016-03-16 07:30:00,350,20.39,39.9,17.1,46.23,20.79,38.13,2.35,764.6,93.5,4.0,47.5,1.4,2016,3,16,7,2,False
2016-02-10 19:40:00,100,20.96,47.26,20.6,43.1,21.0,42.9,4.87,745.7,92.33,2.33,40.33,3.73,2016,2,10,19,2,False
2016-04-04 18:30:00,140,23.6,49.23,22.1,48.56,25.6,40.43,12.7,749.05,75.0,5.5,40.0,8.35,2016,4,4,18,0,False
2016-05-12 04:40:00,50,24.79,47.2,22.7,49.29,26.58,44.5,12.4,744.8,98.67,1.0,57.67,12.17,2016,5,12,4,3,False
2016-04-24 13:20:00,70,21.6,36.43,19.79,38.36,22.76,34.2,5.13,757.7,82.67,3.0,40.0,2.33,2016,4,24,13,6,False
2016-05-10 00:00:00,50,25.29,43.09,24.1,42.86,26.79,39.79,17.0,753.1,79.0,4.0,40.0,13.4,2016,5,10,0,1,False
2016-04-14 19:10:00,120,22.89,42.36,22.03,40.77,23.39,39.7,15.02,752.25,59.67,2.83,40.0,7.05,2016,4,14,19,3,False
2016-05-10 22:10:00,60,25.0,48.0,23.68,48.18,26.29,43.79,14.97,749.48,87.33,2.0,40.0,12.83,2016,5,10,22,1,False
2016-01-31 00:30:00,50,21.5,42.2,20.67,41.36,20.89,44.7,4.4,754.8,86.5,4.5,34.5,2.35,2016,1,31,0,6,False
2016-02-07 06:40:00,50,21.5,45.09,20.79,44.2,22.2,44.9,7.33,742.63,88.33,5.0,35.67,5.53,2016,2,7,6,6,False
2016-02-18 00:10:00,60,20.93,35.63,19.1,36.9,19.89,36.91,-0.25,755.33,90.17,3.0,61.83,-1.63,2016,2,18,0,3,False
2016-03-01 01:50:00,20,21.29,36.16,18.76,37.59,20.96,35.26,-2.37,763.05,96.0,1.0,37.5,-2.95,2016,3,1,1,1,False
2016-02-01 22:50:00,70,23.29,44.97,22.39,43.9,23.29,45.0,10.13,759.8,93.67,9.0,60.67,9.17,2016,2,1,22,0,False
2016-01-19 17:10:00,40,19.2,39.7,18.0,40.29,19.0,39.57,-0.75,757.45,75.5,1.0,21.67,-4.67,2016,1,19,17,1,False
2016-04-23 06:20:00,60,22.0,38.29,19.2,41.4,24.67,37.36,5.97,756.2,88.0,3.33,40.0,4.17,2016,4,23,6,5,False
2016-05-25 07:30:00,60,23.39,39.73,20.82,42.34,24.79,37.79,7.55,757.25,95.0,1.0,24.5,6.85,2016,5,25,7,2,False
2016-04-29 18:00:00,330,22.6,37.13,21.2,36.79,23.2,35.29,9.3,755.5,78.0,4.0,40.0,5.6,2016,4,29,18,4,False
2016-04-17 14:10:00,70,22.79,39.27,21.86,37.96,23.0,37.59,8.68,756.12,76.83,4.83,40.0,4.77,2016,4,17,14,6,False
2016-05-24 01:50:00,50,24.39,44.79,22.0,46.74,25.89,42.4,10.85,759.72,86.17,4.67,29.0,8.58,2016,5,24,1,1,False
2016-04-19 10:40:00,30,21.29,39.7,21.86,38.49,22.0,37.09,9.87,765.33,80.33,1.33,27.33,6.6,2016,4,19,10,1,False
2016-03-16 14:50:00,270,21.39,40.46,20.5,38.06,22.57,39.72,8.35,764.23,49.0,8.0,26.17,-1.8,2016,3,16,14,2,False
2016-03-13 02:50:00,50,20.86,35.56,17.5,39.59,20.2,36.63,0.52,768.37,88.83,1.0,46.5,-1.2,2016,3,13,2,6,False
2016-03-14 13:40:00,240,21.53,37.06,20.79,35.7,22.46,39.43,5.3,768.0,64.33,6.67,26.0,-0.97,2016,3,14,13,0,False
2016-03-26 04:40:00,50,22.0,37.4,18.29,42.59,23.26,37.56,3.07,757.77,88.0,2.67,23.33,1.27,2016,3,26,4,5,False
2016-03-18 10:00:00,40,21.1,35.79,17.79,39.76,21.23,35.43,2.5,763.6,98.0,3.0,10.0,2.2,2016,3,18,10,4,False
2016-01-30 07:00:00,20,18.89,44.76,18.2,44.59,20.0,45.0,8.3,754.7,94.0,11.0,25.0,7.4,2016,1,30,7,5,False
2016-02-05 01:50:00,40,22.0,44.29,21.2,43.59,21.91,44.29,7.25,764.87,98.67,1.83,33.0,7.02,2016,2,5,1,4,False
2016-05-19 03:20:00,60,23.1,41.0,20.6,43.7,24.6,39.4,8.07,749.27,97.0,2.0,24.67,7.57,2016,5,19,3,3,False
2016-01-29 00:50:00,20,18.7,43.5,17.79,44.09,19.5,42.83,3.33,765.12,83.5,5.0,40.0,0.73,2016,1,29,0,4,False
2016-02-27 15:40:00,60,21.0,36.36,19.7,35.56,21.29,36.47,6.23,751.1,48.0,6.67,40.0,-4.1,2016,2,27,15,5,False
2016-03-17 14:30:00,60,22.7,33.56,21.39,33.2,21.53,34.7,9.8,765.25,52.0,4.5,24.0,0.3,2016,3,17,14,3,False
2016-02-02 17:10:00,40,21.6,47.36,21.0,45.22,22.1,46.33,7.3,756.48,91.67,5.0,40.0,5.97,2016,2,2,17,1,False
2016-03-08 21:50:00,100,21.1,38.93,18.67,41.26,20.39,37.93,4.65,755.78,74.17,4.0,40.0,0.38,2016,3,8,21,1,False
2016-02-01 01:20:00,40,21.89,47.09,21.07,46.56,21.76,46.5,11.4,756.43,91.33,8.33,34.67,10.0,2016,2,1,1,0,False
2016-02-01 20:50:00,60,23.82,45.8,22.89,43.83,23.89,45.4,10.35,759.8,90.17,9.0,58.33,8.73,2016,2,1,20,0,False
2016-02-18 19:50:00,90,20.5,36.57,19.1,36.09,20.1,36.5,1.78,756.98,93.83,2.17,43.0,0.9,2016,2,18,19,3,False
2016-01-31 02:40:00,50,20.93,41.97,20.0,41.59,20.79,44.53,3.87,754.73,91.0,4.0,40.0,2.47,2016,1,31,2,6,False
2016-05-01 21:20:00,70,22.79,34.79,20.63,35.23,22.43,35.2,9.53,765.93,58.0,2.67,40.0,1.53,2016,5,1,21,6,True
2016-04-01 00:50:00,50,22.29,39.2,19.7,41.59,22.39,38.83,6.33,757.17,88.83,4.17,64.17,4.6,2016,4,1,0,4,False
2016-04-25 01:30:00,70,21.29,35.2,18.1,39.09,22.7,35.0,1.45,757.85,94.5,2.0,32.5,0.65,2016,4,25,1,0,False
2016-05-08 16:00:00,60,25.2,37.0,26.39,31.6,26.2,37.75,24.4,751.0,33.0,4.0,40.0,7.0,2016,5,8,16,6,False
2016-01-25 20:00:00,390,20.39,43.27,19.39,43.36,20.43,44.23,9.5,762.8,78.0,4.0,40.0,5.8,2016,1,25,20,0,False
2016-03-20 07:40:00,60,20.79,36.29,18.0,39.63,22.0,36.7,4.93,761.8,80.33,2.67,34.67,1.77,2016,3,20,7,6,False
2016-05-11 19:50:00,90,25.5,49.2,24.8,47.4,26.2,45.5,18.13,745.55,67.67,1.67,40.0,12.03,2016,5,11,19,2,False
2016-02-20 08:50:00,80,18.89,39.53,17.39,41.57,20.58,38.29,7.54,754.25,96.83,6.17,63.0,7.12,2016,2,20,8,5,False
2016-01-18 03:40:00,40,20.76,40.53,19.1,40.4,20.24,40.24,-4.0,761.57,86.33,2.67,26.33,-6.03,2016,1,18,3,0,False
2016-05-24 14:00:00,150,24.29,40.66,23.7,39.19,25.2,39.23,13.6,758.9,70.0,5.0,29.0,8.2,2016,5,24,14,1,False
2016-02-12 03:40:00,60,21.29,41.2,20.5,40.5,21.39,42.5,1.53,746.77,94.33,2.33,48.67,0.73,2016,2,12,3,4,False
2016-03-12 23:40:00,40,21.5,36.0,18.79,38.79,20.17,36.4,1.77,768.17,87.0,2.33,57.0,-0.17,2016,3,12,23,5,False
2016-02-09 07:00:00,50,21.5,42.7,20.89,41.66,23.1,43.06,6.4,741.5,80.0,8.0,27.0,3.1,2016,2,9,7,1,False
2016-02-05 19:40:00,120,22.93,48.63,22.6,44.2,22.29,46.83,9.27,759.8,91.67,6.33,24.33,7.93,2016,2,5,19,4,False
2016-03-13 02:40:00,60,20.89,35.59,17.57,39.53,20.2,36.56,0.53,768.33,88.67,1.0,47.0,-1.2,2016,3,13,2,6,False
2016-02-21 10:00:00,170,20.7,44.79,19.39,45.59,21.39,41.99,10.6,756.7,90.0,8.0,29.0,9.0,2016,2,21,10,6,False
2016-05-14 18:10:00,120,25.03,40.29,23.5,35.87,23.7,31.74,11.38,758.55,50.83,7.83,30.83,1.43,2016,5,14,18,5,False
2016-03-31 20:30:00,120,22.53,39.97,20.89,41.43,22.17,38.5,7.3,755.1,87.5,3.0,23.0,5.3,2016,3,31,20,3,False
2016-04-21 11:00:00,50,21.79,37.79,23.2,34.33,22.7,35.83,12.5,762.7,57.0,4.0,28.0,4.1,2016,4,21,11,3,False
2016-02-14 15:00:00,100,21.5,41.0,19.79,41.03,20.82,41.16,3.3,739.1,89.0,3.0,64.0,1.6,2016,2,14,15,6,False
2016-01-26 13:50:00,30,19.89,45.5,19.2,44.97,20.5,44.29,11.0,761.2,77.0,8.0,27.0,7.08,2016,1,26,13,1,False
2016-05-04 20:30:00,110,23.6,33.2,22.5,31.63,23.1,35.09,13.45,764.25,49.0,3.0,40.0,2.75,2016,5,4,20,2,False
2016-03-01 19:50:00,90,21.43,39.56,19.7,40.33,20.74,38.09,6.48,752.22,96.0,8.17,45.5,5.88,2016,3,1,19,1,False
2016-03-26 09:30:00,60,21.39,39.2,18.5,44.22,22.89,37.06,7.65,756.6,88.5,8.0,22.0,5.85,2016,3,26,9,5,False
2016-04-10 16:20:00,50,23.2,38.03,22.89,36.29,22.79,38.09,14.6,751.53,53.67,4.33,40.0,5.27,2016,4,10,16,6,False
2016-03-05 06:10:00,40,20.17,37.2,17.36,40.5,20.7,37.63,0.7,740.57,96.83,1.0,44.33,0.27,2016,3,5,6,5,False
2016-01-30 02:10:00,40,19.6,43.79,18.89,43.5,19.96,44.79,8.83,758.65,85.5,10.17,28.33,6.47,2016,1,30,2,5,False
2016-05-16 11:50:00,110,22.79,39.43,21.7,39.62,24.6,37.34,9.18,761.4,72.0,1.0,29.17,4.3,2016,5,16,11,0,True
2016-03-09 13:40:00,90,19.43,36.59,16.79,40.0,19.89,37.09,7.03,744.17,63.67,9.67,40.0,0.5,2016,3,9,13,2,False
2016-05-25 08:20:00,60,23.39,40.03,21.07,42.5,24.7,38.0,8.63,757.3,90.33,1.0,26.33,7.17,2016,5,25,8,2,False
2016-01-18 21:20:00,440,20.6,40.4,19.57,40.43,21.13,46.12,-3.33,756.73,84.0,2.0,22.67,-5.7,2016,1,18,21,0,False
2016-03-23 10:20:00,80,21.76,41.2,19.39,46.26,22.1,38.23,7.63,756.13,87.0,3.33,50.67,5.57,2016,3,23,10,2,False
2016-02-23 14:30:00,60,21.46,43.19,19.7,43.63,21.2,41.36,6.6,756.55,80.5,3.0,40.0,3.5,2016,2,23,14,1,False
2016-02-14 15:10:00,100,21.5,40.66,19.86,40.9,20.79,41.16,3.28,739.23,89.33,3.17,64.0,1.65,2016,2,14,15,6,False
2016-03-20 01:20:00,60,21.73,36.09,19.1,38.79,22.0,35.79,5.23,762.3,81.33,3.0,23.0,2.3,2016,3,20,1,6,False
2016-03-27 04:00:00,60,22.79,39.79,20.0,43.33,23.32,39.56,7.0,748.8,97.0,2.0,64.0,6.6,2016,3,27,4,6,True
2016-03-08 19:30:00,130,20.23,44.46,18.0,43.23,20.17,38.43,5.35,757.1,71.0,3.0,40.0,0.45,2016,3,8,19,1,False
2016-02-23 02:30:00,60,21.1,43.5,19.57,44.33,21.76,42.5,3.85,753.8,96.0,1.5,25.0,3.25,2016,2,23,2,1,False
2016-05-22 04:20:00,60,24.59,51.01,23.95,49.47,27.06,45.06,16.1,749.4,85.0,2.0,40.0,13.43,2016,5,22,4,6,False
2016-04-14 10:50:00,70,21.5,41.83,22.13,40.4,22.86,38.47,10.43,754.65,79.17,2.0,31.33,6.85,2016,4,14,10,3,False
2016-05-24 21:10:00,90,24.6,40.53,22.96,40.03,25.17,38.79,11.13,758.1,71.0,5.0,29.0,5.97,2016,5,24,21,1,False
2016-03-27 22:50:00,90,22.1,38.29,19.7,41.13,22.89,38.2,8.25,749.2,77.17,6.17,40.0,4.48,2016,3,27,22,6,True
2016-03-23 05:30:00,50,21.7,38.76,18.89,42.56,22.39,38.2,5.25,755.8,95.0,2.0,33.5,4.55,2016,3,23,5,2,False
2016-05-07 15:00:00,110,25.6,31.29,26.76,27.43,25.1,36.03,24.6,752.1,25.0,4.0,40.0,3.0,2016,5,7,15,5,False
2016-04-11 00:10:00,50,22.53,39.59,20.2,42.06,22.89,39.59,10.68,750.6,67.0,4.0,40.0,4.78,2016,4,11,0,0,False
2016-03-28 14:30:00,280,23.23,39.06,22.6,37.57,23.86,41.66,10.7,742.35,64.0,11.0,40.0,4.1,2016,3,28,14,0,True
2016-01-18 10:50:00,40,19.6,41.03,18.13,41.7,19.76,40.59,-2.42,758.97,81.17,2.67,37.17,-5.32,2016,1,18,10,0,False
2016-02-03 16:40:00,300,22.0,43.43,20.79,42.57,22.5,47.33,5.23,761.6,80.0,6.0,40.0,2.03,2016,2,3,16,2,False
2016-01-26 15:20:00,40,19.96,45.2,19.29,44.76,20.46,44.26,10.57,760.73,75.0,9.33,32.67,6.33,2016,1,26,15,1,False
2016-04-21 08:30:00,50,21.5,37.03,20.43,38.07,22.7,35.59,7.25,762.8,74.5,3.5,27.0,2.95,2016,4,21,8,3,False
2016-02-08 00:00:00,80,22.07,41.86,21.1,41.43,21.6,43.47,7.3,743.5,79.0,13.0,25.0,3.8,2016,2,8,0,0,False
2016-01-18 05:00:00,40,20.43,40.57,18.79,40.29,20.29,40.5,-4.0,760.8,84.0,3.0,27.0,-6.3,2016,1,18,5,0,False
2016-01-30 23:50:00,40,21.7,42.16,20.92,41.22,20.79,44.53,4.42,754.7,87.17,5.0,28.83,2.43,2016,1,30,23,5,False
2016-03-04 20:00:00,100,21.39,38.5,19.29,39.4,21.79,37.09,2.5,739.9,92.0,1.0,22.0,1.3,2016,3,4,20,4,False
2016-04-22 03:40:00,70,22.39,37.2,20.29,39.09,23.5,37.79,10.7,760.07,64.33,4.0,36.33,4.23,2016,4,22,3,4,False
2016-04-16 00:00:00,70,22.7,42.16,20.39,44.73,23.89,39.43,10.9,744.7,80.0,7.0,40.0,7.6,2016,4,16,0,5,False
2016-01-15 04:50:00,50,22.67,39.56,21.7,39.2,21.29,43.63,2.95,751.22,77.17,10.0,37.5,-0.75,2016,1,15,4,4,False
2016-03-06 21:00:00,80,20.17,39.77,18.29,40.33,20.2,39.2,1.1,748.0,98.0,1.0,22.0,0.8,2016,3,6,21,6,False
2016-01-29 01:20:00,50,18.6,43.4,17.7,44.13,19.39,42.63,3.33,765.1,83.33,5.0,40.0,0.7,2016,1,29,1,4,False
2016-02-21 23:50:00,40,22.2,44.66,20.89,44.5,21.89,44.16,10.47,753.88,83.33,9.0,40.0,7.72,2016,2,21,23,6,False
2016-02-17 19:30:00,80,21.1,34.23,19.67,34.26,20.29,35.0,0.5,756.25,90.0,1.5,61.5,-0.95,2016,2,17,19,2,False
2016-03-08 06:20:00,50,19.7,38.06,17.2,41.0,21.07,37.66,-0.53,755.7,99.67,1.33,15.0,-0.57,2016,3,8,6,1,False
2016-03-02 14:40:00,70,21.29,37.09,20.29,35.86,20.65,37.4,7.97,743.1,66.0,9.33,32.67,1.87,2016,3,2,14,2,False
2016-05-16 12:40:00,120,22.89,38.56,22.36,37.55,24.62,37.09,10.3,761.47,65.67,1.0,35.67,4.07,2016,5,16,12,0,True
2016-04-25 11:00:00,70,20.76,37.0,18.5,40.0,21.89,34.5,5.5,753.5,92.0,3.0,21.0,4.3,2016,4,25,11,0,False
2016-04-26 14:30:00,40,20.89,36.79,19.94,36.65,21.79,35.09,4.55,748.45,81.0,3.5,40.0,1.5,2016,4,26,14,1,False
2016-01-31 21:50:00,90,22.96,46.33,21.96,45.33,21.89,46.7,11.67,754.23,93.33,8.0,28.67,10.62,2016,1,31,21,6,False
2016-02-29 15:40:00,390,21.7,33.8,19.6,33.9,22.66,36.23,6.1,762.33,45.67,5.33,40.0,-4.83,2016,2,29,15,0,False
2016-04-05 00:50:00,60,22.5,44.09,20.1,47.13,24.7,40.93,8.85,748.9,92.0,1.0,22.83,7.63,2016,4,5,0,1,False
2016-04-23 21:00:00,100,22.89,36.53,20.29,37.66,23.6,33.7,5.0,758.5,68.0,4.0,40.0,-0.5,2016,4,23,21,5,False
2016-03-22 20:40:00,130,22.79,39.69,21.17,40.1,22.6,37.97,6.17,756.17,83.67,1.67,23.0,3.6,2016,3,22,20,1,False
2016-04-03 00:20:00,50,20.89,41.79,19.1,44.4,21.5,38.83,13.83,752.4,73.33,7.0,27.67,9.1,2016,4,3,0,6,False
2016-05-26 15:40:00,70,24.2,41.63,25.39,36.29,26.2,37.23,20.87,756.47,48.67,1.67,35.33,9.6,2016,5,26,15,3,False
2016-04-02 13:40:00,70,21.1,39.59,20.29,40.03,21.89,37.5,9.73,757.03,69.67,2.0,27.33,4.43,2016,4,2,13,5,False
2016-04-13 02:10:00,40,22.2,41.5,19.67,44.2,24.39,39.7,7.6,751.3,85.33,2.0,40.0,5.25,2016,4,13,2,2,False
2016-04-24 22:20:00,80,21.73,35.43,18.89,37.9,22.57,34.26,2.87,758.27,85.67,3.0,40.0,0.67,2016,4,24,22,6,False
2016-02-22 19:30:00,110,21.7,45.43,20.2,45.63,21.73,42.7,5.5,752.75,96.5,2.5,22.0,5.0,2016,2,22,19,0,False
2016-04-03 19:40:00,80,22.29,44.0,21.86,43.09,22.7,41.43,17.3,749.3,64.67,2.0,40.0,10.5,2016,4,3,19,6,False
2016-03-26 16:20:00,90,22.0,41.83,20.89,42.29,23.36,38.29,13.1,752.5,73.0,7.33,40.0,8.27,2016,3,26,16,5,False
2016-01-13 21:10:00,250,19.6,41.59,19.13,40.9,19.2,42.86,2.95,756.82,88.83,5.0,38.17,1.32,2016,1,13,21,2,False
2016-02-07 11:50:00,100,21.2,44.93,20.39,42.7,21.6,43.76,7.6,745.58,75.0,8.67,38.17,3.4,2016,2,7,11,6,False
2016-01-20 17:10:00,70,17.39,36.63,16.39,36.83,17.89,37.47,0.27,760.37,87.5,2.0,56.83,-1.55,2016,1,20,17,2,False
2016-04-24 22:40:00,70,21.7,35.36,18.79,38.06,22.6,34.36,2.53,758.23,88.33,3.0,40.0,0.73,2016,4,24,22,6,False
2016-05-02 19:10:00,120,23.1,38.63,22.63,36.5,23.1,36.76,14.68,760.57,67.33,3.83,40.0,8.67,2016,5,2,19,0,False
2016-01-21 02:00:00,40,19.2,38.7,18.39,38.2,18.79,39.79,-2.0,762.2,94.0,2.0,46.0,-2.9,2016,1,21,2,3,False
2016-03-04 00:40:00,60,22.1,36.81,20.16,37.23,20.77,37.9,3.03,747.33,83.33,3.67,36.33,0.4,2016,3,4,0,4,False
2016-05-10 18:40:00,110,25.29,48.5,24.5,47.48,26.04,44.07,18.8,749.17,77.67,3.33,40.0,14.83,2016,5,10,18,1,False
2016-05-06 08:10:00,110,22.79,37.05,22.39,36.53,23.36,35.73,11.28,755.15,76.83,1.0,40.0,7.32,2016,5,6,8,4,False
2016-02-20 04:10:00,50,19.29,37.86,17.6,39.43,20.5,37.4,5.55,754.62,93.5,9.83,64.33,4.62,2016,2,20,4,5,False
2016-04-06 15:20:00,80,21.89,41.09,20.43,42.2,22.93,38.5,11.07,752.0,74.33,8.67,40.0,6.6,2016,4,6,15,2,False
2016-05-19 08:40:00,50,22.93,41.23,22.33,41.29,24.29,38.5,9.27,751.8,90.67,1.67,28.0,7.77,2016,5,19,8,3,False
2016-02-07 02:00:00,40,22.29,43.43,21.57,43.09,21.79,44.7,12.0,741.8,58.0,10.0,40.0,3.9,2016,2,7,2,6,False
2016-05-05 08:20:00,90,22.29,34.6,22.47,32.1,23.73,35.4,9.1,762.93,61.67,2.33,40.0,1.97,2016,5,5,8,3,True
2016-02-07 12:20:00,40,21.2,44.53,20.5,42.53,21.53,43.59,7.87,745.83,73.67,8.67,40.0,3.37,2016,2,7,12,6,False
2016-03-30 08:50:00,100,21.5,40.5,19.13,44.16,22.5,38.29,7.75,752.02,79.67,4.0,40.0,4.45,2016,3,30,8,2,False
2016-02-26 19:50:00,100,20.79,39.3,19.5,37.36,20.7,36.26,3.75,751.63,78.83,2.83,21.17,0.32,2016,2,26,19,4,False
2016-02-24 14:50:00,80,20.79,38.16,19.7,38.06,20.7,39.03,6.33,757.1,58.83,2.0,36.67,-1.18,2016,2,24,14,2,False
2016-05-13 08:10:00,330,24.79,48.76,25.01,46.34,26.8,44.27,14.4,746.85,86.83,2.17,54.17,12.2,2016,5,13,8,4,False
2016-05-04 00:30:00,50,22.6,35.29,20.0,37.13,23.1,36.79,5.3,766.45,81.0,1.0,40.0,2.3,2016,5,4,0,2,False
2016-05-15 03:20:00,40,23.7,35.29,20.5,38.02,24.25,36.08,4.13,760.7,86.0,2.0,40.0,1.9,2016,5,15,3,6,True
2016-03-11 07:20:00,50,20.2,36.46,16.55,41.83,20.43,37.59,-0.7,764.3,93.67,1.0,17.0,-1.6,2016,3,11,7,4,False
2016-04-26 02:20:00,40,21.26,37.86,18.29,40.0,21.79,36.29,2.6,748.73,91.67,3.0,40.0,1.4,2016,4,26,2,1,False
2016-04-02 17:30:00,60,21.17,40.03,20.13,40.56,21.79,37.79,11.8,754.1,74.5,3.0,21.0,7.35,2016,4,2,17,5,False
2016-03-16 05:40:00,50,20.6,40.29,17.39,46.5,21.0,38.29,2.7,764.37,92.33,2.33,44.0,1.6,2016,3,16,5,2,False
2016-05-25 23:50:00,50,24.14,39.05,23.17,37.98,24.9,37.66,10.93,756.95,91.0,2.17,55.5,9.55,2016,5,25,23,2,False
2016-03-13 10:30:00,130,20.1,37.83,19.93,36.59,20.0,36.23,3.5,769.7,74.5,6.5,43.0,-0.7,2016,3,13,10,6,False
2016-01-13 05:20:00,40,18.89,44.2,18.24,44.0,19.89,45.09,5.13,752.2,90.0,7.67,22.33,3.53,2016,1,13,5,2,False
2016-03-02 01:20:00,40,20.79,40.2,19.2,41.59,20.6,38.53,8.4,749.33,85.0,8.0,40.0,6.03,2016,3,2,1,2,False
2016-02-23 09:40:00,390,20.5,42.83,18.89,43.86,21.29,41.56,4.93,755.33,92.0,3.33,39.0,3.67,2016,2,23,9,1,False
