row_id,municipio,censal_area,month,mean_temperature_c,household_income_index,building_type,avg_household_size,current_heating_source,distance_to_gas_network_m,competitor_price_delta_pct,marketing_touches,referral_lead,potential_daily_consumption_m3,potential_daily_revenue_eur,signed_contract
20240104_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,7.8,52,apartment,2.8,butane_lpg,650,-3.9,1,0,3.7,2.76,1
20240104_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,9.4,72,detached_house,3.0,electric,900,14.3,1,0,4.4,3.46,1
20240104_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,9.3,44,terraced_house,3.2,none,1800,8.1,2,0,5.56,4.58,0
20240104_me_casco_historico,miranda_de_ebro,me_casco_historico,1,0.1,48,apartment,2.4,diesel,120,10.7,2,0,5.15,3.99,1
20240104_me_ircio,miranda_de_ebro,me_ircio,1,2.2,55,apartment,2.7,electric,400,6.3,1,0,6.03,4.87,0
20240104_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,1.9,40,terraced_house,3.1,diesel,700,9.7,2,0,6.68,5.2,0
20240104_me_bayas,miranda_de_ebro,me_bayas,1,-0.1,50,detached_house,3.4,butane_lpg,1600,-3.3,3,0,7.64,5.91,0
20240105_rv_centro,rincon_de_la_victoria,rv_centro,1,10.3,58,apartment,2.6,electric,150,4.1,2,0,2.26,1.87,1
20240105_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,10.2,52,apartment,2.8,butane_lpg,650,-3.0,2,0,2.97,2.23,0
20240105_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,11.0,72,detached_house,3.0,electric,900,-9.5,2,1,3.76,3.15,0
20240105_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,10.4,44,terraced_house,3.2,none,1800,-2.9,1,0,3.41,2.58,0
20240105_me_casco_historico,miranda_de_ebro,me_casco_historico,1,-0.0,48,apartment,2.4,diesel,120,5.9,2,0,5.32,4.23,0
20240105_me_ircio,miranda_de_ebro,me_ircio,1,3.1,55,apartment,2.7,electric,400,8.9,1,0,5.18,4.15,0
20240105_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.5,40,terraced_house,3.1,diesel,700,-14.1,1,0,5.86,4.37,1
20240105_me_bayas,miranda_de_ebro,me_bayas,1,0.6,50,detached_house,3.4,butane_lpg,1600,1.2,6,0,7.47,5.53,0
20240106_rv_centro,rincon_de_la_victoria,rv_centro,1,8.7,58,apartment,2.6,electric,150,10.9,1,0,3.25,2.57,0
20240106_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,10.1,52,apartment,2.8,butane_lpg,650,13.3,3,0,3.38,2.77,0
20240106_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,10.1,72,detached_house,3.0,electric,900,0.0,0,0,3.45,2.71,0
20240106_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,8.4,44,terraced_house,3.2,none,1800,-0.8,1,0,4.26,3.26,0
20240106_me_casco_historico,miranda_de_ebro,me_casco_historico,1,0.6,48,apartment,2.4,diesel,120,-2.4,0,0,5.21,4.2,0
20240106_me_ircio,miranda_de_ebro,me_ircio,1,-1.4,55,apartment,2.7,electric,400,3.0,4,0,5.02,4.0,0
20240106_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.4,40,terraced_house,3.1,diesel,700,9.0,3,0,5.1,4.07,0
20240106_me_bayas,miranda_de_ebro,me_bayas,1,-0.8,50,detached_house,3.4,butane_lpg,1600,-15.1,0,0,7.12,5.39,0
20240107_rv_centro,rincon_de_la_victoria,rv_centro,1,9.1,58,apartment,2.6,electric,150,6.8,1,0,2.66,1.97,0
20240107_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,8.2,52,apartment,2.8,butane_lpg,650,21.6,3,0,2.83,2.12,0
20240107_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,8.8,72,detached_house,3.0,electric,900,10.5,5,0,3.62,2.79,0
20240107_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,8.6,44,terraced_house,3.2,none,1800,-6.8,2,0,4.5,3.5,0
20240107_me_casco_historico,miranda_de_ebro,me_casco_historico,1,0.5,48,apartment,2.4,diesel,120,-8.2,2,0,5.21,3.97,0
20240107_me_ircio,miranda_de_ebro,me_ircio,1,-0.4,55,apartment,2.7,electric,400,2.4,2,0,4.67,3.61,0
20240107_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,-0.1,40,terraced_house,3.1,diesel,700,5.3,2,0,4.96,3.88,0
20240107_me_bayas,miranda_de_ebro,me_bayas,1,0.8,50,detached_house,3.4,butane_lpg,1600,1.4,1,0,7.88,5.86,0
20240108_rv_centro,rincon_de_la_victoria,rv_centro,1,10.9,58,apartment,2.6,electric,150,4.4,2,0,2.77,2.19,0
20240108_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,9.7,52,apartment,2.8,butane_lpg,650,0.4,1,0,3.8,3.08,0
20240108_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,10.9,72,detached_house,3.0,electric,900,-12.6,1,0,2.9,2.21,0
20240108_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,12.2,44,terraced_house,3.2,none,1800,-0.7,3,1,3.52,2.79,0
20240108_me_casco_historico,miranda_de_ebro,me_casco_historico,1,0.7,48,apartment,2.4,diesel,120,12.9,0,0,6.11,4.84,0
20240108_me_ircio,miranda_de_ebro,me_ircio,1,0.2,55,apartment,2.7,electric,400,6.6,3,0,4.8,3.62,0
20240108_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,-2.4,40,terraced_house,3.1,diesel,700,-0.3,3,0,8.09,6.48,0
20240108_me_bayas,miranda_de_ebro,me_bayas,1,2.8,50,detached_house,3.4,butane_lpg,1600,14.4,3,0,6.85,5.33,0
20240109_rv_centro,rincon_de_la_victoria,rv_centro,1,10.8,58,apartment,2.6,electric,150,16.4,3,1,2.13,1.6,0
20240109_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,11.0,52,apartment,2.8,butane_lpg,650,-3.6,3,1,3.39,2.55,1
20240109_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,9.4,72,detached_house,3.0,electric,900,5.0,3,0,4.17,3.37,0
20240109_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,9.7,44,terraced_house,3.2,none,1800,-1.4,3,0,3.58,2.81,0
20240109_me_casco_historico,miranda_de_ebro,me_casco_historico,1,1.1,48,apartment,2.4,diesel,120,-5.3,3,0,4.85,3.85,1
20240109_me_ircio,miranda_de_ebro,me_ircio,1,-0.6,55,apartment,2.7,electric,400,-0.6,3,0,4.28,3.2,0
20240109_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.1,40,terraced_house,3.1,diesel,700,28.3,1,0,6.35,5.18,1
20240109_me_bayas,miranda_de_ebro,me_bayas,1,1.2,50,detached_house,3.4,butane_lpg,1600,9.7,1,0,5.62,4.49,0
20240110_rv_centro,rincon_de_la_victoria,rv_centro,1,10.3,58,apartment,2.6,electric,150,7.3,1,0,2.66,2.02,1
20240110_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,10.1,52,apartment,2.8,butane_lpg,650,-20.1,1,0,2.36,1.78,0
20240110_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,9.0,72,detached_house,3.0,electric,900,-2.0,0,0,4.41,3.42,0
20240110_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,10.1,44,terraced_house,3.2,none,1800,2.3,1,0,5.4,4.43,0
20240110_me_casco_historico,miranda_de_ebro,me_casco_historico,1,1.5,48,apartment,2.4,diesel,120,-3.8,2,0,4.96,3.71,0
20240110_me_ircio,miranda_de_ebro,me_ircio,1,0.1,55,apartment,2.7,electric,400,25.8,1,0,5.12,4.13,0
20240110_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.9,40,terraced_house,3.1,diesel,700,4.2,2,0,5.84,4.46,1
20240110_me_bayas,miranda_de_ebro,me_bayas,1,1.4,50,detached_house,3.4,butane_lpg,1600,9.1,1,0,8.18,6.15,0
20240111_rv_centro,rincon_de_la_victoria,rv_centro,1,7.8,58,apartment,2.6,electric,150,-0.7,5,0,2.81,2.23,0
20240111_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,9.7,52,apartment,2.8,butane_lpg,650,-16.8,2,0,3.85,3.05,0
20240111_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,11.0,72,detached_house,3.0,electric,900,7.1,1,0,4.42,3.46,0
20240111_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,8.9,44,terraced_house,3.2,none,1800,-14.1,3,1,4.38,3.55,0
20240111_me_casco_historico,miranda_de_ebro,me_casco_historico,1,3.9,48,apartment,2.4,diesel,120,-7.1,1,0,4.4,3.3,0
20240111_me_ircio,miranda_de_ebro,me_ircio,1,-0.7,55,apartment,2.7,electric,400,-1.8,3,0,6.16,4.91,0
20240111_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.4,40,terraced_house,3.1,diesel,700,-5.9,1,0,6.82,5.56,1
20240111_me_bayas,miranda_de_ebro,me_bayas,1,-0.1,50,detached_house,3.4,butane_lpg,1600,12.4,1,0,8.01,6.33,0
20240112_rv_centro,rincon_de_la_victoria,rv_centro,1,12.1,58,apartment,2.6,electric,150,-1.9,1,0,2.48,1.99,1
20240112_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,9.1,52,apartment,2.8,butane_lpg,650,11.7,0,0,4.38,3.29,0
20240112_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,10.4,72,detached_house,3.0,electric,900,7.6,4,0,4.22,3.17,0
20240112_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,10.2,44,terraced_house,3.2,none,1800,9.6,1,0,5.4,4.18,0
20240112_me_casco_historico,miranda_de_ebro,me_casco_historico,1,1.5,48,apartment,2.4,diesel,120,4.2,0,0,4.98,4.09,0
20240112_me_ircio,miranda_de_ebro,me_ircio,1,0.8,55,apartment,2.7,electric,400,-3.7,3,1,5.68,4.45,0
20240112_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.6,40,terraced_house,3.1,diesel,700,13.4,3,0,7.82,5.95,0
20240112_me_bayas,miranda_de_ebro,me_bayas,1,-0.9,50,detached_house,3.4,butane_lpg,1600,15.6,0,0,10.08,7.73,0
20240113_rv_centro,rincon_de_la_victoria,rv_centro,1,11.0,58,apartment,2.6,electric,150,10.1,1,0,2.64,2.06,0
20240113_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,9.8,52,apartment,2.8,butane_lpg,650,-1.3,3,0,3.58,2.76,1
20240113_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,12.9,72,detached_house,3.0,electric,900,20.0,2,0,2.97,2.37,0
20240113_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,10.4,44,terraced_house,3.2,none,1800,13.3,0,0,3.78,2.85,0
20240113_me_casco_historico,miranda_de_ebro,me_casco_historico,1,1.0,48,apartment,2.4,diesel,120,-6.1,3,0,6.01,4.69,0
20240113_me_ircio,miranda_de_ebro,me_ircio,1,0.4,55,apartment,2.7,electric,400,8.7,2,0,6.07,4.66,1
20240113_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,1.1,40,terraced_house,3.1,diesel,700,-5.3,2,0,7.38,5.61,0
20240113_me_bayas,miranda_de_ebro,me_bayas,1,0.0,50,detached_house,3.4,butane_lpg,1600,7.4,3,0,7.24,5.49,1
20240114_rv_centro,rincon_de_la_victoria,rv_centro,1,10.2,58,apartment,2.6,electric,150,5.7,1,0,3.56,2.67,0
20240114_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,11.3,52,apartment,2.8,butane_lpg,650,-10.7,1,0,2.86,2.24,0
20240114_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,9.2,72,detached_house,3.0,electric,900,8.8,4,0,3.65,2.82,0
20240114_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,8.7,44,terraced_house,3.2,none,1800,4.2,3,0,4.05,3.26,0
20240114_me_casco_historico,miranda_de_ebro,me_casco_historico,1,1.6,48,apartment,2.4,diesel,120,-0.7,2,0,5.35,4.47,0
20240114_me_ircio,miranda_de_ebro,me_ircio,1,2.0,55,apartment,2.7,electric,400,-8.5,4,0,4.07,3.15,1
20240114_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.2,40,terraced_house,3.1,diesel,700,4.7,2,0,6.8,5.35,0
20240114_me_bayas,miranda_de_ebro,me_bayas,1,-0.7,50,detached_house,3.4,butane_lpg,1600,-3.4,2,0,8.73,7.46,0
20240115_rv_centro,rincon_de_la_victoria,rv_centro,1,11.5,58,apartment,2.6,electric,150,5.2,2,0,2.34,1.74,1
20240115_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,10.4,52,apartment,2.8,butane_lpg,650,-5.9,0,0,3.17,2.48,0
20240115_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,10.3,72,detached_house,3.0,electric,900,-0.1,1,0,3.45,2.62,0
20240115_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,10.7,44,terraced_house,3.2,none,1800,-4.2,3,0,4.2,3.11,0
20240115_me_casco_historico,miranda_de_ebro,me_casco_historico,1,-0.5,48,apartment,2.4,diesel,120,20.8,1,0,6.69,5.25,0
20240115_me_ircio,miranda_de_ebro,me_ircio,1,1.0,55,apartment,2.7,electric,400,9.2,0,0,5.02,3.93,0
20240115_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,3.5,40,terraced_house,3.1,diesel,700,-5.5,4,0,6.11,4.77,0
20240115_me_bayas,miranda_de_ebro,me_bayas,1,-0.8,50,detached_house,3.4,butane_lpg,1600,-0.7,2,0,10.7,7.64,0
20240116_rv_centro,rincon_de_la_victoria,rv_centro,1,10.1,58,apartment,2.6,electric,150,5.2,3,0,2.5,1.91,0
20240116_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,10.8,52,apartment,2.8,butane_lpg,650,9.4,4,0,3.3,2.44,0
20240116_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,10.8,72,detached_house,3.0,electric,900,-2.3,3,0,4.12,3.2,0
20240116_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,10.3,44,terraced_house,3.2,none,1800,-5.3,2,0,3.17,2.39,0
20240116_me_casco_historico,miranda_de_ebro,me_casco_historico,1,-1.4,48,apartment,2.4,diesel,120,-9.0,2,0,5.18,3.99,0
20240116_me_ircio,miranda_de_ebro,me_ircio,1,0.9,55,apartment,2.7,electric,400,9.4,3,0,5.33,4.1,1
20240116_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,1.7,40,terraced_house,3.1,diesel,700,-0.6,5,0,5.8,4.35,0
20240116_me_bayas,miranda_de_ebro,me_bayas,1,0.8,50,detached_house,3.4,butane_lpg,1600,14.9,3,0,7.01,5.63,0
20240117_rv_centro,rincon_de_la_victoria,rv_centro,1,9.9,58,apartment,2.6,electric,150,-6.2,2,0,2.6,2.13,0
20240117_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,10.4,52,apartment,2.8,butane_lpg,650,1.7,2,0,3.25,2.59,0
20240117_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,12.3,72,detached_house,3.0,electric,900,7.2,3,0,2.63,2.15,0
20240117_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,11.3,44,terraced_house,3.2,none,1800,20.2,2,0,3.61,2.99,0
20240117_me_casco_historico,miranda_de_ebro,me_casco_historico,1,-1.7,48,apartment,2.4,diesel,120,5.6,4,0,6.38,5.01,1
20240117_me_ircio,miranda_de_ebro,me_ircio,1,-2.9,55,apartment,2.7,electric,400,-4.6,1,0,7.4,6.18,0
20240117_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.5,40,terraced_house,3.1,diesel,700,0.8,1,0,7.12,5.34,0
20240117_me_bayas,miranda_de_ebro,me_bayas,1,2.2,50,detached_house,3.4,butane_lpg,1600,-9.3,2,0,5.95,4.65,0
20240118_rv_centro,rincon_de_la_victoria,rv_centro,1,9.6,58,apartment,2.6,electric,150,-10.1,6,0,3.39,2.62,0
20240118_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,10.1,52,apartment,2.8,butane_lpg,650,20.1,2,0,2.67,2.13,0
20240118_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,11.3,72,detached_house,3.0,electric,900,-3.4,0,0,3.59,2.74,0
20240118_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,7.7,44,terraced_house,3.2,none,1800,0.2,3,0,5.59,4.38,0
20240118_me_casco_historico,miranda_de_ebro,me_casco_historico,1,-1.0,48,apartment,2.4,diesel,120,9.3,1,0,4.91,4.05,0
20240118_me_ircio,miranda_de_ebro,me_ircio,1,2.6,55,apartment,2.7,electric,400,18.5,1,0,4.74,3.56,1
20240118_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.3,40,terraced_house,3.1,diesel,700,1.9,2,0,7.61,5.65,0
20240118_me_bayas,miranda_de_ebro,me_bayas,1,0.2,50,detached_house,3.4,butane_lpg,1600,-10.2,3,0,9.98,8.49,0
20240119_rv_centro,rincon_de_la_victoria,rv_centro,1,11.1,58,apartment,2.6,electric,150,-4.2,3,0,2.83,2.16,1
20240119_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,10.0,52,apartment,2.8,butane_lpg,650,-14.2,2,0,2.52,1.9,0
20240119_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,9.3,72,detached_house,3.0,electric,900,10.5,2,0,3.71,2.58,0
20240119_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,14.0,44,terraced_house,3.2,none,1800,18.8,3,0,2.8,2.29,0
20240119_me_casco_historico,miranda_de_ebro,me_casco_historico,1,0.6,48,apartment,2.4,diesel,120,26.5,3,0,5.18,3.88,1
20240119_me_ircio,miranda_de_ebro,me_ircio,1,0.1,55,apartment,2.7,electric,400,-2.1,4,0,7.86,6.33,0
20240119_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.5,40,terraced_house,3.1,diesel,700,1.3,3,0,7.36,5.65,0
20240119_me_bayas,miranda_de_ebro,me_bayas,1,0.3,50,detached_house,3.4,butane_lpg,1600,-9.2,1,0,7.68,6.16,0
20240120_rv_centro,rincon_de_la_victoria,rv_centro,1,14.0,58,apartment,2.6,electric,150,-9.2,1,0,1.71,1.36,0
20240120_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,9.4,52,apartment,2.8,butane_lpg,650,-3.9,2,0,3.91,3.14,0
20240120_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,10.1,72,detached_house,3.0,electric,900,2.1,5,0,4.71,3.5,0
20240120_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,10.7,44,terraced_house,3.2,none,1800,18.0,1,0,3.3,2.67,0
20240120_me_casco_historico,miranda_de_ebro,me_casco_historico,1,-1.1,48,apartment,2.4,diesel,120,9.9,1,1,7.19,5.36,1
20240120_me_ircio,miranda_de_ebro,me_ircio,1,-0.9,55,apartment,2.7,electric,400,17.8,0,0,5.45,4.45,0
20240120_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,1.8,40,terraced_house,3.1,diesel,700,3.0,2,0,5.74,4.6,1
20240120_me_bayas,miranda_de_ebro,me_bayas,1,1.4,50,detached_house,3.4,butane_lpg,1600,1.6,2,0,7.99,6.54,0
20240121_rv_centro,rincon_de_la_victoria,rv_centro,1,11.4,58,apartment,2.6,electric,150,3.2,4,0,1.86,1.44,1
20240121_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,10.2,52,apartment,2.8,butane_lpg,650,-1.5,2,0,2.55,1.97,1
20240121_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,12.3,72,detached_house,3.0,electric,900,-4.1,3,0,2.64,1.98,0
20240121_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,9.1,44,terraced_house,3.2,none,1800,-5.8,2,0,4.45,3.69,0
20240121_me_casco_historico,miranda_de_ebro,me_casco_historico,1,1.0,48,apartment,2.4,diesel,120,-3.5,0,0,5.87,4.43,1
20240121_me_ircio,miranda_de_ebro,me_ircio,1,0.3,55,apartment,2.7,electric,400,14.4,0,0,4.83,4.08,0
20240121_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.0,40,terraced_house,3.1,diesel,700,-2.3,3,0,7.01,5.59,0
20240121_me_bayas,miranda_de_ebro,me_bayas,1,-1.3,50,detached_house,3.4,butane_lpg,1600,1.7,1,0,8.04,6.21,1
20240122_rv_centro,rincon_de_la_victoria,rv_centro,1,10.3,58,apartment,2.6,electric,150,7.1,2,0,2.47,1.92,0
20240122_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,12.1,52,apartment,2.8,butane_lpg,650,-7.6,3,0,2.44,1.88,0
20240122_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,9.9,72,detached_house,3.0,electric,900,4.0,2,0,3.16,2.37,0
20240122_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,10.5,44,terraced_house,3.2,none,1800,8.9,4,0,3.44,2.72,0
20240122_me_casco_historico,miranda_de_ebro,me_casco_historico,1,1.9,48,apartment,2.4,diesel,120,6.4,3,0,4.97,3.74,1
20240122_me_ircio,miranda_de_ebro,me_ircio,1,0.2,55,apartment,2.7,electric,400,10.8,1,0,5.16,4.13,0
20240122_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,-0.4,40,terraced_house,3.1,diesel,700,3.9,1,0,7.61,5.88,0
20240122_me_bayas,miranda_de_ebro,me_bayas,1,1.6,50,detached_house,3.4,butane_lpg,1600,-6.3,5,0,5.76,4.69,0
20240123_rv_centro,rincon_de_la_victoria,rv_centro,1,12.0,58,apartment,2.6,electric,150,11.2,1,1,2.76,2.09,0
20240123_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,13.5,52,apartment,2.8,butane_lpg,650,3.7,2,0,2.74,2.1,0
20240123_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,9.6,72,detached_house,3.0,electric,900,13.2,1,0,4.06,3.31,0
20240123_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,11.5,44,terraced_house,3.2,none,1800,-12.6,1,0,3.08,2.49,0
20240123_me_casco_historico,miranda_de_ebro,me_casco_historico,1,-0.8,48,apartment,2.4,diesel,120,-18.6,6,0,4.67,3.5,1
20240123_me_ircio,miranda_de_ebro,me_ircio,1,1.5,55,apartment,2.7,electric,400,2.3,2,0,4.61,3.74,0
20240123_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,-0.4,40,terraced_house,3.1,diesel,700,14.2,4,0,7.22,5.46,0
20240123_me_bayas,miranda_de_ebro,me_bayas,1,1.6,50,detached_house,3.4,butane_lpg,1600,-8.8,2,0,6.46,5.15,0
