u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque,profile_id
53.126,18.444,33.413,-35.619,30.148,1149.994,-23.016,90.022,42.14,26.01,24.278,67.441,27
4.26,23.217,124.095,-130.658,91.987,3499.966,-220.427,114.04,94.951,63.952,23.235,111.243,23
16.407,61.222,78.377,1.283,71.494,345.843,-2.374,1.041,65.928,65.508,24.844,-0.049,73
131.124,18.485,27.862,-0.817,28.893,2749.969,-1.993,1.071,36.924,25.404,23.555,-0.786,20
30.111,50.417,81.505,54.5,72.099,1052.947,-70.528,-184.995,52.901,63.896,25.689,-147.67,51
67.187,18.511,68.045,113.723,54.149,2499.973,-91.82,-149.356,59.599,39.452,26.114,-127.493,6
131.796,18.82,42.734,-4.135,39.452,3999.956,-65.541,1.096,59.548,32.335,24.808,-0.481,15
23.631,45.76,94.225,-128.276,78.717,4465.599,-197.94,84.937,79.813,64.127,26.385,82.455,57
97.306,18.374,25.08,-0.418,25.644,1999.977,-2.001,1.097,33.303,23.239,23.407,-0.063,12
13.683,18.991,39.38,-11.633,31.695,250.018,-43.512,132.617,31.438,26.401,23.132,103.673,13
13.719,18.239,38.184,-11.575,30.574,249.976,-43.512,132.618,24.454,26.229,23.129,103.888,13
10.457,24.748,75.626,40.188,57.501,644.604,-108.721,-238.811,66.285,43.483,25.683,-196.884,65
55.575,18.591,62.72,-77.662,49.429,1449.984,-65.981,172.999,48.435,38.152,22.19,138.814,30
73.017,85.851,96.875,62.408,92.517,1916.48,-28.145,-99.264,85.269,88.506,26.383,-74.564,56
124.311,18.764,47.942,-42.894,42.784,4499.953,-91.262,24.528,55.281,33.255,24.831,20.098,20
13.173,49.75,124.905,-21.699,98.255,283.063,-118.36,236.207,74.974,79.418,26.384,194.47,49
115.752,50.367,90.616,-61.295,72.121,3916.036,-80.705,42.736,53.966,59.824,25.476,35.016,65
21.586,33.861,104.8,-24.057,86.09,473.452,-53.747,151.709,72.969,67.384,27.029,116.406,56
84.599,19.365,69.214,-100.314,53.355,2518.912,-75.667,121.348,57.02,39.213,26.348,98.397,53
74.45,54.947,76.933,98.461,70.701,2159.132,-49.489,-147.648,68.304,63.38,27.911,-114.793,74
71.194,18.412,39.453,-24.544,36.877,1499.986,-7.821,43.902,59.624,31.212,22.089,30.882,10
17.223,18.631,113.492,-129.853,84.306,4499.965,-201.921,84.537,91.32,57.389,24.787,81.846,20
65.957,60.898,98.226,111.238,85.055,4013.122,-136.745,-93.825,85.549,72.22,26.962,-85.998,61
100.409,18.616,36.626,-80.756,32.016,5969.95,-141.513,35.555,61.554,24.485,22.55,32.849,29
120.725,60.59,96.742,50.505,83.866,4781.698,-94.948,-34.715,75.602,72.122,27.926,-31.113,53
96.369,27.008,66.993,86.204,54.182,4630.46,-123.205,-62.886,45.101,42.4,23.909,-57.686,73
123.627,35.798,65.581,-40.987,61.526,2687.419,-9.481,42.149,67.163,53.219,26.012,29.262,66
57.278,65.77,89.65,-50.622,82.036,1355.435,-34.56,112.193,71.902,74.041,26.404,83.217,68
131.188,18.541,27.867,-0.857,28.916,2749.971,-1.993,1.07,37.063,25.558,23.534,-0.763,20
129.846,38.748,64.012,-17.913,58.073,4111.93,-69.195,9.735,63.795,50.228,26.385,7.155,68
97.076,18.493,25.546,-0.447,25.988,1999.978,-1.999,1.098,34.189,23.524,23.314,-0.123,12
131.789,19.137,38.924,-3.878,36.721,3999.956,-67.135,1.099,48.802,30.022,24.674,-0.582,15
4.122,18.329,19.743,1.465,19.103,100.019,-2.001,1.097,27.557,19.0,23.174,0.471,18
49.829,18.503,69.781,-60.648,57.469,1249.993,-50.73,146.703,90.605,43.537,24.135,112.958,20
125.227,65.205,90.846,-39.631,82.469,5249.938,-100.973,18.309,83.708,72.122,27.261,14.903,20
115.822,32.66,72.085,56.305,60.276,3051.754,-40.429,-54.541,52.505,47.028,26.095,-43.275,54
66.73,22.865,65.154,-10.497,58.493,1405.352,-3.658,19.17,72.235,45.983,26.34,12.43,52
87.191,66.277,99.473,-97.468,86.145,4999.948,-133.024,54.015,85.247,75.614,25.011,47.454,6
9.396,19.299,122.911,-129.873,92.752,5499.952,-202.386,65.216,112.048,61.654,26.043,63.721,24
125.286,47.504,85.257,29.696,70.826,3200.931,-32.24,-28.713,67.108,59.596,26.179,-22.279,70
4.019,19.312,19.851,-0.537,19.389,59.998,-2.98,15.774,26.609,19.261,19.655,10.962,36
129.757,19.261,56.519,-8.192,48.061,5499.945,-107.593,0.641,59.947,36.097,24.171,-0.293,24
120.833,50.085,75.777,50.954,68.848,5001.472,-102.364,-33.747,65.719,59.77,25.504,-30.516,49
48.992,18.821,23.437,13.661,23.16,1064.996,-4.251,-34.263,30.65,21.408,22.679,-25.423,10
36.256,19.268,110.228,-124.717,83.528,5999.948,-184.723,56.607,94.592,55.839,23.185,54.573,31
20.807,47.63,85.049,-128.716,68.652,2997.49,-203.672,137.242,67.142,57.882,26.189,132.214,70
31.306,18.656,55.229,-40.534,41.884,749.988,-65.98,173.0,32.879,33.287,24.628,139.629,16
21.083,70.279,101.605,-29.639,87.268,499.973,-79.937,188.413,51.301,78.951,25.672,150.0,42
112.063,26.961,58.019,-68.465,52.571,3776.653,-82.779,49.18,61.244,42.682,26.385,40.645,58
88.167,18.64,71.391,-95.627,56.075,4999.948,-138.681,53.407,61.362,39.452,23.175,48.437,6
31.442,49.856,114.362,127.009,90.517,3317.368,-172.135,-134.8,76.184,72.12,26.098,-125.918,49
74.474,28.124,82.111,-107.59,66.777,3946.537,-133.779,78.143,71.569,50.943,26.385,71.061,66
109.275,18.786,45.986,-73.367,40.986,3749.97,-87.865,53.902,52.643,32.668,23.787,45.14,27
84.256,39.654,71.447,-57.942,61.998,1906.606,-24.109,89.965,60.186,52.789,25.635,65.381,69
129.292,35.798,74.702,-2.083,62.082,5116.371,-99.199,-2.706,53.882,50.959,25.586,-3.011,78
106.52,69.93,114.427,-74.765,98.261,5180.815,-114.719,37.784,91.026,85.072,26.385,33.754,66
131.78,18.41,37.695,-3.846,35.231,3999.957,-67.875,1.101,43.447,28.939,24.776,-0.562,15
23.95,28.345,84.366,-15.472,66.517,492.094,-23.097,88.588,71.218,52.571,26.679,64.12,61
69.343,28.871,42.721,-37.626,39.452,1499.983,-15.494,70.795,55.942,36.458,24.406,50.0,45
24.364,19.38,116.927,-128.15,88.76,5849.939,-191.263,59.68,105.187,59.054,25.993,57.966,27
106.248,76.413,100.496,-69.895,87.263,4012.816,-90.532,46.881,71.842,80.29,24.229,40.2,81
106.728,28.275,48.354,-46.112,45.986,2301.8,-10.877,55.776,62.765,39.452,25.804,38.732,57
67.879,27.072,56.047,-93.546,45.986,1783.361,-62.589,167.634,59.47,39.319,26.121,130.262,67
74.7,24.934,56.399,-106.737,49.304,2826.965,-109.377,115.028,49.654,39.452,23.158,99.114,62
23.627,18.627,39.452,-21.971,32.672,499.998,-43.512,132.618,33.101,27.31,23.131,103.269,7
83.863,81.487,85.165,42.651,83.579,1979.194,-12.03,-61.883,74.205,81.051,26.385,-45.252,79
132.02,18.384,29.071,-2.066,29.72,2999.968,-17.398,1.344,38.491,25.791,24.423,-0.586,14
61.827,49.562,69.955,-64.355,63.169,1499.989,-43.512,132.619,59.4,57.471,25.149,100.0,42
119.575,18.554,26.382,-0.687,27.311,2499.973,-2.001,1.097,35.554,24.789,25.999,-0.841,9
8.116,18.559,49.819,-7.542,35.779,100.004,-79.941,188.412,25.052,28.155,23.407,155.598,18
56.693,65.107,80.856,56.57,76.24,1528.512,-33.18,-115.188,78.945,70.926,27.707,-87.208,56
49.938,18.558,22.451,-0.312,22.096,999.991,-2.0,1.097,30.61,19.851,23.268,0.163,5
115.013,49.974,96.587,63.419,84.472,3606.779,-64.332,-53.187,78.142,70.967,26.315,-44.25,49
86.954,49.63,95.102,-97.443,80.273,4999.944,-134.5,53.884,82.636,65.6,24.909,47.93,6
8.734,20.056,123.045,-130.318,92.427,5499.945,-203.41,65.626,110.42,61.463,23.031,64.152,24
49.206,18.572,97.533,-60.999,78.722,1249.981,-50.729,146.705,101.874,55.959,25.056,111.817,20
8.501,20.568,85.513,-8.624,52.258,59.977,-166.066,301.703,22.412,35.827,19.134,260.379,36
43.381,18.96,43.141,-43.105,35.683,999.992,-43.512,132.618,39.625,29.59,23.45,103.032,5
132.014,18.622,28.724,-2.074,29.361,2999.969,-17.588,1.339,37.324,25.601,23.663,-0.573,14
59.783,32.226,65.704,-49.672,57.839,1376.099,-31.751,107.341,64.228,48.327,26.333,79.219,54
69.666,18.797,65.571,-111.405,52.571,2999.969,-124.24,113.079,54.581,39.097,22.159,99.97,14
28.123,19.753,104.791,-127.763,78.707,5499.95,-195.373,66.408,77.76,52.57,19.851,64.05,24
123.562,75.207,103.641,-38.727,89.325,4648.756,-89.413,20.619,68.748,80.259,23.99,16.875,81
87.07,49.802,95.096,-97.221,80.111,4999.94,-134.65,53.831,81.917,65.588,26.343,47.747,6
15.651,18.952,23.179,-2.139,21.967,299.99,-2.98,15.775,31.226,19.883,19.851,10.733,36
131.368,18.722,44.335,-5.221,39.452,4499.958,-84.014,1.057,49.967,32.008,22.24,-0.584,21
49.094,49.867,46.191,-0.577,45.986,999.91,-2.0,1.096,49.593,45.986,23.683,0.0,44
129.962,90.838,90.459,19.011,88.294,4446.514,-76.049,-15.253,75.929,87.706,25.859,-13.718,56
73.436,18.649,23.587,-0.279,23.903,1499.984,-2.001,1.097,31.584,22.293,23.87,-0.034,8
105.559,52.271,42.762,27.612,44.182,2310.172,-4.173,-32.24,55.009,43.535,26.099,-23.569,57
62.496,29.442,65.531,115.179,55.894,4019.27,-145.628,-96.316,60.09,44.821,26.406,-88.939,53
8.186,18.204,59.861,-7.597,43.816,100.039,-79.941,188.412,27.19,34.359,23.311,155.514,18
132.004,18.71,42.505,-2.24,39.452,2999.971,-15.299,1.333,53.707,33.282,23.286,-0.59,14
119.61,19.314,26.385,-0.672,27.776,2499.97,-2.0,1.096,35.617,24.832,26.381,-0.805,9
4.097,18.088,19.851,1.535,19.846,100.035,-2.001,1.096,34.01,19.434,22.352,0.261,2
69.662,19.057,65.557,-111.437,52.571,2999.974,-124.276,113.087,54.936,39.259,21.665,99.959,14
119.625,39.776,75.402,-27.761,64.018,2960.728,-32.414,28.341,61.419,53.096,25.776,19.331,69
29.117,30.784,86.607,-34.204,69.872,681.298,-55.055,154.383,72.863,54.543,26.385,118.683,74
121.125,29.298,68.512,49.844,58.909,4130.269,-80.932,-37.793,61.372,45.986,26.381,-33.021,53
119.68,56.105,74.042,6.915,70.525,2600.906,-2.947,-6.525,65.736,65.542,26.333,-5.458,70
49.501,18.704,24.221,-0.274,23.581,999.994,-2.002,1.098,35.628,22.114,22.354,0.024,5
73.438,19.158,25.739,-0.579,25.781,1499.982,-1.999,1.096,37.943,23.431,23.236,0.073,8
23.643,18.728,39.572,-22.073,32.873,499.988,-43.51,132.617,35.509,27.574,23.153,103.308,7
74.681,44.791,80.228,105.888,70.547,4986.133,-143.807,-72.042,76.95,58.801,28.029,-67.366,68
8.141,18.742,64.004,-7.618,45.986,99.981,-79.94,188.412,38.222,37.045,22.974,155.08,18
13.682,18.122,39.404,-11.64,31.951,249.981,-43.511,132.618,31.407,26.416,23.149,103.695,13
122.795,49.735,65.588,47.018,62.781,3747.828,-63.996,-38.476,64.37,57.461,24.814,-32.467,48
4.175,18.276,19.435,1.417,18.769,100.028,-2.001,1.099,24.316,18.827,23.172,0.447,18
87.426,30.273,55.79,-68.657,50.561,1999.996,-28.707,102.574,52.53,43.214,24.927,75.0,44
126.928,40.937,84.474,-29.053,71.384,4722.74,-88.31,14.361,76.695,58.187,26.38,11.336,74
30.925,18.527,37.881,-27.085,31.733,674.995,-39.04,120.304,35.511,26.386,21.51,93.215,30
127.78,71.758,98.192,1.824,85.135,5087.096,-96.222,-4.558,69.526,77.121,23.415,-4.568,80
70.504,65.752,75.465,73.76,70.398,1905.115,-37.744,-123.822,65.316,65.639,23.971,-94.636,71
33.482,45.472,65.175,-76.577,53.371,1115.053,-122.53,241.877,49.968,45.986,23.172,199.483,80
131.789,23.131,38.139,-2.955,37.871,3499.963,-44.619,1.168,51.656,32.426,23.178,-0.566,23
22.238,70.308,98.206,33.706,90.261,751.432,-52.112,-153.531,85.399,81.496,28.98,-119.738,53
119.593,18.642,26.384,-0.678,27.446,2499.971,-2.002,1.097,35.484,24.809,26.326,-0.83,9
126.014,23.707,72.853,-25.998,62.345,5403.066,-106.117,9.432,73.617,46.337,27.237,7.459,74
90.648,75.238,79.15,-93.15,72.121,2827.781,-78.096,100.292,55.764,71.564,24.895,82.159,72
40.912,50.626,72.12,-57.83,59.751,1065.83,-67.441,174.362,64.915,51.577,25.916,136.399,65
40.781,29.582,59.738,-50.993,49.64,999.978,-58.917,161.745,45.883,41.692,26.385,125.0,42
53.306,70.444,94.15,76.291,87.12,1626.599,-52.484,-154.541,76.409,79.496,26.382,-120.583,79
4.696,19.281,121.504,-130.576,89.246,3499.97,-220.664,114.005,91.832,60.645,22.179,111.475,26
21.053,34.623,83.022,-129.077,66.172,3645.063,-203.067,109.416,68.344,52.658,25.557,108.866,55
4.142,18.147,19.851,1.521,19.734,99.989,-2.002,1.097,33.728,19.259,21.85,0.265,2
67.535,18.947,67.841,113.525,54.095,2499.972,-91.492,-149.439,59.781,39.459,26.134,-127.646,6
76.221,18.738,90.529,-104.388,70.526,5999.938,-155.923,46.884,81.477,48.378,24.874,43.326,4
4.17,18.381,19.544,1.453,18.915,99.978,-2.0,1.098,24.339,18.734,22.407,0.233,2
47.505,29.687,83.176,-83.608,67.014,1389.971,-86.663,198.7,69.527,53.912,26.565,159.262,56
3.917,17.844,50.455,1.473,42.975,100.014,-2.001,1.097,63.886,36.017,26.347,0.218,6
118.368,42.014,106.673,52.47,90.401,4986.562,-99.908,-34.475,87.425,70.437,25.617,-31.135,73
37.058,18.178,21.508,-0.129,19.912,750.0,-1.999,1.096,30.0,19.851,23.507,0.197,16
119.298,18.622,63.727,-51.99,52.858,5649.951,-119.081,22.702,65.478,38.793,22.228,19.991,31
130.954,18.391,28.041,-0.809,29.293,2749.97,-1.994,1.073,38.533,25.698,23.645,-0.82,20
63.677,19.291,38.65,-63.783,32.194,1499.994,-43.514,132.618,29.312,26.384,20.991,103.383,8
63.063,54.918,94.76,115.639,79.416,2517.284,-96.04,-154.103,72.015,68.329,27.916,-129.613,74
23.644,18.839,39.476,-22.072,32.803,499.993,-43.511,132.618,35.505,27.606,23.262,103.315,7
23.65,18.479,39.508,-22.057,32.857,499.998,-43.512,132.618,35.69,27.767,23.343,103.275,7
56.138,70.497,104.816,-114.361,95.034,4975.113,-166.159,66.082,74.878,82.913,26.384,62.516,79
131.274,18.748,42.889,-5.133,38.717,4499.957,-84.59,1.054,46.405,31.327,21.958,-0.635,21
118.441,19.212,38.868,-1.163,37.099,2499.97,-2.0,1.098,48.252,31.453,25.572,-0.887,9
13.396,19.027,114.465,-130.415,84.694,3299.966,-210.889,121.689,84.574,58.076,24.816,118.23,27
5.059,19.282,121.003,-130.622,89.137,3499.969,-219.648,113.754,93.672,60.626,24.008,111.226,26
67.991,49.814,82.031,-112.434,69.158,1999.979,-82.013,186.697,63.485,59.779,25.145,150.0,42
43.425,68.231,97.445,120.465,84.587,3986.531,-165.875,-106.451,71.342,75.387,24.609,-100.629,75
22.671,18.879,42.658,-71.561,26.946,899.994,-166.064,301.706,31.773,21.88,19.851,258.933,36
5.999,19.305,120.332,-130.448,89.195,3499.963,-217.855,113.302,95.245,60.647,23.534,110.691,26
57.642,29.125,65.043,117.587,54.377,3480.829,-141.865,-113.981,59.254,44.39,26.387,-103.94,53
63.524,35.798,85.109,-115.111,68.869,2559.602,-121.162,142.228,50.903,55.823,25.696,123.609,58
90.774,19.011,54.187,-94.957,45.242,2499.749,-64.842,115.843,50.959,35.226,25.081,93.204,9
66.948,24.273,79.512,-105.911,62.04,1883.316,-75.997,184.905,59.731,45.986,26.336,146.485,50
130.867,18.594,28.805,-0.954,29.792,2749.974,-1.995,1.075,40.344,25.988,24.33,-0.781,20
83.496,81.49,90.286,42.711,86.823,1979.188,-12.029,-61.883,77.697,83.628,26.384,-45.252,79
31.147,18.378,58.239,-40.736,44.503,749.978,-65.982,172.999,42.126,35.005,25.066,139.311,16
100.034,54.92,83.7,-85.277,75.46,2570.155,-44.771,98.712,72.332,67.489,27.917,75.449,74
16.906,19.396,105.237,-130.057,79.976,3999.961,-205.37,97.298,81.383,54.63,21.815,94.572,32
42.631,18.622,99.257,-123.461,76.218,5119.951,-178.465,67.894,87.077,52.571,23.55,64.93,31
8.197,18.579,62.717,-7.6,45.948,100.001,-79.941,188.411,29.405,36.18,22.957,155.415,18
7.662,18.973,38.961,-5.409,31.35,99.995,-43.512,132.618,28.713,26.384,21.495,103.555,3
39.803,44.713,76.146,-124.181,61.494,2858.474,-171.868,138.715,56.411,53.243,24.994,128.301,63
36.633,77.731,86.422,126.375,78.836,2894.956,-158.91,-154.979,67.94,75.483,26.37,-141.723,66
84.362,73.181,105.754,-100.704,98.26,3426.738,-103.069,84.733,91.749,89.734,27.353,73.056,56
88.088,26.604,71.202,96.927,57.965,3924.475,-112.878,-79.785,54.951,44.796,24.316,-71.241,73
56.565,81.49,104.791,-111.325,95.29,1799.073,-96.707,213.999,66.342,89.259,25.71,172.99,59
87.288,19.256,72.014,-96.05,57.472,4999.955,-138.602,53.352,65.173,39.805,23.927,48.613,17
8.138,18.578,64.006,-7.607,45.986,99.974,-79.939,188.412,38.486,37.073,23.204,155.096,18
29.543,49.785,96.015,-55.887,76.84,854.692,-101.037,220.225,62.84,64.628,25.774,178.452,48
69.248,18.894,88.648,-109.04,67.5,5749.95,-161.638,52.086,72.4,45.986,22.348,48.852,27
130.404,91.058,97.698,-7.232,91.816,4999.956,-91.384,0.831,70.533,88.918,24.537,0.0,44
73.469,18.645,23.766,-0.24,23.837,1499.984,-2.001,1.097,31.483,22.141,23.798,-0.045,8
0.535,30.439,65.591,1.294,54.436,34.025,-6.163,-8.507,69.577,43.313,24.808,-7.827,72
4.9,19.308,121.075,-130.645,89.289,3499.969,-219.704,113.767,94.185,60.594,22.394,111.241,26
130.99,18.522,28.066,-0.824,29.286,2749.97,-1.994,1.073,38.359,25.713,23.517,-0.82,20
129.191,90.988,89.669,-6.822,85.859,4999.959,-93.502,0.343,63.453,85.991,24.177,0.0,44
8.746,19.09,103.023,-9.811,72.118,99.998,-122.973,242.424,44.001,52.577,22.415,206.32,2
123.426,66.245,87.711,44.72,81.912,4658.802,-88.133,-31.262,82.157,73.405,29.431,-27.834,58
69.891,19.496,65.32,-111.396,52.55,2999.968,-124.173,113.26,53.351,39.003,22.207,100.022,14
74.587,18.738,30.409,-37.09,28.196,1605.658,-13.558,64.153,60.936,24.984,22.214,45.287,29
30.127,18.885,23.046,-3.928,22.26,599.993,-2.98,15.773,33.244,19.875,19.851,10.896,36
54.436,49.826,78.335,-110.41,66.61,1734.696,-99.906,219.026,66.694,59.105,25.977,177.36,49
62.209,19.841,95.127,-112.959,71.425,5999.939,-168.444,51.911,75.583,49.093,23.384,48.69,19
106.291,44.672,55.951,-70.829,54.17,2389.685,-21.277,87.25,59.923,50.302,26.4,62.856,56
109.571,26.426,55.838,72.612,50.902,3654.282,-77.503,-60.891,61.712,41.981,26.4,-51.676,65
4.195,18.564,19.397,1.444,18.666,100.01,-1.998,1.099,23.652,18.736,23.119,0.442,18
58.631,39.819,71.456,-75.646,60.835,1499.993,-58.916,161.746,50.837,52.578,24.091,125.0,44
83.73,80.54,87.284,-101.292,84.89,3086.772,-96.272,97.702,79.862,82.015,26.381,82.912,56
27.31,49.788,72.119,33.786,64.45,815.862,-41.165,-134.292,73.938,58.264,24.81,-102.913,47
97.292,18.219,25.199,-0.393,25.637,1999.978,-1.999,1.098,33.336,23.191,23.474,-0.072,12
116.962,18.852,113.624,-0.856,79.411,2499.969,-2.015,1.07,65.702,52.565,25.7,-0.814,6
131.184,18.648,27.869,-0.822,28.908,2749.973,-1.994,1.071,37.183,25.479,23.554,-0.758,20
86.536,19.314,49.23,-99.441,39.452,2499.984,-75.449,123.537,36.568,32.194,23.563,100.947,9
86.896,18.504,72.15,-96.641,58.71,4999.949,-138.305,53.409,69.297,42.709,24.028,48.772,17
8.788,18.647,100.003,-9.795,69.497,99.969,-122.971,242.425,32.061,50.663,20.869,207.031,2
57.713,19.58,100.634,-115.872,78.707,5999.936,-167.792,52.316,93.792,52.833,24.601,49.183,19
72.731,49.892,85.154,-111.003,72.122,2029.441,-71.005,179.995,68.004,63.582,26.336,142.307,49
128.474,46.025,79.493,-25.73,71.88,4913.165,-92.32,11.43,74.493,61.268,27.771,8.886,74
43.466,40.879,72.938,124.232,63.261,2430.801,-134.079,-179.54,66.477,53.031,26.442,-157.848,54
117.388,18.456,58.333,59.197,50.886,3020.16,-36.409,-56.371,56.506,39.076,26.375,-43.972,53
33.944,28.624,64.258,125.614,55.17,3578.523,-175.558,-123.136,67.848,43.609,25.4,-115.922,75
24.022,19.001,92.562,-128.248,69.227,5749.94,-199.137,63.268,79.549,45.986,25.874,61.484,20
44.096,19.182,98.257,-5.726,76.192,899.992,-2.98,15.773,41.406,56.195,19.851,10.679,36
83.211,18.519,49.325,-85.205,41.144,1999.984,-43.514,132.617,45.436,32.989,23.459,101.852,12
60.415,29.614,59.49,-115.625,51.163,3140.798,-142.813,113.203,48.95,43.008,25.092,102.344,64
90.728,18.706,21.207,93.647,19.428,5177.263,-143.036,-62.405,22.038,18.678,25.312,-58.683,78
11.634,19.141,112.387,-131.03,78.704,2459.978,-226.84,177.291,57.105,53.312,22.591,171.698,29
98.26,17.398,35.043,-79.644,31.095,2249.987,-33.034,108.233,28.26,25.628,19.043,81.942,32
62.345,18.751,41.813,-115.854,34.403,1999.98,-101.586,193.697,45.827,27.604,22.222,162.756,32
94.378,18.957,39.18,-1.292,38.001,1999.977,-2.002,1.098,71.332,31.463,24.775,-0.472,4
55.562,18.551,62.94,-77.681,49.494,1449.982,-65.98,172.999,48.693,38.153,22.219,138.818,30
69.056,19.323,66.658,-111.756,53.084,2999.967,-124.42,113.073,58.301,39.452,23.176,100.026,14
83.086,19.058,49.864,-85.329,42.124,1999.985,-43.511,132.618,47.546,33.592,23.289,101.778,12
87.47,30.231,52.572,-68.625,46.013,1999.977,-28.707,102.575,52.182,40.877,23.821,75.0,44
4.784,18.59,26.373,-1.533,24.907,60.029,-9.127,50.765,53.612,23.144,21.864,36.542,27
61.225,54.916,88.501,82.391,78.707,1798.42,-49.828,-148.766,71.5,67.303,27.888,-115.564,74
128.737,45.185,79.474,-1.677,69.162,4592.341,-84.07,-2.182,68.877,57.762,25.647,-2.907,79
3.747,18.832,122.094,-130.798,89.276,3499.965,-222.652,114.481,89.412,60.636,22.393,112.107,26
87.353,19.21,72.119,-96.279,57.723,4999.948,-138.097,53.461,66.779,41.655,23.074,48.485,6
7.743,20.578,104.791,-130.902,74.291,3499.96,-225.661,118.698,54.515,52.002,21.874,115.961,23
23.649,19.103,39.495,-22.069,32.908,499.985,-43.511,132.618,35.665,27.736,23.506,103.283,7
57.104,81.49,76.573,116.493,75.283,3550.057,-143.399,-114.249,57.227,75.891,25.897,-104.416,70
13.667,18.727,39.37,-11.621,31.915,249.994,-43.511,132.617,31.773,26.389,23.156,103.71,13
30.828,50.269,84.463,-38.699,71.434,751.68,-60.555,160.248,65.196,61.192,25.639,124.502,65
31.01,18.657,58.899,-40.86,45.283,749.993,-65.979,173.0,46.716,35.514,24.882,139.13,16
43.538,19.208,42.348,-43.034,34.534,999.987,-43.512,132.617,35.073,28.648,22.521,103.184,5
23.643,18.791,39.562,-22.057,32.825,499.984,-43.512,132.617,35.587,27.64,23.224,103.256,7
129.189,74.863,69.281,16.688,68.337,4643.168,-87.169,-13.751,51.483,68.971,23.826,-12.716,81
39.287,27.665,68.534,125.176,55.506,4501.484,-178.4,-97.671,60.42,42.782,26.245,-93.262,67
95.588,18.809,50.209,-90.193,42.834,3403.971,-96.65,76.25,49.109,33.684,21.599,65.07,32
