meter_id,tariff_type,monthly_consumption_m3,baseline_consumption_m3,heating_degree_days,building_age_years,meter_age_years,is_anomaly
LZ-GAS-000106,residential,190.5,193.8,306.0,46.5,10.5,0
LZ-GAS-000107,residential,144.7,162.7,251.0,59.2,22.8,0
LZ-GAS-000108,residential,104.4,102.5,139.0,8.4,3.7,0
LZ-GAS-000109,residential,153.0,156.9,244.0,55.4,20.3,0
LZ-GAS-000110,commercial,594.4,600.5,168.0,69.2,15.8,0
LZ-GAS-000111,industrial,1323.1,2857.7,301.0,79.6,29.6,1
LZ-GAS-000112,residential,68.5,78.5,89.0,57.0,8.2,0
LZ-GAS-000113,industrial,1340.0,1402.9,101.0,48.6,17.3,0
LZ-GAS-000114,residential,512.2,210.7,341.0,77.0,30.0,1
LZ-GAS-000115,commercial,887.8,870.6,297.0,10.3,11.2,0
LZ-GAS-000116,commercial,896.1,902.4,301.0,63.4,20.1,0
LZ-GAS-000117,residential,194.9,191.3,301.0,57.6,19.2,0
LZ-GAS-000118,residential,231.3,224.0,364.0,58.1,18.4,0
LZ-GAS-000119,commercial,923.4,875.7,289.0,28.4,26.7,0
LZ-GAS-000120,residential,222.9,216.7,348.0,6.4,7.3,0
LZ-GAS-000121,residential,94.1,92.6,126.0,11.3,8.8,0
LZ-GAS-000122,commercial,859.6,886.9,295.0,54.2,15.9,0
LZ-GAS-000123,residential,96.7,94.6,131.0,25.0,9.9,0
LZ-GAS-000124,commercial,351.8,331.4,66.0,75.9,28.0,0
LZ-GAS-000125,residential,130.4,132.7,198.0,9.7,5.4,0
LZ-GAS-000126,residential,196.2,195.1,312.0,65.1,18.2,0
LZ-GAS-000127,residential,151.2,149.2,230.0,38.2,12.8,0
LZ-GAS-000128,residential,284.7,279.1,461.0,23.5,10.1,0
LZ-GAS-000129,residential,179.9,198.6,316.0,20.4,12.0,0
LZ-GAS-000130,industrial,2878.8,2872.1,284.0,28.3,10.7,0
LZ-GAS-000131,residential,156.7,154.3,243.0,29.4,12.4,0
LZ-GAS-000132,residential,48.7,53.8,53.0,18.1,6.8,0
LZ-GAS-000133,residential,154.5,154.3,235.0,17.5,16.6,0
LZ-GAS-000134,industrial,2470.9,2437.4,231.0,77.7,25.9,0
LZ-GAS-000135,residential,244.9,276.2,456.0,33.7,12.9,0
LZ-GAS-000136,industrial,2150.1,1876.8,125.0,49.8,19.9,0
LZ-GAS-000137,residential,143.6,140.0,212.0,56.2,19.8,0
LZ-GAS-000138,residential,104.0,95.3,134.0,26.6,4.8,0
LZ-GAS-000139,commercial,770.5,782.6,248.0,74.8,23.8,0
LZ-GAS-000140,commercial,174.6,172.0,2.0,23.5,20.1,0
LZ-GAS-000141,residential,161.5,172.1,267.0,15.4,12.4,0
LZ-GAS-000142,residential,148.1,150.8,230.0,3.6,12.8,0
LZ-GAS-000143,commercial,805.6,814.0,252.0,21.0,7.9,0
LZ-GAS-000144,residential,298.7,286.9,480.0,4.9,0.0,0
LZ-GAS-000145,industrial,2696.3,2422.5,217.0,50.2,15.1,0
LZ-GAS-000146,residential,165.0,185.8,291.0,46.0,24.3,0
LZ-GAS-000147,residential,147.4,149.6,226.0,1.8,1.5,0
LZ-GAS-000148,residential,248.5,228.6,370.0,76.0,21.0,0
LZ-GAS-000149,industrial,3890.1,3942.6,480.0,58.3,26.1,0
LZ-GAS-000150,residential,248.8,272.5,450.0,44.0,15.7,0
LZ-GAS-000151,commercial,922.6,834.1,272.0,75.6,23.9,0
LZ-GAS-000152,residential,65.6,58.3,62.0,42.4,18.5,0
LZ-GAS-000153,commercial,900.4,845.4,285.0,14.1,10.0,0
LZ-GAS-000154,residential,31.1,30.4,12.0,62.4,20.1,0
LZ-GAS-000155,industrial,1626.9,1614.0,113.0,76.4,26.4,0
LZ-GAS-000156,residential,105.8,107.6,151.0,4.8,3.6,0
LZ-GAS-000157,residential,71.5,67.7,83.0,40.3,15.9,0
LZ-GAS-000158,residential,161.8,150.6,228.0,18.1,13.8,0
LZ-GAS-000159,residential,116.5,126.2,180.0,72.3,18.8,0
LZ-GAS-000160,residential,105.8,96.6,131.0,7.7,6.9,0
LZ-GAS-000161,industrial,2737.9,2801.3,277.0,64.5,16.4,0
LZ-GAS-000162,commercial,512.1,500.2,132.0,16.5,13.9,0
LZ-GAS-000163,residential,240.5,241.8,396.0,51.3,21.9,0
LZ-GAS-000164,residential,199.8,193.9,311.0,55.4,24.6,0
LZ-GAS-000165,residential,118.0,116.5,171.0,60.8,26.4,0
LZ-GAS-000166,residential,201.3,180.2,285.0,4.2,12.2,0
LZ-GAS-000167,residential,97.5,100.4,138.0,38.7,19.3,0
LZ-GAS-000168,residential,105.8,102.5,145.0,10.0,4.6,0
LZ-GAS-000169,industrial,3476.3,3223.7,361.0,10.1,13.2,0
LZ-GAS-000170,residential,42.1,38.3,18.0,13.0,4.7,0
LZ-GAS-000171,residential,161.1,179.4,288.0,11.8,20.6,0
LZ-GAS-000172,residential,322.7,288.9,479.0,74.8,26.1,0
LZ-GAS-000173,residential,27.4,25.2,0.0,44.8,20.2,0
LZ-GAS-000174,residential,308.0,289.7,480.0,20.3,4.9,0
LZ-GAS-000175,residential,24.7,25.6,0.0,38.8,21.1,0
LZ-GAS-000176,commercial,158.2,179.2,0.0,4.4,13.0,0
LZ-GAS-000177,commercial,176.1,174.4,0.0,17.3,2.5,0
LZ-GAS-000178,commercial,361.8,351.4,73.0,50.2,15.8,0
LZ-GAS-000179,residential,93.2,104.5,148.0,55.6,17.6,0
LZ-GAS-000180,industrial,834.2,846.3,0.0,49.3,15.1,0
LZ-GAS-000181,commercial,648.4,658.3,199.0,78.8,30.0,0
LZ-GAS-000182,commercial,977.3,979.7,333.0,78.4,30.0,0
LZ-GAS-000183,residential,55.1,92.9,123.0,66.7,17.3,1
LZ-GAS-000184,industrial,2374.9,2411.8,241.0,37.3,20.6,0
LZ-GAS-000185,residential,182.5,191.4,307.0,60.6,19.8,0
LZ-GAS-000186,residential,295.2,278.9,454.0,19.9,17.8,0
LZ-GAS-000187,residential,331.7,143.6,214.0,69.2,11.0,1
LZ-GAS-000188,residential,200.3,202.7,320.0,19.5,8.7,0
LZ-GAS-000189,residential,219.9,186.6,293.0,79.3,30.0,0
LZ-GAS-000190,residential,157.8,154.0,232.0,1.1,2.5,0
LZ-GAS-000191,residential,149.5,126.0,180.0,63.7,27.9,0
LZ-GAS-000192,residential,164.7,177.8,273.0,40.1,13.5,0
LZ-GAS-000193,residential,364.8,199.2,317.0,65.3,28.0,1
LZ-GAS-000194,residential,52.6,54.1,51.0,41.7,19.3,0
LZ-GAS-000195,residential,107.8,123.5,176.0,66.7,20.6,0
LZ-GAS-000196,residential,172.0,170.4,270.0,56.7,16.3,0
LZ-GAS-000197,residential,146.0,170.2,264.0,51.1,17.9,0
LZ-GAS-000198,industrial,1244.8,2673.9,269.0,76.1,30.0,1
LZ-GAS-000199,residential,683.2,265.7,441.0,9.4,8.3,1
LZ-GAS-000200,commercial,595.1,1044.8,364.0,74.1,21.2,1
LZ-GAS-000201,residential,57.3,59.7,59.0,41.7,30.0,0
LZ-GAS-000202,residential,277.0,264.5,434.0,56.6,12.2,0
LZ-GAS-000203,residential,185.4,97.5,132.0,53.5,18.2,1
LZ-GAS-000204,residential,35.7,87.2,115.0,31.3,16.5,1
LZ-GAS-000205,residential,221.0,227.7,368.0,42.1,11.3,0
LZ-GAS-000206,commercial,666.4,662.5,181.0,77.8,25.4,0
LZ-GAS-000207,industrial,853.0,915.2,1.0,39.1,13.7,0
LZ-GAS-000208,commercial,875.5,902.3,307.0,73.3,16.9,0
LZ-GAS-000209,residential,173.7,177.9,284.0,0.7,8.4,0
LZ-GAS-000210,residential,189.1,189.9,296.0,45.9,11.8,0
LZ-GAS-000211,residential,46.5,46.9,38.0,55.1,16.0,0
LZ-GAS-000212,residential,231.7,205.2,331.0,31.6,20.1,0
LZ-GAS-000213,residential,107.3,105.9,142.0,6.5,2.0,0
LZ-GAS-000214,commercial,935.4,1024.0,344.0,63.4,24.9,0
LZ-GAS-000215,residential,60.4,55.9,59.0,60.2,26.9,0
LZ-GAS-000216,commercial,424.1,399.9,96.0,30.5,18.6,0
LZ-GAS-000217,commercial,166.0,185.8,0.0,7.8,10.3,0
LZ-GAS-000218,residential,102.8,91.5,121.0,67.2,21.6,0
LZ-GAS-000219,commercial,1066.1,1063.1,365.0,62.1,14.5,0
LZ-GAS-000220,commercial,822.9,807.6,255.0,66.7,23.4,0
LZ-GAS-000221,residential,102.6,105.2,148.0,65.5,24.6,0
LZ-GAS-000222,residential,244.1,248.3,405.0,21.0,8.7,0
LZ-GAS-000223,residential,160.2,160.4,251.0,50.0,13.5,0
LZ-GAS-000224,residential,211.0,205.6,326.0,37.3,19.6,0
LZ-GAS-000225,residential,192.2,174.5,268.0,31.2,8.5,0
LZ-GAS-000226,residential,142.8,134.9,210.0,32.8,16.4,0
LZ-GAS-000227,residential,161.7,155.7,242.0,53.9,17.0,0
LZ-GAS-000228,commercial,857.4,859.2,281.0,79.8,17.5,0
LZ-GAS-000229,commercial,983.7,1054.2,374.0,37.8,23.5,0
LZ-GAS-000230,residential,184.6,191.7,303.0,29.3,16.3,0
LZ-GAS-000231,commercial,1075.7,1006.6,341.0,50.2,21.2,0
LZ-GAS-000232,commercial,375.7,364.0,76.0,50.3,11.4,0
LZ-GAS-000233,commercial,181.5,189.9,0.0,32.6,13.5,0
LZ-GAS-000234,residential,170.6,170.5,265.0,51.7,20.3,0
LZ-GAS-000235,residential,180.7,161.3,244.0,52.5,15.3,0
LZ-GAS-000236,residential,187.5,178.9,281.0,59.7,29.1,0
LZ-GAS-000237,residential,75.6,73.0,89.0,13.4,0.0,0
LZ-GAS-000238,residential,87.7,156.2,242.0,52.2,22.5,1
LZ-GAS-000239,industrial,1201.5,1303.7,82.0,33.4,4.8,0
LZ-GAS-000240,residential,152.4,153.4,234.0,70.4,15.7,0
LZ-GAS-000241,residential,139.8,142.2,213.0,49.5,11.9,0
LZ-GAS-000242,residential,140.9,134.0,199.0,64.9,25.0,0
LZ-GAS-000243,residential,166.1,168.2,264.0,64.8,18.5,0
LZ-GAS-000244,residential,108.3,109.9,156.0,17.0,6.8,0
LZ-GAS-000245,residential,147.9,147.9,220.0,6.2,2.9,0
LZ-GAS-000246,residential,189.9,198.6,315.0,60.8,13.6,0
LZ-GAS-000247,residential,244.2,260.0,423.0,4.4,2.5,0
LZ-GAS-000248,commercial,767.1,850.7,277.0,75.9,19.9,0
LZ-GAS-000249,residential,215.0,206.1,331.0,55.2,18.0,0
LZ-GAS-000250,residential,195.7,194.4,300.0,33.9,12.4,0
LZ-GAS-000251,residential,263.7,267.3,444.0,53.6,7.2,0
LZ-GAS-000252,residential,295.8,285.6,480.0,10.6,5.2,0
LZ-GAS-000253,residential,232.0,99.6,138.0,51.1,24.6,1
LZ-GAS-000254,residential,193.9,198.1,314.0,73.6,21.8,0
LZ-GAS-000255,residential,149.4,171.2,263.0,0.0,5.4,0
LZ-GAS-000256,residential,296.3,263.6,433.0,75.0,20.9,0
LZ-GAS-000257,commercial,159.3,171.7,0.0,24.9,8.5,0
LZ-GAS-000258,residential,113.1,103.1,137.0,31.8,13.3,0
LZ-GAS-000259,residential,24.5,25.7,0.0,75.2,17.7,0
LZ-GAS-000260,residential,240.5,248.7,406.0,63.7,20.8,0
LZ-GAS-000261,commercial,744.0,797.0,260.0,30.8,5.0,0
LZ-GAS-000262,residential,174.8,199.5,311.0,78.4,26.9,0
LZ-GAS-000263,residential,197.7,179.9,277.0,2.6,0.0,0
LZ-GAS-000264,residential,148.3,166.3,260.0,52.8,22.1,0
LZ-GAS-000265,residential,175.0,179.8,277.0,40.8,20.9,0
LZ-GAS-000266,industrial,1940.7,2011.9,168.0,71.0,15.2,0
LZ-GAS-000267,residential,24.4,24.5,0.0,1.5,9.3,0
LZ-GAS-000268,residential,189.1,173.7,266.0,25.7,10.0,0
LZ-GAS-000269,commercial,606.8,687.1,215.0,38.3,21.0,0
LZ-GAS-000270,residential,107.2,106.6,148.0,5.9,4.4,0
LZ-GAS-000271,residential,100.8,105.6,142.0,51.6,17.0,0
LZ-GAS-000272,residential,247.4,243.2,396.0,67.8,21.0,0
LZ-GAS-000273,commercial,452.8,458.1,124.0,72.5,30.0,0
LZ-GAS-000274,residential,65.4,68.8,82.0,11.5,0.0,0
LZ-GAS-000275,commercial,1017.2,930.1,311.0,40.5,19.5,0
LZ-GAS-000276,residential,255.3,253.0,417.0,78.8,25.7,0
LZ-GAS-000277,commercial,297.6,303.0,51.0,5.7,4.5,0
LZ-GAS-000278,commercial,405.5,408.8,91.0,56.4,18.4,0
LZ-GAS-000279,commercial,361.4,371.4,83.0,22.9,15.9,0
LZ-GAS-000280,residential,178.8,172.7,273.0,72.7,27.8,0
LZ-GAS-000281,residential,191.2,189.1,297.0,48.7,26.2,0
LZ-GAS-000282,residential,248.2,253.9,410.0,71.7,20.2,0
LZ-GAS-000283,residential,137.5,143.0,215.0,4.0,0.0,0
LZ-GAS-000284,commercial,558.5,640.3,189.0,48.4,14.8,0
LZ-GAS-000285,residential,97.0,104.3,142.0,33.6,12.9,0
LZ-GAS-000286,residential,232.7,230.3,372.0,8.6,5.4,0
LZ-GAS-000287,residential,102.3,101.2,143.0,32.7,19.8,0
LZ-GAS-000288,commercial,433.7,456.0,112.0,59.3,30.0,0
LZ-GAS-000289,commercial,720.7,647.0,191.0,46.6,19.0,0
LZ-GAS-000290,residential,154.1,143.4,218.0,47.5,8.4,0
LZ-GAS-000291,residential,169.3,177.2,275.0,22.4,16.3,0
LZ-GAS-000292,commercial,530.7,500.3,138.0,40.7,12.4,0
LZ-GAS-000293,residential,251.2,272.6,454.0,35.7,14.6,0
LZ-GAS-000294,commercial,1350.6,1310.5,476.0,72.8,27.9,0
LZ-GAS-000295,industrial,661.9,1450.3,72.0,70.2,24.9,1
LZ-GAS-000296,industrial,2756.8,2534.4,241.0,35.0,13.9,0
LZ-GAS-000297,commercial,348.2,394.1,88.0,40.3,17.0,0
LZ-GAS-000298,commercial,662.1,646.0,184.0,23.4,15.1,0
LZ-GAS-000299,residential,32.9,55.5,58.0,45.4,20.0,1
LZ-GAS-000300,residential,136.7,128.1,184.0,10.4,18.4,0
LZ-GAS-000301,residential,168.4,165.5,257.0,77.3,9.8,0
LZ-GAS-000302,commercial,594.9,736.2,244.0,33.2,9.9,0
LZ-GAS-000303,commercial,273.4,295.6,43.0,0.7,2.7,0
LZ-GAS-000304,commercial,220.7,184.7,0.0,23.8,15.5,0
LZ-GAS-000305,residential,23.4,22.2,0.0,75.9,25.6,0
LZ-GAS-000306,residential,220.5,234.9,383.0,24.8,15.9,0
LZ-GAS-000307,residential,146.1,134.4,197.0,30.9,6.1,0
LZ-GAS-000308,residential,166.3,151.4,231.0,78.0,23.9,0
LZ-GAS-000309,commercial,1177.6,1185.1,414.0,62.8,24.4,0
LZ-GAS-000310,residential,72.9,70.4,88.0,28.8,12.4,0
LZ-GAS-000311,residential,194.0,181.8,277.0,13.2,6.8,0
LZ-GAS-000312,residential,111.6,97.4,132.0,31.3,14.7,0
LZ-GAS-000313,commercial,720.8,760.1,246.0,29.9,21.2,0
LZ-GAS-000314,residential,24.6,24.0,0.0,71.6,12.8,0
LZ-GAS-000315,commercial,519.2,573.8,168.0,43.1,24.2,0
LZ-GAS-000316,industrial,2289.3,2162.8,212.0,74.0,25.4,0
LZ-GAS-000317,residential,148.9,152.6,236.0,78.9,20.9,0
LZ-GAS-000318,residential,36.1,42.4,31.0,69.6,26.2,0
LZ-GAS-000319,commercial,683.0,643.0,188.0,32.5,13.8,0
LZ-GAS-000320,industrial,3228.8,3011.1,338.0,31.2,19.3,0
LZ-GAS-000321,residential,161.2,140.7,209.0,43.8,12.4,0
LZ-GAS-000322,commercial,1001.3,978.1,335.0,54.3,23.9,0
LZ-GAS-000323,commercial,849.1,953.8,309.0,67.9,17.9,0
LZ-GAS-000324,industrial,2343.3,2590.6,253.0,65.4,23.4,0
LZ-GAS-000325,residential,269.2,121.2,172.0,25.0,15.2,1
LZ-GAS-000326,residential,140.9,152.8,231.0,58.9,19.8,0
LZ-GAS-000327,industrial,1542.1,1566.2,97.0,30.1,16.2,0
LZ-GAS-000328,residential,187.8,194.5,309.0,62.1,18.0,0
LZ-GAS-000329,residential,184.4,168.7,264.0,1.1,11.0,0
LZ-GAS-000330,residential,251.9,236.8,379.0,67.9,19.9,0
LZ-GAS-000331,residential,88.9,291.9,480.0,55.8,15.9,1
LZ-GAS-000332,commercial,1075.6,995.1,333.0,11.7,7.8,0
LZ-GAS-000333,residential,179.2,185.7,296.0,20.0,10.2,0
LZ-GAS-000334,industrial,2479.7,2499.6,246.0,24.9,7.5,0
LZ-GAS-000335,residential,195.4,210.1,334.0,41.1,19.7,0
LZ-GAS-000336,commercial,1204.8,1151.3,404.0,72.5,23.0,0
LZ-GAS-000337,residential,110.6,122.7,184.0,77.6,27.9,0
LZ-GAS-000338,residential,52.9,54.1,53.0,48.2,10.0,0
LZ-GAS-000339,residential,44.1,44.3,40.0,8.7,1.1,0
LZ-GAS-000340,residential,211.9,216.9,353.0,78.3,23.7,0
LZ-GAS-000341,residential,432.4,181.8,283.0,76.8,19.7,1
LZ-GAS-000342,commercial,300.1,835.3,292.0,7.0,6.6,1
LZ-GAS-000343,residential,49.2,27.3,0.0,53.3,21.6,1
LZ-GAS-000344,residential,99.7,103.2,146.0,53.3,24.4,0
LZ-GAS-000345,industrial,1044.4,955.8,14.0,52.9,26.0,0
LZ-GAS-000346,commercial,326.2,343.1,69.0,58.0,23.9,0
LZ-GAS-000347,industrial,1739.0,1813.3,145.0,0.4,2.0,0
LZ-GAS-000348,residential,91.8,96.0,130.0,24.7,14.4,0
LZ-GAS-000349,residential,272.2,261.1,432.0,27.0,9.6,0
LZ-GAS-000350,residential,51.7,53.9,52.0,51.9,21.2,0
LZ-GAS-000351,residential,95.7,98.7,138.0,7.6,2.1,0
LZ-GAS-000352,residential,90.1,91.4,121.0,22.1,17.7,0
LZ-GAS-000353,residential,150.6,151.5,230.0,14.0,11.0,0
LZ-GAS-000354,residential,229.9,199.4,318.0,3.8,5.0,0
LZ-GAS-000355,residential,90.1,90.1,114.0,37.9,8.1,0
LZ-GAS-000356,commercial,173.6,177.5,0.0,16.3,11.0,0
LZ-GAS-000357,residential,114.6,114.1,164.0,38.6,12.5,0
LZ-GAS-000358,residential,170.5,180.0,274.0,16.5,10.9,0
LZ-GAS-000359,residential,65.7,69.7,76.0,63.4,17.8,0
LZ-GAS-000360,residential,220.1,218.7,350.0,8.9,5.0,0
LZ-GAS-000361,residential,74.3,71.2,85.0,61.7,24.0,0
LZ-GAS-000362,residential,99.3,102.3,135.0,52.6,26.0,0
LZ-GAS-000363,residential,110.0,114.2,161.0,12.7,2.3,0
LZ-GAS-000364,residential,306.0,286.0,475.0,30.3,12.1,0
LZ-GAS-000365,residential,181.4,203.5,325.0,30.6,15.1,0
LZ-GAS-000366,residential,159.4,174.3,268.0,36.4,13.8,0
LZ-GAS-000367,commercial,391.3,390.9,86.0,54.0,16.8,0
LZ-GAS-000368,commercial,396.8,344.3,72.0,1.2,16.6,0
LZ-GAS-000369,residential,88.2,90.6,127.0,13.2,4.6,0
LZ-GAS-000370,residential,296.1,265.2,434.0,55.9,21.3,0
LZ-GAS-000371,residential,240.1,241.9,394.0,7.4,4.9,0
LZ-GAS-000372,industrial,2171.5,2521.2,240.0,67.5,21.9,0
LZ-GAS-000373,industrial,1949.9,1743.4,127.0,29.6,1.5,0
LZ-GAS-000374,residential,28.7,27.0,0.0,2.9,10.6,0
LZ-GAS-000375,industrial,1895.5,1978.0,160.0,61.5,19.8,0
LZ-GAS-000376,residential,178.8,184.5,290.0,19.6,5.6,0
LZ-GAS-000377,residential,205.1,186.9,295.0,79.9,30.0,0
LZ-GAS-000378,residential,172.2,171.4,273.0,73.8,22.6,0
