RecordID,weekly_sales,size,cpi,unemployment,temperature,fuel_price,dept,store,type,month
37,3538.78,39690,130.89,7.4,90.94,4.1,82,33,A,6
38,17756.09,37392,214.55,7.35,82.2,2.67,40,3,B,7
39,25757.3,103681,141.55,8.74,49.6,3.86,34,35,B,3
40,17542.1,93188,131.12,6.24,47.69,3.84,16,17,B,4
41,3367.67,70713,196.17,8.51,12.19,3.17,71,7,B,12
42,1379.04,39910,210.18,8.48,52.88,2.94,5,37,C,12
43,21305.01,184109,219.32,7.24,61.1,3.56,5,39,A,2
44,23597.71,204184,140.53,7.91,41.59,3.59,11,27,A,12
45,14.74,39910,220.05,7.24,70.48,3.84,27,37,C,3
46,45644.04,202505,224.2,5.67,76.41,3.72,8,6,A,9
47,2494.65,152513,133.37,7.91,19.63,3.26,42,26,A,2
48,880.93,34875,216.3,6.53,89.18,3.52,21,5,B,8
49,32596.76,103681,136.69,8.76,52.82,2.92,13,35,B,10
50,1216.5,203819,133.74,8.25,39.51,3.75,50,24,A,3
51,7848.75,203742,214.65,7.14,74.15,3.51,20,20,A,6
52,4200.0,207499,218.68,7.57,76.64,3.74,36,11,A,4
53,2850.0,203819,138.83,8.69,60.35,4.15,58,24,A,10
54,1193.49,140167,215.45,7.85,91.94,3.53,19,21,B,9
55,9381.49,42988,215.51,7.85,78.87,3.55,8,30,C,9
56,5462.22,70713,189.66,8.96,41.89,2.76,12,7,B,4
57,709.0,155078,225.3,5.68,64.16,3.63,36,8,A,5
58,6329.51,39910,126.19,7.8,68.22,2.87,97,44,C,9
59,23168.9,39690,128.0,14.02,53.35,3.43,91,38,C,2
60,27961.11,207499,214.7,7.56,55.03,2.94,96,11,A,12
61,45127.78,219622,126.06,7.95,74.93,2.84,93,13,A,8
62,793.63,41062,210.31,10.15,47.49,3.17,16,43,C,12
63,16253.97,39910,214.17,8.18,83.31,3.65,2,37,C,7
64,8722.73,155078,222.47,6.12,30.51,3.16,17,8,A,12
65,1792.84,39910,214.3,8.18,86.71,3.68,67,37,C,8
66,3230.31,93188,130.07,6.62,26.73,3.12,33,17,B,12
67,120731.3,206302,126.98,14.31,52.02,3.24,72,28,A,12
68,33986.81,158114,130.68,9.28,74.02,3.22,40,34,A,7
69,21272.4,114533,135.45,4.58,65.65,3.82,90,23,B,7
70,29383.18,184109,215.45,8.18,81.51,3.36,46,39,A,9
71,2281.17,119557,140.59,7.71,36.28,3.4,36,22,B,12
72,1535.46,119557,141.63,7.5,54.68,3.89,19,22,B,3
73,7690.26,158114,129.08,10.58,61.47,3.88,98,34,A,5
74,365.26,37392,223.19,6.83,52.42,3.16,91,3,B,1
75,5801.56,39690,126.11,9.5,91.77,2.96,4,33,A,9
76,20813.9,203819,136.31,7.81,62.76,3.94,7,19,A,9
77,5020.32,219622,126.44,8.32,31.53,2.67,85,13,A,2
78,16777.53,202505,217.18,6.86,75.27,3.81,82,6,A,4
79,32670.15,206302,128.96,13.74,72.12,4.13,8,28,A,4
80,1147.57,39690,128.72,13.74,63.63,3.77,14,38,C,4
81,3464.92,112238,131.15,10.2,68.66,4.45,21,12,B,10
82,40924.31,200898,189.06,8.52,37.79,3.39,5,14,A,12
83,4045.32,158114,129.61,10.64,69.44,3.37,26,34,A,9
84,23303.48,103681,136.42,8.86,78.26,2.78,8,35,B,7
85,1646.7,41062,208.16,10.64,78.98,3.47,21,43,C,9
86,6877.12,203750,211.03,8.1,83.59,2.64,71,31,A,7
87,8765.94,70713,193.19,8.62,59.08,3.54,3,7,B,7
88,34259.73,155083,138.11,4.12,64.75,3.8,8,40,A,6
89,4968.43,203742,214.65,7.14,74.15,3.51,85,20,A,6
90,36661.45,219622,127.19,7.47,16.94,2.89,46,13,A,1
91,1265.59,37392,225.25,6.66,81.55,3.5,21,3,B,6
92,5736.23,39690,131.04,7.4,70.75,4.28,97,33,A,4
93,4503.58,93188,126.6,6.64,34.05,2.88,6,17,B,4
94,13299.01,123737,138.11,8.15,67.61,3.92,10,15,B,6
95,3303.07,128107,208.9,7.27,66.8,3.7,37,25,B,8
96,607.88,203742,204.39,8.19,22.12,2.77,28,20,A,2
97,822.5,125833,215.02,6.38,83.75,2.67,31,9,B,6
98,12116.03,151315,215.73,7.96,87.96,3.52,7,1,A,8
99,28548.55,125833,225.94,5.28,77.9,3.62,40,9,B,8
100,359.09,37392,214.7,7.56,57.16,2.89,56,3,B,12
101,307.62,39910,211.33,8.4,46.68,2.99,7,37,C,2
102,4738.19,203750,215.15,7.93,76.86,3.79,71,31,A,5
103,69315.67,119557,137.05,8.46,26.39,3.24,38,22,B,2
104,68.96,103681,142.25,8.84,78.95,3.52,94,35,B,7
105,56501.71,126512,129.0,8.49,73.38,4.15,13,10,B,4
106,39511.75,203742,210.55,7.08,53.69,3.57,80,20,A,10
107,4772.16,119557,137.05,8.46,26.39,3.24,20,22,B,2
108,2175.52,125833,214.93,6.56,49.7,2.87,52,9,B,12
109,15753.45,39690,129.82,7.87,55.28,3.68,4,42,C,11
110,34009.5,57197,196.95,6.16,26.21,3.13,40,16,B,2
111,30362.92,70713,194.11,8.62,54.56,3.54,92,7,B,8
112,24481.79,39910,218.05,7.72,55.41,3.1,93,36,A,12
113,2226.1,206302,126.15,14.18,90.37,3.1,52,28,A,7
114,13852.31,39690,126.98,9.0,57.06,3.24,13,42,C,12
115,57545.25,203750,211.61,8.16,58.71,2.69,94,31,A,11
116,22078.86,203819,132.63,8.1,72.71,2.92,80,19,A,8
117,11786.43,114533,132.75,5.29,50.75,2.78,55,23,B,10
118,6732.16,196321,192.01,7.24,34.99,3.23,67,41,A,3
119,2000.19,206302,129.04,13.74,86.84,3.94,85,28,A,6
120,34190.16,184109,210.24,8.48,50.81,2.84,79,39,A,12
121,4780.3,155078,224.84,5.82,52.9,3.79,33,8,A,3
122,6113.74,140167,214.93,7.85,89.16,3.48,32,21,B,7
123,5522.95,123737,132.98,8.07,39.63,3.06,90,15,B,11
124,5319.18,203007,195.18,8.51,48.87,3.55,71,32,A,10
125,247.0,39910,210.18,8.48,56.73,2.87,28,37,C,12
126,10597.84,158114,130.9,9.65,47.93,3.76,23,34,A,3
127,2348.56,151315,219.36,7.87,47.96,3.11,37,1,A,12
128,1798.0,202505,213.48,7.01,59.9,2.69,36,6,A,11
129,56075.28,155083,137.26,4.26,25.56,3.7,72,40,A,2
130,3899.77,140167,221.56,6.56,82.51,3.26,67,21,B,7
131,6240.01,37392,213.91,7.34,68.0,2.77,56,3,B,4
132,7940.92,119557,137.63,8.46,41.42,3.6,25,22,B,3
133,67805.67,202505,212.74,7.26,56.55,2.72,40,6,A,3
134,2238.0,123737,132.76,8.1,62.53,2.84,50,15,B,9
135,32642.16,155083,131.69,5.89,33.32,2.75,8,40,A,2
136,28563.53,123737,134.86,7.66,69.8,4.07,11,15,B,6
137,13819.74,39690,130.89,7.4,90.94,4.1,91,33,A,6
138,40.92,202505,222.24,6.13,59.17,3.56,54,6,A,2
139,263.94,114533,132.61,5.33,70.03,2.79,83,23,B,8
140,3586.0,103681,137.05,8.55,28.7,3.23,36,35,B,2
141,36087.9,202505,219.79,6.55,63.89,3.31,4,6,A,11
142,314.64,39910,126.67,7.61,28.22,2.83,3,44,C,11
143,19466.73,203742,214.02,6.96,53.73,3.86,25,20,A,3
144,20896.43,203819,132.72,8.1,74.69,2.86,34,19,A,9
145,16638.07,200898,186.51,8.62,72.98,3.75,98,14,A,8
146,163.5,70713,192.83,8.6,36.61,3.77,98,7,B,5
147,719.32,39690,129.33,13.5,93.66,3.8,87,38,C,9
148,296.93,39690,126.73,9.0,51.17,3.04,74,42,C,12
149,3167.91,57197,190.99,6.99,23.68,2.71,42,16,B,12
150,6205.0,207499,225.25,6.66,82.1,3.45,36,11,A,6
151,27114.1,93638,134.36,9.97,47.76,3.92,95,29,B,4
152,3897.51,125833,214.66,6.44,78.51,2.64,22,9,B,7
153,19.96,114533,132.72,5.33,72.91,2.74,45,23,B,9
154,2783.54,203007,193.31,8.62,70.55,3.53,30,32,A,7
155,409.48,39910,221.46,6.62,75.98,3.71,7,36,A,9
156,63505.0,203007,196.87,8.26,35.89,3.03,38,32,A,2
157,101503.1,103681,137.63,8.55,43.64,3.58,72,35,B,3
158,14145.72,128107,204.63,7.48,21.6,3.14,3,25,B,12
159,506.46,158114,130.83,9.58,76.48,3.37,31,34,A,6
160,11632.74,140167,210.68,8.32,51.66,2.73,82,21,B,3
161,2923.99,93188,128.26,6.87,24.21,3.23,20,17,B,3
162,4029.63,203007,189.49,9.02,74.74,2.73,24,32,A,7
163,33725.68,119557,142.94,7.54,54.18,4.03,4,22,B,10
164,45522.98,205863,126.55,7.13,52.65,2.74,7,4,A,11
165,26240.27,203819,132.11,8.19,62.54,3.1,23,19,A,5
166,2194.82,123737,133.03,7.77,21.84,3.39,30,15,B,1
167,43730.97,203819,132.76,8.12,64.3,2.84,40,24,A,9
168,11289.52,203819,138.83,8.69,52.59,4.15,18,24,A,10
169,21594.62,112238,129.15,13.5,91.17,3.79,5,12,B,7
170,33720.04,118221,191.17,8.68,79.97,3.52,8,45,B,7
171,5005.0,126512,131.11,6.94,76.03,4.47,48,10,B,10
172,46828.48,114533,136.05,4.58,69.53,3.9,23,23,B,8
173,8707.85,200898,188.5,8.52,50.19,3.45,42,14,A,12
174,7458.4,93638,131.59,10.06,28.14,2.77,82,29,B,2
175,26987.84,184109,219.97,7.24,67.91,3.79,96,39,A,3
176,457.39,39690,130.76,7.17,90.78,3.81,10,42,C,8
177,12419.92,205863,129.83,5.14,50.44,3.29,33,4,A,11
178,18425.62,206302,130.83,11.63,85.94,4.14,82,28,A,6
179,6075.14,207499,218.89,7.57,85.61,3.79,21,11,A,5
180,796.0,125833,214.76,6.42,53.15,2.72,27,9,B,3
181,151.0,119557,136.35,8.35,74.37,2.81,54,22,B,6
182,3262.43,203750,211.66,8.16,60.95,2.73,37,31,A,11
183,922.04,37392,218.46,7.57,72.55,3.62,18,3,B,4
184,32431.7,205863,131.15,4.31,67.64,3.68,16,4,A,5
185,40187.84,202505,225.07,5.33,72.34,3.51,87,6,A,10
186,2400.16,39690,129.05,8.69,82.93,3.89,1,33,A,6
187,8632.0,39690,130.35,12.19,50.58,3.7,1,38,C,2
188,1901.87,155078,223.24,5.82,43.47,3.16,52,8,A,1
189,1239.21,34875,222.63,5.6,87.52,3.57,20,5,B,8
190,246.5,39910,210.77,8.48,61.97,2.7,26,36,A,11
191,434.0,93188,129.79,6.62,41.89,3.57,48,17,B,10
192,14782.23,128107,214.73,7.28,74.32,3.57,1,25,B,7
193,3247.31,125833,225.63,5.28,84.15,3.23,21,9,B,7
194,430.0,39910,213.81,8.3,69.39,3.64,5,36,A,4
195,333.0,39910,131.15,5.22,52.06,3.78,60,44,C,10
196,10186.64,93638,132.82,10.52,50.24,2.92,46,29,B,10
197,130.86,155083,138.91,4.14,47.35,4.03,59,40,A,10
198,2337.61,126512,126.49,9.0,71.04,3.01,28,10,B,11
199,98.0,200898,182.78,8.72,46.15,3.04,19,14,A,11
200,13346.73,125833,214.78,6.44,78.55,2.67,79,9,B,7
201,21298.43,203742,208.96,7.29,62.26,4.07,14,20,A,5
202,3499.95,118221,185.53,8.52,53.69,3.82,18,45,B,4
203,23607.73,151315,215.8,7.68,64.61,3.91,11,1,A,5
204,2700.66,205863,131.15,3.88,64.46,3.61,31,4,A,10
205,11870.34,202307,218.36,7.44,48.74,3.17,26,2,A,12
206,8319.46,57197,195.03,6.23,39.97,3.49,74,16,B,10
207,8406.9,207499,219.02,7.57,89.51,3.55,32,11,A,8
208,184.5,37392,214.68,7.37,53.04,2.62,36,3,B,3
209,10106.48,206302,126.61,14.31,58.18,3.16,87,28,A,11
210,1673.95,34875,216.05,6.53,89.42,3.68,32,5,B,7
211,3972.59,203007,190.36,9.02,70.2,2.77,44,32,A,9
212,29058.28,202505,217.18,6.86,75.27,3.81,23,6,A,4
213,7456.43,39910,127.44,7.22,34.8,2.93,81,44,C,1
214,9485.01,206302,129.9,12.89,43.29,3.6,49,28,A,12
215,472.67,206302,129.07,13.74,88.95,3.9,28,28,A,6
216,13224.92,203750,223.08,6.17,70.5,3.51,87,31,A,10
217,771.0,151315,211.35,8.11,46.5,2.62,48,1,A,3
218,17824.37,151315,211.34,7.81,84.34,2.65,82,1,A,6
219,11517.66,151315,221.92,6.91,77.12,3.26,98,1,A,7
220,29.95,155083,138.03,4.12,44.47,3.99,18,40,A,5
221,135.03,39690,126.6,13.98,50.11,2.92,85,38,C,3
222,5704.38,155078,215.55,6.26,39.26,3.01,22,8,A,1
223,153.33,103681,136.97,8.55,23.64,3.24,56,35,B,1
224,3440.84,34875,218.09,6.3,66.9,3.35,34,5,B,10
225,8249.68,140167,220.07,7.06,45.03,3.51,33,21,B,2
226,237.6,34875,210.94,6.46,67.53,2.78,60,5,B,4
227,15909.44,202505,213.33,7.01,68.93,2.72,82,6,A,10
228,10752.35,93188,126.88,6.88,25.13,2.84,26,17,B,12
229,81.48,114533,132.98,5.29,35.59,2.96,80,23,B,11
230,33434.52,155083,137.98,4.12,47.51,4.02,40,40,A,4
231,11836.32,151315,211.22,8.11,54.58,2.72,56,1,A,3
232,19363.9,155083,133.18,5.11,13.29,3.24,5,40,A,2
233,133.44,39910,126.15,7.8,71.33,2.8,10,44,C,7
234,3832.99,202307,215.28,7.93,69.21,3.81,52,2,A,4
235,3831.87,203819,132.88,8.25,30.72,3.35,32,24,A,1
236,68.91,41062,206.94,10.58,88.3,3.59,52,43,C,6
237,11943.48,205863,126.55,8.62,41.36,2.59,16,4,A,2
238,35344.91,158114,126.23,10.21,70.13,2.62,2,34,A,10
239,513.22,140167,217.33,7.44,65.46,3.37,56,21,B,10
240,55985.5,39910,214.36,8.3,76.1,3.81,92,37,C,4
241,2766.48,119557,142.94,7.54,54.18,4.03,93,22,B,10
242,17680.17,41062,213.93,9.28,73.03,3.72,40,43,C,9
243,612.74,37392,214.7,7.55,53.35,2.98,87,3,B,1
244,574.47,155078,223.8,5.82,35.71,3.41,41,8,A,2
245,62895.24,155083,136.21,4.58,65.01,3.8,90,40,A,8
246,25502.01,39910,126.49,7.61,49.96,2.83,95,44,C,11
247,1413.0,93638,131.69,10.06,35.98,2.75,27,29,B,2
248,1194.84,39690,129.69,7.87,75.01,3.83,14,42,C,10
249,77093.57,219622,126.53,8.32,35.7,2.65,38,13,A,2
250,12281.79,126512,126.33,9.0,75.48,3.08,67,10,B,10
251,27.83,39910,126.29,7.97,44.42,2.95,32,44,C,5
252,1968.5,118221,186.8,8.62,69.17,3.74,31,45,B,9
253,9910.9,93188,127.86,6.87,14.19,3.03,87,17,B,2
254,6719.35,203819,136.47,7.87,48.21,3.72,42,19,A,11
255,38358.6,205863,129.37,5.64,73.34,3.55,10,4,A,9
256,354.24,118221,182.92,8.55,30.55,3.23,59,45,B,1
257,9220.69,112238,129.52,13.5,82.95,3.79,17,12,B,9
258,12537.73,196321,190.33,7.34,70.59,2.73,16,41,A,8
259,2350.72,203819,138.13,8.15,68.19,3.79,37,19,A,6
260,6780.95,203750,214.94,7.93,71.01,3.74,49,31,A,4
261,10347.25,207499,214.56,7.35,84.57,2.61,25,11,A,7
262,8804.18,128107,214.57,7.14,68.34,3.62,17,25,B,6
263,48126.77,140167,221.59,6.56,91.57,3.42,2,21,B,8
264,16280.71,125833,214.93,6.56,49.7,2.87,82,9,B,12
265,7471.54,118221,191.16,8.68,76.58,3.65,25,45,B,8
266,10028.46,203742,208.56,7.29,69.12,3.98,3,20,A,5
267,10498.09,203742,216.15,7.29,60.04,3.88,32,20,A,10
268,226.0,103681,135.52,9.26,36.0,2.75,54,35,B,2
269,11607.19,204184,136.08,8.06,63.31,3.1,20,27,A,5
270,1645.8,202307,210.48,8.2,63.27,2.72,41,2,A,4
271,8391.08,37392,218.55,7.57,85.1,3.52,8,3,B,7
272,590.5,155078,224.84,5.82,52.9,3.79,41,8,A,3
273,18268.78,151315,211.35,8.11,46.5,2.62,14,1,A,3
274,24284.65,93638,133.26,10.26,28.89,3.26,1,29,B,2
275,8778.65,114533,132.15,5.44,45.33,2.98,44,23,B,5
276,1804.28,37392,225.18,6.66,79.51,3.75,21,3,B,5
277,15369.07,126512,129.05,8.49,81.87,3.89,26,10,B,6
278,6422.71,112238,129.17,13.5,93.29,3.8,42,12,B,7
279,15190.84,158114,126.33,10.21,59.57,2.73,10,34,A,10
280,6031.86,202307,222.82,6.17,70.27,3.62,33,2,A,10
281,988.51,202505,224.06,5.67,86.33,3.73,56,6,A,9
282,38543.67,203819,133.61,8.25,31.36,3.6,5,24,A,3
283,11268.57,126512,129.83,7.87,58.97,3.67,67,10,B,11
284,26668.99,158114,126.88,10.21,42.64,2.88,82,34,A,12
285,12074.83,207499,224.13,6.83,61.11,3.56,49,11,A,2
286,142.06,57197,198.59,6.06,51.4,3.79,96,16,B,9
287,5391.24,41062,209.87,10.15,57.75,3.31,1,43,C,11
288,458.18,39910,220.63,6.62,85.56,3.4,67,36,A,8
289,32338.92,126512,129.33,8.26,91.61,3.8,11,10,B,9
290,10.1,219622,130.93,5.76,70.65,3.69,99,13,A,9
291,10760.88,152513,138.13,7.49,57.84,3.68,56,26,A,6
292,60586.61,205863,129.07,5.95,81.85,3.57,93,4,A,6
293,4722.52,93638,134.94,9.97,69.53,3.92,26,29,B,6
294,11984.14,184109,214.79,8.18,83.11,3.53,80,39,A,9
295,70354.84,152513,132.22,8.51,50.81,2.96,95,26,A,5
296,52724.84,196321,199.22,6.2,41.8,3.69,38,41,A,10
297,1649.06,203007,197.66,8.09,61.76,3.93,19,32,A,4
298,158419.86,203742,215.22,7.28,76.36,3.91,95,20,A,9
299,2884.08,120653,134.28,8.98,49.91,3.82,19,18,B,4
300,1874.74,155083,133.85,5.11,35.76,3.63,71,40,A,3
301,19147.78,202505,215.36,6.86,60.45,3.29,11,6,A,3
302,20866.43,114533,138.03,4.12,45.88,3.99,11,23,B,5
303,21741.23,120653,136.5,8.47,55.83,3.62,46,18,B,10
304,4290.0,203819,138.26,8.95,75.36,3.69,36,24,A,7
305,2872.65,37392,214.2,7.34,78.6,2.76,42,3,B,5
306,7642.79,42988,211.01,8.32,48.61,2.62,46,30,C,3
307,63138.69,200898,190.69,8.57,49.73,4.0,13,14,A,4
308,10563.34,37392,216.27,7.55,43.57,3.02,13,3,B,2
309,5596.49,203007,197.55,8.09,55.4,3.87,49,32,A,5
310,2741.33,120653,132.6,9.34,75.79,2.79,52,18,B,7
311,395.34,155078,218.83,6.42,85.46,3.65,27,8,A,7
312,25130.29,202307,210.89,8.1,87.66,2.61,80,2,A,7
313,68504.51,93188,126.44,6.88,39.87,2.84,38,17,B,10
314,26.5,39690,130.96,7.38,80.06,4.28,28,42,C,6
315,34651.29,203742,212.4,7.08,36.35,3.39,79,20,A,12
316,7881.68,203819,136.5,8.45,42.3,3.63,29,24,A,12
317,71347.16,125833,215.16,6.44,86.3,2.66,38,9,B,8
318,2864.27,42988,214.49,7.93,56.36,3.52,98,30,C,4
319,31185.34,202307,211.3,8.1,89.05,2.69,23,2,A,8
320,12010.86,39910,216.72,7.72,63.5,3.25,2,36,A,11
321,3623.04,158114,130.74,9.28,78.93,3.37,32,34,A,8
322,132.0,37392,214.57,7.37,47.93,2.55,60,3,B,2
323,1591.26,70713,198.1,7.87,59.27,3.56,93,7,B,8
324,31070.98,204184,140.43,7.91,44.46,3.74,7,27,A,11
325,7904.13,203742,204.53,8.19,43.82,2.82,24,20,A,3
326,39198.76,119557,138.86,8.25,69.53,3.92,72,22,B,6
327,43116.15,184109,209.94,8.46,79.83,2.7,46,39,A,6
328,46693.91,203819,136.47,8.45,53.87,3.78,72,24,A,10
329,23227.31,203007,198.13,7.87,64.05,3.66,8,32,A,9
330,3484.59,70713,196.55,8.26,18.67,3.1,44,7,B,1
331,21998.21,205863,131.13,4.31,76.47,3.81,80,4,A,4
332,25499.98,118221,191.03,8.57,71.93,3.62,4,45,B,6
333,245.96,57197,192.34,6.34,38.04,3.53,28,16,B,4
334,3.67,39690,128.62,14.02,54.4,3.91,44,38,C,3
335,5.97,207499,223.56,6.83,58.36,3.29,45,11,A,1
336,183304.88,202307,212.22,8.03,38.25,2.99,92,2,A,2
337,1026.0,219622,130.72,5.76,79.23,3.63,60,13,A,7
338,49711.13,219622,126.61,8.32,42.49,2.78,1,13,A,3
339,45.05,41062,211.07,10.15,41.83,3.13,25,43,C,12
340,29167.33,203819,137.87,8.15,44.42,4.19,13,19,A,4
341,3419.32,34875,212.2,6.5,87.41,2.69,42,5,B,8
342,8547.71,37392,224.87,6.83,69.36,3.84,4,3,B,3
343,1920.0,203819,132.44,8.19,61.64,2.97,58,19,A,6
344,236.12,39910,210.21,8.46,82.3,2.62,21,36,A,6
345,44302.87,206302,130.83,11.63,85.94,4.14,40,28,A,6
346,12388.66,39910,209.79,8.55,55.76,2.71,13,36,A,3
347,7571.59,219622,130.89,5.76,79.18,3.62,12,13,A,8
348,27824.48,151315,211.96,7.84,58.74,2.69,96,1,A,11
349,13606.45,200898,181.76,8.9,65.45,2.87,83,14,A,4
350,66.06,41062,203.48,9.82,80.32,2.62,72,43,C,8
351,28179.72,219622,126.28,7.8,63.03,2.84,18,13,A,10
352,7527.21,203750,215.45,7.85,91.94,3.53,83,31,A,9
353,5573.94,158114,126.44,9.52,35.44,2.6,32,34,A,2
354,2090.0,200898,192.33,8.67,56.47,3.97,50,14,A,10
355,5193.21,202307,210.56,8.2,81.13,2.76,37,2,A,5
356,5534.38,126512,126.28,9.0,77.04,2.92,97,10,B,10
357,24490.83,114533,132.11,5.44,61.04,2.98,1,23,B,5
358,10952.9,203819,136.18,7.81,71.14,3.94,67,19,A,8
359,26.52,57197,197.62,6.17,58.97,3.76,98,16,B,6
360,13388.87,120653,132.68,9.33,25.64,3.13,67,18,B,12
361,1159.65,39690,130.31,7.54,53.59,3.68,21,42,C,1
362,19849.01,57197,193.91,6.34,63.96,3.55,46,16,B,8
363,17345.59,184109,209.12,8.46,74.86,2.84,82,39,A,5
364,8975.4,39690,128.0,14.02,53.35,3.43,97,38,C,2
365,11205.09,118221,182.08,8.99,34.89,2.75,82,45,B,2
366,2564.45,152513,132.92,8.15,36.73,3.03,6,26,A,11
367,4383.34,196321,190.26,7.34,70.24,2.72,29,41,A,8
368,56478.84,203819,132.76,8.07,51.32,3.0,91,19,A,10
369,10419.34,39910,211.7,8.4,41.16,3.01,4,36,A,2
370,36591.28,39690,129.81,7.87,68.57,3.83,38,42,C,11
371,65509.59,118221,185.75,8.52,76.38,3.92,95,45,B,6
372,35979.45,219622,130.68,5.76,83.68,3.6,1,13,A,7
373,91393.45,203819,134.07,7.66,30.68,3.81,95,19,A,4
374,67.72,39690,130.93,10.93,88.52,4.12,28,38,C,9
375,2132.62,70713,198.59,7.87,50.64,3.79,41,7,B,9
376,12829.58,184109,217.88,7.72,58.58,3.16,80,39,A,12
377,88.0,204184,140.48,7.91,64.78,3.74,60,27,A,10
378,611.61,37392,225.18,6.66,79.51,3.75,19,3,B,5
379,7443.76,37392,225.35,6.66,86.42,3.29,79,3,B,6
380,715.0,155078,225.49,5.4,79.94,3.31,58,8,A,7
381,55.88,123737,136.47,7.87,46.53,3.72,80,15,B,11
382,15702.13,39690,126.15,9.2,91.8,2.97,8,42,C,7
383,5710.07,203750,212.59,8.03,34.61,3.02,33,31,A,2
384,12485.24,155078,214.83,6.29,78.79,2.64,82,8,A,6
385,54985.59,203819,131.86,8.35,39.07,2.96,5,19,A,3
386,6441.02,206302,131.08,10.2,81.61,3.97,33,28,A,10
387,21067.08,184109,214.42,8.18,87.93,3.55,81,39,A,8
388,73524.79,200898,185.94,8.52,58.21,4.05,40,14,A,5
389,2269.15,204184,140.33,7.85,63.61,3.9,56,27,A,9
390,1868.35,125833,217.4,6.42,60.67,3.29,33,9,B,3
391,4912.37,125833,227.23,4.95,69.52,3.51,17,9,B,10
392,20889.9,93188,126.38,6.64,43.82,2.94,16,17,B,4
393,35092.67,203007,196.78,8.26,36.86,3.06,72,32,A,1
394,59039.88,39690,130.76,7.38,91.36,3.88,95,42,C,6
395,2197.52,112238,127.86,14.02,51.3,3.38,97,12,B,2
396,25.92,39910,210.44,8.48,74.66,2.57,9,36,A,10
397,13726.46,207499,224.72,6.83,64.21,3.73,26,11,A,3
398,27907.39,155078,218.73,6.3,63.55,3.74,93,8,A,4
399,17433.16,112238,130.74,10.93,88.16,3.76,14,12,B,8
400,4565.58,184109,220.43,6.99,72.36,3.63,30,39,A,5
401,5757.72,207499,215.51,7.55,51.04,3.01,33,11,A,1
402,4108.87,203742,204.61,7.53,76.03,2.78,83,20,A,7
403,49448.06,126512,126.61,9.77,60.05,2.98,16,10,B,3
404,4318.6,37392,220.09,7.57,82.58,3.36,3,3,B,9
405,770.27,93638,133.03,10.26,26.8,3.23,52,29,B,1
406,12245.53,152513,132.55,8.44,71.08,2.81,46,26,A,7
407,3021.0,103681,135.96,9.05,69.02,2.97,58,35,B,5
408,4939.08,39910,219.97,7.24,69.18,3.79,98,37,C,3
409,16578.33,114533,136.42,4.58,64.76,3.68,96,23,B,9
410,268.37,39690,130.83,11.63,85.94,4.14,74,38,C,6
411,178.0,203819,132.15,8.21,51.31,3.11,54,24,A,5
